created_at,id,value,Lag_1,Lag_3,Lag_12,Rolling_Mean_3M,Rolling_Mean_6M,Rolling_Mean_12M,Rolling_Std_3M,Rolling_Std_6M,Rolling_Std_12M,MoM_Percentage_Change,YoY_Percentage_Change,Cumulative_Sum,Cumulative_Product,EMA_12,EMA_26,EMA_50,ROC,Z_Score,Trend,Seasonal,Residual,Days_Since_Peak,Days_Since_Trough,RSI
2024-08-13 20:31:33.752123,0.0,0.0066678767628199145,,,,,,,,,,,,0.0,,0.004987374706625393,0.0021610763037183817,0.0008240312322355045,,0.006667876762819908,,0.39127813773205844,,0.0,0.0,
2024-08-13 20:31:33.755715,0.0007473841554559044,0.006297439164885475,0.0066678767628199145,,,,,,,,,0.42858206962205847,,0.00011578312643290664,0.006297439164885538,0.004925765566061599,0.002130419292560415,0.000807108363085611,,0.006297439164885482,,0.20296235055297984,,0.00279027902790279,0.0,
2024-08-13 20:31:33.760684,0.0014947683109118085,0.006297439164885475,0.006297439164885475,,,0.006291872410894503,,,0.005742860140865643,,,0.46911409100901286,,0.00023156625286581325,0.006297439164885538,0.004873634754815316,0.002102033171117859,0.0007908491358631642,,0.006297439164885482,,0.3503219727057285,,0.00531053105310531,0.0008386246555648736,
2024-08-13 20:31:33.763446,0.002242152466367713,0.006297439164885475,0.006297439164885475,0.0066678767628199145,,0.006166034962676613,,,0.0,,,0.46911409100901286,,0.00034734937929871987,0.006297439164885538,0.004829524068376147,0.0020757497253377152,0.0007752275253945368,,0.006297439164885482,,0.4096077759521961,,0.008100810081008101,0.0017671019527974122,
2024-08-13 20:31:33.766132,0.0029895366218236174,0.005927001566951036,0.006297439164885475,0.006297439164885475,,0.006040197514458723,,,0.005742860140865643,,,0.4282443027771672,,0.0004621676463446856,0.005927001566951098,0.00473059050082536,0.002020756190309253,0.0007432956579512609,,0.005927001566951057,,0.5924097258184133,,0.010801080108010801,0.0,
2024-08-13 20:31:33.768673,0.0037369207772795215,0.005927001566951036,0.005927001566951036,0.006297439164885475,,0.005914360066240826,0.0055579334708975164,,0.005742860140865618,0.0025510203243012813,,0.46911409100901286,,0.0005769859133906514,0.005927001566951098,0.004646877482128546,0.0019698362504680794,0.0007126160206037888,,0.005927001566951057,,0.5764874532696354,,0.01359135913591359,0.0009284772972325386,
2024-08-13 20:31:33.771311,0.004484304932735426,0.006297439164885475,0.005927001566951036,0.006297439164885475,,0.005914360066240826,0.005494049178128575,,0.005742860140865618,0.0008007896533032345,,0.5103273228394455,,0.0006927690398235581,0.006297439164885538,0.0046376525299488824,0.001953345169180519,0.0007000623754394517,,0.006297439164885482,0.0046210434152743965,0.9331010762773815,0.4886316983907424,0.01629162916291629,0.001827003713909189,
2024-08-13 20:31:33.774051,0.00523168908819133,0.006297439164885475,0.006297439164885475,0.005927001566951036,,0.006040197514458723,0.005494049178128575,,0.005742860140865643,0.0008007896533032345,,0.46911409100901286,,0.0008085521662564647,0.006297439164885538,0.004629846801181468,0.0019380756494698018,0.0006880010300854833,,0.006297439164885482,0.004539399538679441,1.0,0.49601992846877163,0.01908190819081908,0.0027554810111417275,
2024-08-13 20:31:33.782266,0.005979073243647235,0.007038314360754354,0.006297439164885475,0.005927001566951036,,0.0064177098591124,0.005621817763666444,,0.01148572028173121,0.005088328310845077,,0.5508536674727043,,0.0009262650114632531,0.007038314360754416,0.004746460234890483,0.0019852512276091402,0.0007102584169667581,,0.0070383143607543885,0.004457755662084492,0.9980499469761241,0.6030755055961876,0.0,0.0036839583083742664,
2024-08-13 20:31:33.784960,0.006726457399103139,0.007038314360754354,0.007038314360754354,0.006297439164885475,,0.006669384755548173,0.005749586349204319,,0.01148572028173121,0.007093569774004131,,0.46911409100901286,,0.0010439778566700413,0.007038314360754416,0.00484513314033657,0.002028932318478893,0.0007316429651468004,,0.0070383143607543885,0.004359783010170537,0.6339485248111885,0.6303591040659198,0.0027002700270027003,0.004582484725050916,
2024-08-13 20:31:33.787685,0.007473841554559044,0.0066678767628199145,0.007038314360754354,0.006297439164885475,,0.006795222203766063,0.005877354934742202,,0.005742860140865643,0.0059443963136818195,,0.4289142993055579,,0.0011607258424898889,0.006667876762819977,0.004867016458227159,0.002038720761829968,0.000735266034444397,,0.006667876762819908,0.004261810358256596,0.3600908034378847,0.6052443840629005,0.005490549054905491,0.005510962022283455,
2024-08-13 20:31:33.791106,0.008221225710014948,0.005927001566951036,0.0066678767628199145,0.007038314360754354,,0.006417709859112386,0.005877354934742202,0.004700268143769448,0.01519417974695571,0.0059443963136818195,0.0029888250884744227,0.3880500482351041,,0.0012755441095358545,0.005927001566951098,0.004762314830699291,0.0019864701129872625,0.0007049012842932773,,0.005927001566951057,0.004163837706342648,0.0,0.5343249834448303,0.00819081908190819,0.006409488438960106,
2024-08-13 20:31:33.794089,0.008968609865470854,0.005556563969016597,0.005927001566951036,0.007038314360754354,0.0066678767628199145,0.00591436006624084,0.005749586349204319,0.004602345890774247,0.01519417974695571,0.009068586728027376,0.003931585406725162,0.42790085917858023,0.4545761774555287,0.0013893975171948795,0.005556563969016659,0.004612112005304231,0.0019074328714193817,0.0006588044395079984,0.4545761774555287,0.0055565639690166035,0.004049536279109714,0.39127813773205844,0.4837355546464366,0.010981098109810981,0.0,
