created_at,id,value,Monthly_Percentage_Change,Annual_Percentage_Change,Rolling_3M_Average,Rolling_6M_Average,Rolling_12M_Average,MACD,RSI
2024-08-13 20:25:55.266885,0.0,0.5306451612903227,,,,,,0.3987204192422841,
2024-08-13 20:25:55.270218,0.0034129692832764505,0.5725806451612903,0.2696424489328753,,,,,0.4098160840025835,
2024-08-13 20:25:55.278523,0.0068259385665529,0.5032258064516129,0.17201427080817797,,0.5266549502050382,,,0.40003229983360206,
2024-08-13 20:25:55.285881,0.010238907849829351,0.32741935483870965,0.07164985395672985,,0.4528412419449328,,,0.3458355509344131,
2024-08-13 20:25:55.290525,0.013651877133105802,0.3677419354838709,0.27466256700909447,,0.37844171060339793,,,0.31464529561405896,
2024-08-13 20:25:55.294579,0.017064846416382253,0.3500000000000001,0.21407885573866886,,0.3227885178676042,0.40242386575512734,,0.2864722872508422,
2024-08-13 20:25:55.298659,0.020477815699658706,0.2806451612903227,0.16044110727430733,,0.3057996485061514,0.3542573026724676,,0.24732807595376982,
2024-08-13 20:25:55.302524,0.023890784982935155,0.33225806451612905,0.2889093060911395,,0.29291154071470427,0.3079552517091362,,0.23204100599054572,
2024-08-13 20:25:55.362502,0.027303754266211604,0.27741935483870983,0.1745654141762743,,0.26654950205038075,0.2644499689247981,,0.20745372191118122,
2024-08-13 20:25:55.366091,0.030716723549488057,0.2064516129032259,0.15386036459428365,,0.23960164030462794,0.24114356743318832,,0.17159257889090113,
2024-08-13 20:25:55.369066,0.034129692832764506,0.15161290322580645,0.16741388370709356,,0.17398945518453424,0.19950279676817906,,0.13157487776797,
2024-08-13 20:25:55.372909,0.03754266211604095,0.2451612903225806,0.3488875422041384,,0.16227299355594615,0.17930391547545055,0.25892399658411613,0.12801823920502198,
2024-08-13 20:25:55.426720,0.040955631399317405,0.13548387096774195,0.10744880134139712,0.09800188226290318,0.13649677797305215,0.15133623368551885,0.21707941929974384,0.0992971932374544,
2024-08-13 20:25:55.429684,0.04436860068259386,0.0,0.06017299101186757,0.0,0.08142940831868772,0.08732131758856432,0.1564474807856533,0.04435964743904858,0.09007484542792071
2024-08-13 20:25:55.432581,0.0477815699658703,0.024193548387096753,0.2680127261708944,0.04048975940053395,0.0011716461628589192,0.03853325046612799,0.1057216054654142,0.01175705515019293,0.1179534417564505
2024-08-13 20:25:55.500449,0.051194539249146756,0.1322580645161291,0.3876898818494261,0.1990743448590118,0.0,0.0242386575512743,0.08505550811272422,0.01921622709498927,0.18775721153416147
2024-08-13 20:25:55.506531,0.05460750853242321,0.13870967741935492,0.24036165923064637,0.18029137787999328,0.050380785002929196,0.021752641392168925,0.060802732707087914,0.031092167124802172,0.2251333268388534
2024-08-13 20:25:55.510499,0.058020477815699655,0.1596774193548387,0.25866819148675285,0.20525320889614201,0.09958992384299936,0.005282784338098256,0.040649017933390486,0.050134006674947273,0.3494492006129871
2024-08-13 20:25:55.514655,0.061433447098976114,0.10806451612903234,0.1682720414322837,0.21002023438559358,0.09080257762155841,0.0,0.02237403928266435,0.05536911878352302,0.27139433947113756
2024-08-13 20:25:55.518712,0.06484641638225257,0.15806451612903227,0.2975128931323199,0.21475310781562454,0.09783245459871126,0.03045369794903685,0.003928266438941064,0.07661298412220818,0.3362968792962966
2024-08-13 20:25:55.524959,0.06825938566552901,0.24032258064516143,0.33411120784978887,0.3120019065737032,0.1271236086701817,0.07209446861404611,0.0,0.1186923513475201,0.46394370341291546
2024-08-13 20:25:55.530432,0.07167235494880547,0.27258064516129044,0.268989110928836,0.3934978148622015,0.18687756297598157,0.09912989434431307,0.007002561912895056,0.16338684634416037,0.44687131648407297
2024-08-13 20:25:55.533392,0.07508532423208192,0.19354838709677424,0.14457350964119733,0.37587765432949316,0.19976567076742846,0.10969546302050981,0.011443210930828451,0.18017470439752462,0.4282966718238268
2024-08-13 20:25:55.536438,0.07849829351535836,0.22096774193548385,0.2649272790234614,0.32119055848270217,0.1927357937902754,0.12150403977625857,0.008881298035866791,0.2030729918235722,0.5098227957035645
2024-08-13 20:25:55.539559,0.08191126279863482,0.14516129032258063,0.14392822384709297,0.348445265358852,0.14645577035735213,0.12865133623368563,0.009906063193851455,0.20318529798148705,0.49184753726468866
2024-08-13 20:25:55.545255,0.08532423208191127,0.2290322580645161,0.3375202675239799,0.5726128893645945,0.15934387814879925,0.1423244251087632,0.03415883859948776,0.2276929371273551,0.483538147501701
2024-08-13 20:25:55.548019,0.08873720136518772,0.346774193548387,0.3680939142704803,0.6580698076130578,0.20503807850029276,0.16283405842137966,0.0683176771989753,0.27999632263974283,0.6757912614860222
2024-08-13 20:25:55.550776,0.09215017064846417,0.3129032258064517,0.1970285622956389,0.4976298171936858,0.2659636789689517,0.17060285891858284,0.08744662681468829,0.31336585666473427,0.7954856839489316
2024-08-13 20:25:55.553530,0.09556313993174062,0.2870967741935484,0.20457988966111193,0.46860358635218646,0.28705330990041045,0.18862647607209437,0.10315969257045254,0.3336546786560691,0.7473273623328834
2024-08-13 20:25:55.556115,0.09897610921501707,0.2225806451612904,0.16160689454922111,0.3933519518658376,0.24194493263034578,0.18893722809198277,0.10982066609735264,0.33322171580535725,0.5881684448100509
2024-08-13 20:25:55.558768,0.10238907849829353,0.18225806451612903,0.18529445129396171,0.40647170425993356,0.1944932630345635,0.1960845245494096,0.11767719897523499,0.32296001544410713,0.5392160151352452
2024-08-13 20:25:55.561586,0.10580204778156997,0.3177419354838711,0.3959801366039227,0.4756099007650759,0.2056239015817225,0.21317588564325685,0.13458582408198128,0.35163112044133776,0.6301069048221666
