id,close,EMA_12,EMA_26,RSI,MACD,MACD_Signal,ATR
0.1395812562313061,0.12386131546264267,0.227066001142742,0.23162822645854386,0.38068286522290984,0.3942510449643248,0.48922635893060146,0.18123971578556658
0.13969203500609284,0.06893269696987908,0.19089642822382447,0.21012894216263978,0.2756627373725832,0.34284329440047157,0.4807313832664217,0.17495624635452564
0.13980281378087958,0.014547926184964616,0.1253484682328424,0.16823773737777148,0.3514803582383311,0.25552518099638233,0.4318556254901553,0.1587040617211941
0.13991359255566635,0.10808973193501747,0.12998666099219913,0.1672628561134637,0.48588491386773225,0.26956380414666314,0.3995204212225194,0.1702900418898139
0.1400243713304531,0.17974168104033494,0.17994861354109148,0.19532471990978895,0.3803118602993928,0.3438383472792513,0.4094461625109065,0.15072378970252925
0.14013515010523986,0.18246089238719532,0.2239712412178193,0.22240713913970045,0.49092402312285477,0.404581354841943,0.44665963063908726,0.13653957792035631
0.1402459288800266,0.07341944055963451,0.19116057749245996,0.203404616304377,0.43297849638620434,0.35694950017266835,0.4534759715641453,0.14568640436926664
0.14035670765481334,0.037525491841590985,0.14033536993013407,0.17129994410930194,0.46143598813119524,0.2884910250311847,0.4259379812569478,0.14043692136380506
0.1404674864296001,0.1959211231564616,0.1991007196238731,0.20560313022791532,0.529137648045597,0.3732653746797692,0.4447614921731489,0.15570814730367463
0.14057826520438685,0.13011555050671514,0.20654429281800957,0.21076414291661139,0.3775552477405598,0.38237525842173076,0.46421047682315986,0.1573254069674956
0.1406890439791736,0.06621345843063334,0.1717847589576098,0.189711123287158,0.28171246636286285,0.33375350928424896,0.4563381874624015,0.16268093483217558
0.14079982275396036,0.019850441336493774,0.11258399211012482,0.15147583438658097,0.35317091392162603,0.25568985161383057,0.4124204258397883,0.14788693462007527
0.1409106015287471,0.10346702641829975,0.11621580080291127,0.1498738964604176,0.48964118158008707,0.2683556879872306,0.38339005402094806,0.1561323346943104
0.14102138030353387,0.18300475369123714,0.17039291469645845,0.18054289345002505,0.40198494280421426,0.34841844215399626,0.3987490782801391,0.13746750623044698
0.1411321590783206,0.17362338073083938,0.21020743140129594,0.20514779352338608,0.49420039389927817,0.40313299428898264,0.4374039787577532,0.12386657298902379
0.14124293785310735,0.07518694561014422,0.18064992232291543,0.18813823568587473,0.437679660415376,0.3600065539188075,0.4475446855155975,0.13333154992311363
0.14135371662789412,0.03385451981360926,0.1290830904020741,0.155680455445093,0.45409774026426264,0.29031898539409606,0.42207387118610784,0.12922210615621185
0.14146449540268086,0.20407885237039147,0.19482100927172608,0.19443831523009902,0.5410603794618553,0.3843845509963554,0.447028685241506,0.14465240468741714
0.1415752741774676,0.1273963255636621,0.2011758613412552,0.19932713374475997,0.3696788296082062,0.39119888685351073,0.47027645689778064,0.14465240468741714
0.14168605295225437,0.06390210567227447,0.16575716520378514,0.17818696042706428,0.30094722035831756,0.34103237592009844,0.46469875558534957,0.15329549286812663
