date,value,Lag_1,Lag_3,Lag_12,Rolling_Mean_3M,Rolling_Mean_6M,Rolling_Mean_12M,Rolling_Std_3M,Rolling_Std_6M,Rolling_Std_12M,MoM_Percentage_Change,YoY_Percentage_Change,Cumulative_Sum,Cumulative_Product,Trend,Seasonal,Residual,EMA_12,EMA_26,EMA_50,ROC,RSI,Z_Score,Days_Since_Peak,Days_Since_Trough
2004-02-01,0.11486009695035893,0.11320725540831011,0.10807275347787948,0.08344326903132138,0.10729175838119753,0.10042328667336042,0.08530019893594909,0.032131358636351984,0.05813071958253566,0.09637009009939172,0.5966287718073172,0.47428658607165175,0.10469923443627738,0.10923027047054423,0.10206640374955245,0.7852928044048042,0.752852360555325,0.10242040740005331,0.08980101834104004,0.07443899270209353,0.47428658607165197,1.0,0.11486009695035898,0.0,0.1667411712114439
2004-03-01,0.11933944897833959,0.11578190477663175,0.11025034465471861,0.088662103298071,0.11113470512375634,0.10364026539090032,0.08858858048268292,0.032836701258843144,0.06734913542767426,0.10145119216711586,0.6123790629158324,0.47171978299009354,0.10707659159758588,0.11373811288131375,0.1051425475474933,0.6325974189923329,0.7735183414591802,0.10570245013541768,0.09279711196223628,0.07710403648123443,0.4717197829900936,1.0,0.11933944897833959,0.0,0.16998211890925347
2004-04-01,0.11998373933852857,0.12029720577092584,0.11469169068805618,0.09057042107446589,0.11372688146425591,0.10678768071715916,0.09177843879817849,0.025100591466038505,0.05941651970120653,0.09801765383084295,0.5807916898492475,0.466936041580173,0.1094564145316206,0.11438650117327365,0.10859231754022414,0.0,0.7760301241126459,0.10858235121283066,0.09562336050177156,0.07969471685177432,0.466936041580173,1.0,0.11998373933852857,0.0,0.17344658024139473
2004-05-01,0.1252991348100877,0.12094666687284483,0.11730010026319082,0.09188135241651119,0.11725130903610392,0.11012016091456167,0.09532932402266303,0.029925025068308023,0.06396507611088104,0.0944826041999655,0.6188964847424772,0.4825360730519097,0.1118565800906465,0.11973570458194349,0.11215770144622483,0.33609510492624395,0.7797686439228366,0.1118671915335826,0.09866998147577644,0.08243252383890054,0.4825360730519098,1.0,0.12529913481008775,0.0,0.17679928475637013
2004-06-01,0.12384948149966257,0.12630472096367662,0.12187460834691066,0.09597179008504464,0.1187739860473066,0.11283969575860187,0.09841998429026833,0.024667258241059923,0.04945593526685748,0.08210165030964688,0.5638025764922945,0.4614082455274441,0.11425119766103843,0.1182768309250336,0.11580547297957056,0.7099584883247587,0.7205072855152972,0.11441539881929086,0.1013737293189485,0.08499513259380265,0.461408245527444,0.9571854126983976,0.12384948149966257,0.04633781763826607,0.1802637460885114
2004-07-01,0.12993188930477995,0.12484343348435889,0.12253258553703472,0.10073428749222157,0.1221326800669148,0.11585585940319854,0.10165842940473069,0.028982643263101866,0.05268329155422189,0.07992097033348401,0.6248477294599468,0.46682333577465585,0.11666909330014325,0.12439792515746528,0.11934712382419632,0.8860193369952469,0.7378803689427631,0.11754194182154554,0.10436893298316119,0.08774185942266521,0.4668233357746562,0.9615395547446046,0.12993188930478,0.0,0.18361645060348683
2004-08-01,0.13259342210222747,0.1309746555536656,0.12796089735555838,0.10862476664592413,0.12459537706972712,0.1188903982832279,0.10448928526119461,0.042101987989347375,0.05300462394435757,0.08721471409105831,0.5969024331340504,0.44764173961260056,0.11909717492896225,0.127076386315919,0.12276909223074495,1.0,0.7282755679944808,0.12061209051514232,0.10735744184465823,0.09050541188959138,0.4476417396126005,0.9606187241432129,0.13259342210222747,0.0,0.1870809119356281
2004-09-01,0.13795483831380007,0.13365754843897393,0.1264804486777792,0.1087575191868907,0.12935762710986576,0.12207587659716879,0.1077810408911899,0.038125089944139864,0.06819340886881853,0.09457115085011776,0.6184025665682658,0.4673781195889378,0.12154577530939575,0.1324719031740147,0.12622157457334737,0.8754853932973674,0.7519972566466473,0.12406525158759585,0.11055802441317131,0.09341146511178844,0.46737811958893816,0.9614097669653401,0.13795483831380012,0.0,0.19054537326776935
2004-10-01,0.1422194268883844,0.13906199260851415,0.13269206667502187,0.10989421281891731,0.13350614508936665,0.12588086284855515,0.1113555446985054,0.04553274889436122,0.07615667363361359,0.09926398598830401,0.6093459447630463,0.4792340922950278,0.12401069675692176,0.1367636161541309,0.1298520548762626,0.9799074922205477,0.7550552495469542,0.12766751573503166,0.11386629828210992,0.09640310725247003,0.4792340922950279,0.9587942655843018,0.14221942688838443,0.0,0.19389807778274476
2004-11-01,0.1458550653494508,0.1433608065688352,0.1354101391151774,0.11447417548226513,0.13798354058659312,0.12939840791710133,0.1148774128069403,0.03679615920489353,0.08882158473116719,0.10652511537129201,0.6041677633733635,0.475931013371917,0.12648953220768852,0.14042237865876217,0.133467278211151,0.802823730069889,0.7642792989231326,0.1312956033623759,0.11722343872415919,0.0994475515835046,0.47593101337191723,0.9617965287663557,0.14585506534945086,0.0,0.19736253911488602
