date,value,CAGR_12,Monthly_Percentage_Change,Annual_Percentage_Change,MACD,Trend,Seasonal,Residual,Cumulative_Sum,Rolling_3M_Growth,Rolling_6M_Growth,Rolling_12M_Growth,AHE_Ratio_12M,Days_Since_Peak,Days_Since_Trough,RSI
2006-03-01,0.0,,,,0.0,,0.15331109189821746,,0.0,,,,,0.0,0.0,
2006-04-01,0.006596306068601621,,0.30120040910619233,,0.009260763926794433,,1.0,,0.0035081976917277925,,,,,0.0,0.004607609988109393,
2006-05-01,0.005277044854881341,,0.1915556409787823,,0.014558659643321177,,0.7164318777462881,,0.007012913301379428,,,,,0.10909090909090909,0.009066587395957193,
2006-06-01,0.011873350923482962,,0.3008369862425965,,0.027804285916185452,,0.34941011800185606,,0.010535039321411848,0.39333020809122077,,,,0.0,0.013674197384066587,
2006-07-01,0.0158311345646438,,0.2641337022333835,,0.04342151373486235,,0.2697639903890945,,0.014067611587672734,0.36669311112988967,,,,0.0,0.018133174791914387,
2006-08-01,0.01781002638522433,,0.236863513137212,,0.05794063064850122,,0.16504249186851894,,0.017605406977047856,0.39938153601167675,,,,0.0,0.022740784780023778,
2006-09-01,0.0237467018469657,,0.29096220622375374,,0.07699040259474192,0.0,0.1384058262126473,0.2795568241103794,0.021158871735765684,0.39228188001518405,0.42706709014698757,,,0.0,0.027348394768133173,
2006-10-01,0.02506596306068598,,0.2277207932280019,,0.09289020687536702,0.003852714546203284,0.014771012471214817,0.24487521423900205,0.02471581857655967,0.36606395064209274,0.3754970728165782,,,0.0,0.03180737217598097,
2006-11-01,0.02902374670184682,,0.26360135205051183,,0.10984519899118546,0.007793659196517977,0.023561376808345358,0.24942552344609226,0.02828321166358213,0.38530607518183657,0.4261605705591479,,,0.0,0.036414982164090365,
2006-12-01,0.03430079155672838,,0.28134018766465574,,0.12928583872488647,0.011999294159167118,0.0,0.275212873290009,0.031864533078909206,0.3783917914102294,0.4124778698824375,,,0.0,0.040873959571938165,
2007-01-01,0.03562005277044866,,0.22758104281730693,,0.1448959190654244,0.016057878948297022,0.19286033221686694,0.2195814882676892,0.03544933657631245,0.37829107480623747,0.3868014972209842,,,0.0,0.045481569560047556,
2007-02-01,0.04155672823219003,,0.2898973116003357,,0.1638094909795597,0.019998823598611937,0.04317361847211032,0.2687444729748094,0.039049809443058386,0.39720516548908574,0.42403619410130866,,0.18131404237151116,0.0,0.050089179548156955,
2007-03-01,0.04485488126649084,0.37020904473213523,0.25408435046703814,0.37020904473213523,0.18139142369072686,0.023851538144815,0.15331109189821746,0.25707167665394337,0.04265898751499472,0.3775915424186801,0.3981459803035951,0.37020904473213523,0.1739102000643662,0.0,0.054250891795481565,
