date,value,Lag_1,Lag_3,Lag_12,Rolling_Mean_3M,Rolling_Mean_6M,Rolling_Mean_12M,Rolling_Std_3M,Rolling_Std_6M,Rolling_Std_12M,MoM_Percentage_Change,YoY_Percentage_Change,Cumulative_Sum,Cumulative_Product,Trend,Seasonal,Residual,EMA_12,EMA_26,EMA_50,ROC,RSI,Z_Score,Days_Since_Peak,Days_Since_Trough
1967-07-01,0.10569105691056907,0.11382113821138212,0.10569105691056907,0.10569105691056907,0.12420382165605096,0.14829659318637273,0.14222712238147733,0.009192900673857975,0.00768208686120175,0.00880223421779318,0.064316335609711,0.16384180790960456,0.2150940510781464,0.10569105691056904,0.1487009397457158,0.570012383622128,0.32249543432088995,0.15023761518770717,0.15707940338004217,0.19237538821535738,0.1638418079096045,0.44444444444444436,0.1056910569105691,0.4753942060872754,0.19880883765609988
1967-08-01,0.10569105691056907,0.10569105691056907,0.10569105691056907,0.10569105691056907,0.12420382165605096,0.14829659318637273,0.14222712238147744,0.009192900673857975,0.00768208686120175,0.00880223421779318,0.07435781883731411,0.16384180790960456,0.21582046184431858,0.10569105691056904,0.14759535655058037,0.4220504539994465,0.3259556751273585,0.14951531886323077,0.15437180766424047,0.18781713863699856,0.1638418079096045,0.5,0.1056910569105691,0.47766776677667766,0.19999999999999998
1967-09-01,0.10569105691056907,0.10569105691056907,0.11382113821138212,0.09756097560975613,0.12101910828025478,0.14829659318637273,0.14332965821389193,0.0,0.00768208686120175,0.007838547664016095,0.07435781883731411,0.17137476459510362,0.21654687261049077,0.10569105691056904,0.14704256495301266,0.19523995715157838,0.3297493383557662,0.14890414505021232,0.15186477459405362,0.18343764394406548,0.17137476459510353,0.5,0.1056910569105691,0.47994132746608,0.20119116234390008
1967-10-01,0.12195121951219512,0.10569105691056907,0.10569105691056907,0.09756097560975613,0.1273885350318472,0.15230460921843686,0.1466372657111355,0.018385801347816345,0.01574359316923981,0.01116257413747916,0.09496928440976256,0.1864406779661017,0.21731151552225098,0.12195121951219492,0.1448313985627418,0.21723399937402377,0.3690375150498139,0.15259349241849662,0.15187412340616308,0.18072283578746717,0.18644067796610167,0.6000000000000002,0.12195121951219512,0.48214154748808213,0.20234390009606149
1967-11-01,0.11382113821138212,0.12195121951219512,0.10569105691056907,0.08943089430894308,0.13057324840764337,0.15430861723446893,0.1499448732083793,0.015922571036134304,0.015364173722334045,0.0049763258809498254,0.06456737269040108,0.18706842435656,0.2180570423612172,0.11382113821138193,0.1415146489773355,0.045287160933327186,0.357886166226077,0.15361200066354874,0.15071744184919728,0.17736801987262563,0.18706842435655993,0.5999999999999999,0.1138211382113821,0.48441510817748445,0.20353506243996156
1967-12-01,0.10569105691056907,0.11382113821138212,0.10569105691056907,0.10569105691056907,0.13057324840764337,0.15230460921843686,0.14994487320837918,0.015922571036134304,0.01574359316923981,0.0049763258809498254,0.064316335609711,0.16384180790960456,0.21878345312738937,0.10569105691056899,0.13875069098949688,0.0566284646405677,0.34315825302147124,0.15237056811201977,0.1484811025430876,0.17339829454300149,0.1638418079096045,0.5454545454545453,0.1056910569105691,0.4866153281994866,0.20468780019212296
1968-01-01,0.09756097560975613,0.10569105691056907,0.12195121951219512,0.11382113821138212,0.12101910828025478,0.15030060120240485,0.1477398015435501,0.015922571036132396,0.019434313331622873,0.0069370401711214055,0.06405208605108993,0.14954850548070894,0.21949074782076758,0.09756097560975605,0.1370923161967938,0.112296031300815,0.3261429389252329,0.1492168779633838,0.14524508013591902,0.1688377738932918,0.1495485054807089,0.5454545454545455,0.09756097560975613,0.48888888888888893,0.20587896253602306
1968-02-01,0.10569105691056907,0.09756097560975613,0.11382113821138212,0.10569105691056907,0.11783439490445866,0.15030060120240485,0.1477398015435501,0.009192900673855793,0.019434313331622873,0.0069370401711214055,0.08494208494208492,0.16384180790960456,0.22021715858693977,0.10569105691056899,0.13488114980652288,0.0,0.34946099905421796,0.1486516181349571,0.14341410095671886,0.16520256801383748,0.1638418079096045,0.5,0.1056910569105691,0.4911624495782912,0.20707012487992316
1968-03-01,0.09756097560975613,0.10569105691056907,0.10569105691056907,0.10569105691056907,0.11464968152866248,0.14829659318637273,0.1466372657111355,0.009192900673854741,0.021998149014131115,0.00880223421779413,0.06405208605108993,0.1565070869263555,0.22092445328031796,0.09756097560975605,0.13101160862354888,0.03576882567963224,0.3357099276226267,0.14607007413663842,0.14055341200039234,0.16096344840448717,0.15650708692635545,0.4000000000000001,0.09756097560975613,0.4932893289328933,0.2081844380403458
1968-04-01,0.08130081300813008,0.09756097560975613,0.09756097560975613,0.10569105691056907,0.10828025477707007,0.1382765531062124,0.14332965821389193,0.024322129010495224,0.02570917998838115,0.018126399668565607,0.053189286627772434,0.14183764495985735,0.22159351582810816,0.08130081300813016,0.12548369264787168,1.0,0.29316387663409765,0.1396791963126074,0.1355739502007704,0.15539762713340133,0.1418376449598573,0.36363636363636376,0.08130081300813008,0.49556288962229555,0.2093756003842459
