value,Monthly_Percentage_Change,Annual_Percentage_Change,Cumulative_Sum,Rolling_3M_Average,Rolling_6M_Average,Rolling_12M_Average,MACD,Trend,Seasonal,Residual,RSI,Rolling_3M_StdDev,Rolling_6M_StdDev,Rolling_12M_StdDev,Momentum_3M,Momentum_6M,Momentum_12M,Z_Score,Days_Since_Peak,Days_Since_Trough
0.0,,,0.0,,,,0.0,,0.9443063096587696,,,,,,,,,0.0,0.0,0.0
0.0007164760840281392,0.4130269717203306,,0.002609843801284922,,,,0.0009837233913585974,,1.0,,,,,,,,,0.0007164760840283058,0.0,0.0034644613321412605
0.005015332588198085,0.6293588294074074,,0.00522841617715608,0.0,,,0.007645576671301167,,0.30386833781565725,,,0.1874780678132284,,,,,,0.00501533258819814,0.0,0.006705409029950827
0.007164760840283169,0.499112522768955,,0.007851352840320357,0.00240004992103815,,,0.015729018484408122,,0.08712640178607406,,,0.22692717981621643,,,0.36466212027278305,,,0.007164760840283169,0.0,0.010169870362092088
0.01003066517639617,0.5419524489788214,,0.010480108553208793,0.0055201148183881,,,0.02581784488365195,,0.0,,,0.17390701596674882,,,0.4018598884066932,,,0.01003066517639628,0.0,0.013522574877067501
0.012896569512509393,0.5415712186326654,,0.013114683315821385,0.008160169731530331,0.0,,0.0373628691620711,,0.359567666311475,,,0.19807828166676775,0.19721585338227135,,0.37706137631741976,,,0.012896569512509615,0.0,0.016987036209208762
0.015762473848622838,0.5411916723520686,,0.015755077128158136,0.0110402296367762,0.0026684682870738996,,0.04991722198653157,0.0,0.5148790897762957,0.6039111465698547,,0.19807828166678007,0.21311277801584458,,0.38946063236205647,0.2503153910849424,,0.015762473848622893,0.0,0.020339740724184176
0.01862837818473606,0.5408137990027414,,0.018401289990219047,0.01392028954202229,0.005700818613294079,,0.06311928973652381,0.0030109797257562576,0.33192027085696957,0.6099970470836727,,0.19807828166677655,0.20055663479378946,,0.38946063236205997,0.2818544995794768,,0.018628378184736227,0.0,0.023804202056325437
0.021494282520849506,0.5404375875483007,,0.021053321902004117,0.01680034944726838,0.00849058091341659,,0.07667837553074326,0.006053323823655532,0.27422996904651076,0.6106219747611465,,0.19807828166678007,0.20888213396249095,,0.38946063236205997,0.26082842724978916,,0.021494282520849506,0.0,0.0272686633884667
0.023643710772934146,0.49748018031064,,0.0237097181010823,0.01944040436041039,0.011280343213539101,,0.08937893342928027,0.009032939177268773,0.4930608413253772,0.5735792384007627,,0.1739070159667505,0.2005566347937907,,0.37706137631741976,0.26082842724978617,,0.023643710772934312,0.0,0.03062136790344211
0.02722609119307573,0.5822960694608286,,0.026373388112315682,0.02232046426565648,0.01419139952671089,,0.10322956659229189,0.01198119015873833,0.6644621482496289,0.6015235885406855,,0.200130961171615,0.20406761398517287,,0.38946063236205647,0.27134146341463294,,0.027226091193075896,0.0,0.03408582923558337
0.028659043361132452,0.45452522786598437,,0.02903996764841115,0.024720514186694853,0.016859867813784568,0.0,0.11487224372673956,0.014960805512351127,0.3679220017703577,0.5505663710374429,,0.1785453502763081,0.19092156273886352,0.2000270489328419,0.36466212027278305,0.2503153910849454,,0.028659043361132674,0.0,0.037438533750558785
0.0329578998653024,0.623834846656072,0.32509139201639997,0.03171527575909285,0.02784057908404458,0.019770924126956135,0.0028724345568864607,0.1285872542659669,0.018034513982394307,0.9443063096587696,0.5909208466514442,,0.20616641208915984,0.20173286846365246,0.20698099091544997,0.40185988840669673,0.27134146341463294,0.18967816758480638,0.032957899865302454,0.0,0.040902995082700046
0.03654028028544398,0.5807934389106686,0.3617832203313658,0.03439785768192975,0.030960643981394753,0.022803274453176092,0.005994646031763029,0.14278586803536428,0.02107685808029358,1.0,0.6188318604385443,1.0,0.2727325275412131,0.22109008378763947,0.20804552013115002,0.40185988840669673,0.2818544995794768,0.21287329660771187,0.03654028028544409,0.0,0.04436745641484131
0.038689708537528844,0.4960253433559023,0.3326403349277742,0.037084803892059766,0.03432071387084834,0.02571433076634766,0.008929524818147128,0.1552341188773697,0.024087837806049617,0.30386833781565725,0.6109301602001549,1.0,0.20013096117153967,0.22750526387756978,0.2117665691903664,0.4142591444513299,0.27134146341463,0.19547694984053232,0.0386897085375289,0.0,0.04749664729548503
0.04155561287364207,0.5378497334450659,0.34110684476236564,0.03977756915191394,0.03720077377609443,0.02874668109256806,0.01192684783402842,0.16715286573637556,0.027098817531805874,0.08712640178607406,0.618139814632992,1.0,0.17390701596664382,0.22250732442646623,0.21277165104866336,0.38946063236205647,0.2818544995794768,0.20127573209625832,0.04155561287364218,0.0,0.05096110862762629
0.04298856504169879,0.4536090356696526,0.3217992869416545,0.04247324393663019,0.039360818705028944,0.03141514937964196,0.014799282390914659,0.17655348608969276,0.03017252600184883,0.0,0.556334497808227,1.0,0.15128478654397143,0.21037132489435084,0.20841185793155342,0.35226286422814634,0.2503153910849454,0.189678167584808,0.042988565041698956,0.0,0.054313813142601704
0.048003897629896874,0.6629856645045441,0.34830455702824736,0.04517910205836372,0.04248088360237867,0.034690087731959585,0.01785904963629359,0.1887927026861952,0.033340327588321284,0.359567666311475,0.6310765700859419,1.0,0.2340203596804267,0.20457524368282934,0.21330939604918564,0.40185988840669673,0.3028805719091644,0.20707451435198593,0.04800389762989704,0.0,0.05777827447474296
