created_at,value,Monthly_Percentage_Change,Annual_Percentage_Change,Rolling_3M_Average,Rolling_6M_Average,Rolling_12M_Average,MACD,RSI
2024-08-22 02:26:34.073385,1.0,,,,,,0.6341196071393573,
2024-08-22 02:26:34.196396,0.9887096774193549,0.5673815805476164,,,,,0.6297660343809512,
2024-08-22 02:26:34.269010,0.9209677419354838,0.4723141346249825,,1.0,,,0.6002832923674702,
2024-08-22 02:26:34.352255,0.9548387096774194,0.6454559910457306,,0.9835969537199768,,,0.5906305952734023,
2024-08-22 02:26:34.444536,0.9790322580645161,0.6277275170198054,,0.9800820152314004,,,0.5928926266120984,
2024-08-22 02:26:34.514074,0.9096774193548387,0.4689690563603626,,0.9759812536613944,0.9999999999999998,,0.5683913210114172,
2024-08-22 02:26:34.599738,0.9403225806451612,0.6401699781480918,,0.9707088459285295,0.988502175264139,,0.5617610220517444,
2024-08-22 02:26:34.692200,0.9241935483870967,0.5583729552982705,,0.9507908611599297,0.9760720944686139,,0.5511715529850265,
2024-08-22 02:26:34.791795,0.9161290322580644,0.5721828862607262,,0.9531341534856473,0.9751398384089496,,0.5407105425543742,
2024-08-22 02:26:34.899271,0.8999999999999999,0.5579813866003223,,0.9384885764499121,0.9645742697327531,,0.527359695320905,
2024-08-22 02:26:34.991307,0.9290322580645161,0.6376219000972456,,0.9402460456942004,0.9549409571162213,,0.5293111683750767,
2024-08-22 02:26:35.059198,0.7806451612903227,0.32809085088954704,,0.8910369068541303,0.9300807955251706,1.0,0.4748161135929144,
2024-08-22 02:26:35.121136,0.7209677419354839,0.47271940372242677,0.32448389286471324,0.8260105448154659,0.8878185208203853,0.970452604611443,0.41092424055677945,
2024-08-22 02:26:35.208692,0.6548387096774193,0.4555301616372055,0.28525873287367953,0.7264206209724665,0.8359229334990681,0.9350982066609737,0.3379105446282186,0.04773758301093173
2024-08-22 02:26:35.282797,0.6693548387096775,0.616246393947789,0.3354427335832236,0.6859988283538371,0.7883778744561836,0.9084543125533733,0.2896791345474847,0.07714743705632127
2024-08-22 02:26:35.359081,0.6193548387096774,0.48395703174949994,0.2796681168051196,0.6490919742237845,0.7343070229956494,0.8729291204099061,0.23653613236716003,0.05662147567240722
2024-08-22 02:26:35.463610,0.6774193548387097,0.7092134389187792,0.3064879232131542,0.6572934973637962,0.6858297078931013,0.840990606319385,0.2218205456645626,0.20221259711644857
2024-08-22 02:26:35.568354,0.6870967741935483,0.605944193769124,0.35530326735371587,0.6637375512595197,0.6678060907395895,0.8174210076857387,0.21872143843949043,0.15982029865856723
2024-08-22 02:26:35.652263,0.6838709677419357,0.5797313278726793,0.33400394932076904,0.6871704745166959,0.6606587942821627,0.7902647309991457,0.2197833673116641,0.11178857035291939
2024-08-22 02:26:35.722484,0.6693548387096775,0.5568431930162341,0.33346099335520374,0.6842413591095492,0.6634555624611558,0.7632792485055506,0.21973969268826365,0.15057511660700712
2024-08-22 02:26:35.805268,0.5129032258064516,0.26616636789088133,0.22540145139355855,0.6209724663151729,0.6333126165320075,0.7205807002561915,0.16409967325363795,0.0
2024-08-22 02:26:35.894039,0.5274193548387098,0.6194731051547483,0.24499678573494083,0.5641476274165201,0.615599751398384,0.681127241673783,0.13146086864678053,0.03450628406940276
2024-08-22 02:26:35.982784,0.5467741935483872,0.6300645532494638,0.24260274792975456,0.5196250732278852,0.5904288377874458,0.6406490179333904,0.11908072793371605,0.07386027209141571
2024-08-22 02:26:36.059152,0.6258064516129032,0.7625925247678825,0.3952984198816763,0.5606326889279439,0.5786202610316968,0.6242527754056364,0.1457255857346671,0.21031705677715284
2024-08-22 02:26:36.122826,0.6935483870967742,0.7290607139564811,0.49437020714411534,0.6209724663151729,0.5804847731510254,0.62134927412468,0.1982883669599778,0.26336237247688554
2024-08-22 02:26:36.201414,0.6564516129032258,0.5115800411685183,0.5180838265633432,0.6608084358523726,0.5779987569919205,0.6215200683176776,0.2301321747357742,0.35279314459268907
2024-08-22 02:26:36.288268,0.7370967741935484,0.7527008586721644,0.5738335034106192,0.7012302284710018,0.6211932877563704,0.6286934244235696,0.2907818206396149,0.5154673771558738
2024-08-22 02:26:36.371529,0.6935483870967742,0.5010666431308122,0.5814677859577924,0.7012302284710018,0.6532007458048479,0.6365499573014515,0.3254196787411506,0.5424376652371077
2024-08-22 02:26:36.462172,0.7564516129032259,0.7128714123105745,0.5829918530101162,0.7375512595196253,0.6935985083903045,0.6449188727583262,0.3803311693111257,0.5918198828506346
2024-08-22 02:26:36.553132,0.6838709677419357,0.4460341992022069,0.5140223954838508,0.7182190978324549,0.7047855811062773,0.6445772843723316,0.39825791489002904,0.565113625253364
2024-08-22 02:26:36.644340,0.614516129032258,0.44574081284042366,0.45879653802002407,0.6895137668424139,0.6895587321317587,0.6372331340734416,0.3882475929444626,0.4321803014074732
2024-08-22 02:26:36.708281,0.6064516129032258,0.5691166047809988,0.4636672060491143,0.6350322202694786,0.6799254195152269,0.6305721605465413,0.3800970135636071,0.4136318607109021
2024-08-22 02:26:36.796369,0.582258064516129,0.5345510957851493,0.582128647506978,0.598125366139426,0.6500932256059664,0.6379163108454315,0.36727699188634383,0.39482807245905194
2024-08-22 02:26:36.879534,0.49354838709677407,0.3933776394003182,0.4851093990865587,0.5541886350322202,0.6115599751398384,0.634329632792485,0.32606711374117464,0.33597388529474903
2024-08-22 02:26:36.971907,0.5516129032258066,0.7211128704342572,0.5211600753118039,0.5342706502636206,0.5720944686140459,0.6348420153714773,0.3196805446573008,0.5376217232527027
