date,value,Lag_1,Lag_3,Lag_12,Rolling_Mean_3M,Rolling_Mean_6M,Rolling_Mean_12M,Rolling_Std_3M,Rolling_Std_6M,Rolling_Std_12M,MoM_Percentage_Change,YoY_Percentage_Change,Cumulative_Sum,Cumulative_Product,Trend,Seasonal,Residual,EMA_12,EMA_26,EMA_50,ROC,RSI,Z_Score,Days_Since_Peak,Days_Since_Trough
1948-01-01,0.0543478260869561,,,,,,,,,,,,0.0,,,0.02226776985048673,,0.0,0.0,0.0,,,0.054347826086956486,0.0,0.0
1948-02-01,0.08695652173912993,0.0543478260869561,,,,,,,,,0.7900308940312669,,0.001019865737878923,0.08695652173913615,,0.8910132964435888,,0.0053764620718714795,0.002606802209411896,0.0013962407768079999,,,0.0869565217391301,0.0,0.0012182661322015247
1948-03-01,0.04347826086956452,0.08695652173912993,,,0.033582089552238514,,,0.12374219943051395,,,0.5811829108632339,,0.002032805392648312,0.04347826086957074,,0.5710665168437572,,0.002757160036856554,0.001544771679650836,0.0008760726442718081,,,0.04347826086956502,0.00322975832498051,0.0
1948-04-01,0.09782608695652151,0.04347826086956452,0.0543478260869561,,0.048507462686568026,,,0.15727359070151767,,,0.8501316734498447,,0.003054402651304618,0.09782608695652684,,0.2965245173761559,,0.009501597665477313,0.004906080427041104,0.002703371223377715,,,0.09782608695652156,0.0,0.0012182661322015247
1948-05-01,0.02173913043478226,0.09782608695652151,0.08695652173912993,,0.02611940298507509,,,0.21432777645397408,,,0.4922257885190491,,0.00406387926451924,0.021739130434786702,,0.6540744777450982,,0.0026633513373779394,0.0019358648526628386,0.0012011158887910156,,,0.021739130434782095,0.003341129301703976,0.0
1948-06-01,0.11956521739130466,0.02173913043478226,0.04347826086956452,,0.05223880597015018,0.028625954198473025,,0.28092057988436664,0.21549911153938672,,0.9709517651798192,,0.005088939564730314,0.11956521739130999,,0.42565669380860527,,0.013006529121525112,0.00700607187499358,0.003946494858533711,,,0.11956521739130449,0.0,0.0012182661322015247
1948-07-01,0.13043478260869534,0.11956521739130466,0.09782608695652151,,0.06343283582089665,0.04198473282442716,,0.3273910863773016,0.25462693440385203,,0.7298825938699035,,0.006115731385718771,0.13043478260870067,0.026405867970659358,1.0,0.8498835082125424,0.02355060280899135,0.012569642076584842,0.007049625500163081,,,0.13043478260869518,0.0,0.0023972333569126777
1948-08-01,0.08695652173912993,0.13043478260869534,0.02173913043478226,,0.0858208955223887,0.04198473282442716,,0.12374219943051593,0.25462693440385203,,0.5819861515784875,,0.007135597123597694,0.08695652173913437,0.027383863080684634,0.727691959748654,0.704861926137049,0.02530389521794074,0.014245359687731884,0.00816941037500385,,,0.0869565217391301,0.003452500278427442,0.0036154994891142026
1948-09-01,0.08695652173912993,0.08695652173912993,0.11956521739130466,,0.07462686567164223,0.04961832061068705,,0.13727964461089603,0.223533786571894,,0.7002633468996896,,0.008155462861476618,0.08695652173913437,0.029828850855746047,0.48653538123812723,0.7000150019956415,0.02678745033320684,0.015796950068422966,0.009245282117499087,,,0.0869565217391301,0.006905000556854884,0.0048337656213157274
1948-10-01,0.06521739130434767,0.08695652173912993,0.13043478260869534,,0.05223880597015018,0.04389312977099191,,0.06863982230544792,0.2306531617078475,,0.6407231288814628,,0.009171865557800776,0.065217391304353,0.030806845965770435,0.15144450661546216,0.6282452201122339,0.02445845815205594,0.015495739688713428,0.009348135626729537,,,0.06521739130434795,0.010246129858558859,0.00601273284602688
