value,Monthly_Percentage_Change,Annual_Percentage_Change,MACD,Trend,Seasonal,Residual,Cumulative_Sum,Rolling_3M_Growth,Rolling_6M_Growth,Rolling_12M_Growth,CPI_Ratio_12M,Days_Since_Peak,Days_Since_Trough,RSI
0.8183212693542976,,,0.8771229080072799,,0.7951862280654893,,0.0,,,,,0.9988989522287338,0.0,
0.0,0.0,,0.6244000170851981,,0.862765218667704,,0.00019203552678702038,,,,,0.0,0.0,
0.00047936340539762867,0.9859950096016972,,0.4294258272927883,,0.9065176528101233,,0.00038532268177470094,,,,,0.0011010477712661837,0.0010951741680209142,
0.0017804926486197775,0.9977949340124116,,0.2821720611315488,,0.8041896710145124,,0.0005820071133070311,0.0,,,,0.0020955425324098442,0.002084363739136579,
0.0017804926486197775,0.979040415940518,,0.17358236794967474,,0.8031893859229342,,0.0007786915448393613,0.9732880342381548,,,,0.003196590303676028,0.0031795379071574933,
0.0016092914324063318,0.976615340098925,,0.09646965679364472,,0.7971558753809802,,0.0009749289663000269,0.9640238563163627,,,,0.0042621204049013706,0.004239383876209991,
0.0020544145945612796,0.9853599757646235,,0.045087516136944505,0.03408911293324955,0.0,0.0,0.0011723286139470198,0.9519815814690085,0.0,,,0.005363168176167554,0.005334558044230905,
0.002568018243201603,0.9862892839452796,,0.014471354711968809,0.0,0.8908661027668927,0.9177102838659823,0.0013710692918090061,0.9590431136059191,0.9579604386097009,,,0.006428698277393008,0.006394404013283402,
0.003150102378327288,0.9872003652410646,,0.0004948861497182655,0.0006168622265068507,0.8973858237919785,0.9168805357480161,0.0015713298039146512,0.9694482838905724,0.9591314940197935,,,0.007529746048659192,0.007489578181304317,
0.004656673081005563,1.0,,0.0,0.0011321236157067205,1.0,0.9545558661631892,0.0017755240046509425,0.9838642284987505,0.961252907848708,,,0.008630793819925375,0.008584752349325231,
0.004896354783704385,0.9823106583188482,,0.009681992456498256,0.0016140018726485544,0.9552871166387433,0.9460409825126415,0.0019803440194875645,0.9798964988526943,0.9644608891523442,,,0.009696323921150718,0.00964459831837773,
0.005409958432344694,0.9860266667281711,,0.02731158231599884,0.002177160799436015,0.843196159465549,0.9459722016680328,0.0021865050645391796,0.9787313377304958,0.9737424256868803,,0.0,0.010797371692416902,0.010739772486398643,
0.006608366945838787,0.9952356318817718,0.0,0.05117850417069547,0.002776605739547397,0.7951862280654893,0.9697995209392425,0.0023957951800924453,0.974062369990986,0.9834879376815198,0.0,0.9631953438813732,0.011862901793642244,0.011799618455451142,
0.007532853513391363,0.9913470801857653,0.9588069058717901,0.07957564132365358,0.0033920165255213047,0.862765218667704,0.980786672569502,0.002607499150032698,0.9830247877250059,0.988520645852008,0.9588069058717901,0.9698481529419525,0.012963949564908539,0.012894792623472056,3.9006769158786425e-07
0.007498613270148682,0.978589810632114,0.9516090851491672,0.11090239389801726,0.004001621549363413,0.9065176528101233,0.9561740864390331,0.0028191137179586186,0.9756122975115546,0.9799197582405299,0.9516090851491672,0.9537539481405648,0.014064997336174723,0.01398996679149297,0.0
0.00691652913502297,0.9713768894111072,0.9263850518479178,0.14399823806055256,0.004516882938563269,0.8041896710145124,0.9168712832699195,0.0030292084516408803,0.9521971577882672,0.9518914132463532,0.9263850518479178,0.9284020241009621,0.015095009767359224,0.01501448456157705,0.9063851682046732
0.008012216918788992,0.993570232046743,0.9401585287217429,0.1786211098291165,0.004940703574186814,0.8031893859229342,0.9422178040861566,0.0032421640497817938,0.9543386063849774,0.9628043889855168,0.9401585287217429,0.9421292995363191,0.016196057538625408,0.016109658729597964,0.9127200064464623
0.008662781540400066,0.9875515973157141,0.9506906107674881,0.21390834032141737,0.005303563707426157,0.7971558753809802,0.953164091469827,0.0034568182861950325,0.9630922822518946,0.9642927592934127,0.9506906107674881,0.9431213641043168,0.01726158763985075,0.017169504698650462,0.9060061607884979
0.009142144945797695,0.9852621848635553,0.9505962416651883,0.2492610738794645,0.0055561143601607355,0.0,0.9723071080811518,0.003672724150808931,0.976862213849272,0.9546274779811141,0.9505962416651883,0.9398977366198791,0.018362635411116934,0.018264678866671376,0.9110479759186167
0.009998151026864896,0.9900863100430117,0.9542569028936205,0.2843785662438003,0.00569690409185758,0.8908661027668927,0.9867426562006711,0.0038908650657811517,0.973433776942527,0.9534125519985084,0.9542569028936205,0.9450301156311822,0.019428165512342388,0.019324524835723875,0.935340150219041
0.010100871756592952,0.9803523422154782,0.9476370962430775,0.31867891569632245,0.005779636202236163,0.8973858237919785,0.9873983224051037,0.0041092741867963705,0.9663324813764014,0.9551293015555457,0.9476370962430775,0.9331713080425457,0.02052921328360857,0.02041969900374479,0.9329541779024006
0.009861190053894145,0.9759830137333522,0.9248397569928749,0.3518424218425139,0.005873979836878387,1.0,0.9737889484864879,0.004327057493711259,0.957221442996687,0.9596537925484154,0.9248397569928749,0.9169185849878079,0.021630261054874755,0.021514873171765703,0.9040482795286784
0.0096899888376807,0.9768502817650235,0.9196873154534413,0.38375845598462255,0.005948003304059216,0.9552871166387433,0.9654239312451636,0.004544393790554484,0.9443952578727428,0.943497229634124,0.9196873154534413,0.9032671183776677,0.022695791156100098,0.0225747191408182,0.8793531355348638
0.00917638518904039,0.9724564996285011,0.9069918351416296,0.4142276660821323,0.005948003304059216,0.843196159465549,0.9480990882426146,0.004760389057182715,0.9367689851252707,0.9290558995651023,0.9069918351416296,0.8837510508452577,0.02379683892736628,0.023669893308839115,0.795389439319263
