date,open,high,low,close,volume,SMA_20,SMA_50,SMA_100,EMA_12,EMA_26,Bollinger_Upper,Bollinger_Lower,RSI,MACD,MACD_Signal,ATR,ATR_14,OBV,Stochastic_Oscillator
2024-07-23,0.9839661286024154,0.9838476391300081,0.9829999447629807,0.9787517947301692,0.03953337066116997,,,,1.0,1.0,,,,0.8354830466924932,0.9266175351775685,0.007222378577205233,,0.00045650651270453277,
2024-07-24,0.9730331044199702,0.969325818260255,0.9579621996913041,0.9546843690744682,0.08554339269163515,,,,0.995515806112471,0.9977744666691892,,,,0.8286047759483487,0.9246003489668527,0.01874439742395851,,1.6106605283663575e-07,
1993-02-24,0.0007218114649819168,0.0007193761942567989,0.0008432617754047661,0.0016180725985211336,2.422444186484116e-05,,,,0.8141481107219942,0.9075830154019859,,,,0.550915755202799,0.8415489124818407,0.0009964764740684091,,0.0,
1997-02-06,0.06628635286750528,0.06585289578259144,0.06577441848157192,0.06664061961316664,0.002844822014070612,,,,0.6727980066531043,0.830085097227494,,,,0.3551789691370952,0.7177041569996618,0.07204524907514599,,1.5206962577897737e-05,
2024-07-25,0.9585776094911239,0.9660455376295681,0.9524882916427346,0.9492763974545124,0.07020851733672125,,,,0.7176449786795885,0.8399457737026774,,,,0.4595474767096212,0.6492364403353154,0.9975208281811955,,0.0003897516766159333,
2001-01-25,0.17882879044926786,0.17912467236994378,0.17804870057832106,0.17762841414876432,0.01241428020515232,,,,0.6118205308648083,0.777721148163848,,,,0.3250712439797012,0.5550245053305665,0.003255156481956804,,0.0003234984112393993,
1993-02-25,0.0016842267516244541,0.0009591682590090744,0.0016262905668520539,0.0017978584428012534,4.511945807053354e-05,,,,0.48951637515363866,0.7038465676469261,,,,0.17527811563947038,0.4357252191429177,0.00039859058962736374,,0.0003232258850283258,
2005-01-20,0.14348889919892305,0.14258035594668866,0.1426485731742844,0.14209074559605944,0.08271223280354517,,,,0.4121673293159094,0.6484171692798486,,,,0.10553707415456515,0.31983287805291605,0.15687196334689332,,0.0007644690926573906,
1997-02-07,0.06827133439620553,0.06786115432489169,0.06649721428906172,0.06867819251500806,0.00265871860050233,,,,0.33304005883289634,0.5903051371192833,,,,0.038234430545126874,0.2073812004791652,0.002989429422205228,,0.0007502548603899423,
2009-01-09,0.09203818759916546,0.09101547609737061,0.0811049194858861,0.08760843567454743,0.37995451545318476,,,,0.2696132590521678,0.5382481940543253,,,,0.0,0.10620687060111722,0.02559217312467425,,0.002777075773853174,
2024-07-26,0.9603678039402995,0.965527548402973,0.9602751694047373,0.9608402785723646,0.06171905594479858,,,,0.3786432126398782,0.5707957398791228,,,,0.22912784589078006,0.09246358847378144,0.9737036778025983,,0.0031063352054691304,
2012-12-31,0.18539247040349227,0.18931103544394706,0.1855344423323687,0.18986105066444672,0.28005062104695283,,,,0.32725204267879626,0.5296393151743437,,,,0.19521452298336506,0.07152322351955376,0.006287112862804669,,0.0016124310301109048,
2001-01-26,0.17672350700973732,0.17696654378717336,0.175729730695958,0.17732877107496411,0.008187631734753613,,,,0.28143221766725735,0.4903726450050873,,,,0.17235914152125742,0.048068147958235774,0.0034212358943015385,,0.0015687239500392436,
1993-02-26,0.002105283439530578,0.0010790642913851983,0.0017467565347670105,0.0019177156723213379,7.003274662347445e-05,,,,0.20997936477292473,0.4377942220862691,,,0.16746738657374238,0.11187844564945293,0.011566951204833087,0.00039859058962736374,0.6075089117558771,0.0015683185290241188,0.0013401004605579296
2016-12-19,0.3501387114716409,0.3494154127477601,0.3504090020066084,0.34926156775921835,0.10371264255251682,,,,0.21423565983616544,0.42122964987557315,,,0.32055589443158383,0.17200748494620688,0.0,0.38594464735705214,0.7875850250081174,0.002121584095028759,0.3597008714785349
2020-12-09,0.6304517974833013,0.6276317272625466,0.6219296756840655,0.6202731599956801,0.08506464424340582,,,,0.2683314699438393,0.43095273304704823,,,0.4346206915888151,0.30413097267712774,0.0294942126374248,0.3092159269665374,0.9256993857479324,0.0025753757567362383,0.6414627388323266
2005-01-21,0.1432964199912557,0.14219669439809457,0.1414150035902906,0.1407099883942724,0.07250708392712875,,,,0.22475361118278003,0.3956100131198021,,,0.6056409833315763,0.2766466409551601,0.04502926976717392,0.0027369844638082735,0.9265269682264771,0.002188569812873706,0.14434719585238798
1997-02-10,0.06911344777201775,0.0684006864705843,0.06773199046019013,0.06723990576076705,0.0019113199439141028,,,,0.1741912417444531,0.3560914374905237,,,0.552400972762559,0.2404846980919252,0.046852124833703046,0.0022254641254194477,0.8933288266374945,0.002178342424727804,0.06823238697664079
2009-01-12,0.08757256527049948,0.08639229276229297,0.083128753529224,0.0835045260534954,0.3189972091376432,,,,0.13443808940677732,0.32100416568714013,,,0.15136318682418892,0.22358159318959892,0.04335324575747512,0.02206332627443925,0.4295150769152182,0.0038799991487626032,0.08512815805063696
2024-07-29,0.9675666529609107,0.9652589544337392,0.9626459030316497,0.9614539629292327,0.04536124325805655,0.965650522700819,,,0.2643785633634287,0.3697006096250624,1.0,0.0,0.9060841784427562,0.46822232701915556,0.11229977933122948,0.9779552788713762,0.89296870532702,0.004122001199358912,0.9951696262106501
2013-01-02,0.19588279125340435,0.1961978558702861,0.19553794209039405,0.1968607013621256,0.22049270677828584,0.7424081872737209,,,0.23187073092171318,0.34408738356942853,0.8492495191794811,0.049194715485112006,0.6296522941308804,0.4455633089552664,0.16081180996475009,0.0028857916172691416,0.8941513278735572,0.002945796444919513,0.20252880968771006
