created_at,value,Lag_1,Lag_3,Lag_12,Rolling_Mean_3M,Rolling_Mean_6M,Rolling_Mean_12M,Rolling_Std_3M,Rolling_Std_6M,Rolling_Std_12M,MoM_Percentage_Change,YoY_Percentage_Change,Cumulative_Sum,Cumulative_Product,Trend,Seasonal,Residual,EMA_12,EMA_26,EMA_50,ROC,RSI,Z_Score,Days_Since_Peak,Days_Since_Trough
2024-08-23 14:58:07.293076,0.6117389672090825,0.6100799533165837,0.6110229822218637,0.5980028101663892,0.6103113763338563,0.6105787791525583,0.6083821839414995,0.017685318791374353,0.010837577405226175,0.07868436396459076,0.4530001907224516,0.3743533246096185,0.4052946223442567,0.6117389672090826,0.6173183861431196,0.790494097037822,0.42421829420884904,0.6092469123374351,0.6039483362239338,0.5962000380224788,0.37435332460961845,0.8004838221953461,0.6117389672090825,0.0,0.6630360384489481
2024-08-23 14:58:07.296099,0.6110209906085474,0.6117389672090825,0.608616117529085,0.5944716797565451,0.611114158247429,0.6107718110186385,0.6097741027718354,0.00941746175531663,0.011465469163569676,0.0635537689512591,0.4406756114136509,0.379137131869148,0.40641114538842127,0.6110209906085475,0.6190028521104813,1.0,0.4127110630795796,0.6101656074186327,0.6050208705437319,0.5972151330427222,0.3791371318691479,0.7810976521609139,0.6110209906085475,0.011567164179104477,0.6639585751272208
2024-08-23 14:58:07.298915,0.614335035166912,0.6110209906085474,0.6100799533165837,0.5964951588859313,0.612534566991403,0.611624881957433,0.6112745676521211,0.01973429612602593,0.02030939867688981,0.050788317490533266,0.4615630958232848,0.3811793261410925,0.407533381330372,0.6143350351669121,0.6208808852634592,0.6343729531538145,0.422368494428607,0.6114597486408592,0.6062653508716269,0.5983247201923202,0.38117932614109246,0.7641998775733795,0.6143350351669121,0.0,0.6648811118054936
2024-08-23 14:58:07.302796,0.6191955674654032,0.614335035166912,0.6117389672090825,0.600820943008989,0.615023689545785,0.6129917607537402,0.6128200087892147,0.04653929223883763,0.043928323319998394,0.05590881618452061,0.4694478965882836,0.38185603521429384,0.4086639960746347,0.6191955674654033,0.6231579910365115,0.7779061773170781,0.4308856444894249,0.6133127305018206,0.6077863521612437,0.5995877644366358,0.3818560352142939,0.8834558596404577,0.6191955674654033,0.0,0.6657738892360802
2024-08-23 14:58:07.305719,0.6222487106793293,0.6191955674654032,0.6110209906085474,0.6032606693214871,0.6187716672168133,0.6152718351684408,0.6144170428019017,0.04517525282291193,0.057997726410728145,0.06729332752022796,0.4600140839786933,0.38274280316610326,0.40979987396331224,0.6222487106793294,0.6257612832788112,0.5655861737138821,0.4350488976102387,0.6153567377709845,0.6094262885281795,0.6009250044322275,0.38274280316610315,0.8870629789272085,0.6222487106793294,0.0,0.666696425914353
2024-08-23 14:58:07.308605,0.6260676292133824,0.6222487106793293,0.614335035166912,0.6042275975865629,0.6226881792274611,0.6179458011821743,0.6162539501842308,0.03897294713713156,0.07234072909437497,0.08211895270355361,0.4638418921904878,0.38734573522437593,0.41094233507404804,0.6260676292133824,0.6287285873893218,0.5269362354713678,0.43884483402721974,0.6176817950181956,0.6112344392734865,0.6023645631525695,0.38734573522437576,0.8853156630900693,0.6260676292133824,0.0,0.6675892033449394
2024-08-23 14:58:07.313253,0.6281189909291971,0.6260676292133824,0.6191955674654032,0.606752963271663,0.6256669488868922,0.6206853880373538,0.6180509903445104,0.03372121955990389,0.07961372785097942,0.09667580910804847,0.45477928628768854,0.3864362301297825,0.4120883324135817,0.6281189909291972,0.6317926960369371,0.47710271122068093,0.4356369125116566,0.6199690353819436,0.6130642627730578,0.603830798860508,0.38643623012978245,0.8839398320465159,0.6281189909291972,0.0,0.6685117400232122
2024-08-23 14:58:07.316094,0.6285451961788907,0.6281189909291971,0.6222487106793293,0.609866850691737,0.6277688081165076,0.6236163412550235,0.6196219766553961,0.014993674737633047,0.06643627966174008,0.10826350722298095,0.4465431840309992,0.3819255100436131,0.41323506446472974,0.6285451961788907,0.6350447587987826,0.5404465484975844,0.42435738897883324,0.6219708539968262,0.6147908743806482,0.6052568068550748,0.3819255100436131,0.8819683413627037,0.6285451961788907,0.0,0.669434276701485
2024-08-23 14:58:07.318878,0.6352021636887067,0.6285451961788907,0.6260676292133824,0.6092345134638039,0.6308180497285999,0.6271064040278539,0.6218060471372945,0.04496097203020133,0.06591677779783171,0.12736571110076877,0.4779755339229633,0.39374696893001915,0.41439327209331184,0.6352021636887067,0.6384648367048623,0.7586628724928346,0.43435025771254754,0.6247027714333866,0.6168945654456707,0.6068966628024264,0.39374696893001904,0.8955281738889707,0.6352021636887069,0.0,0.6702675356366992
2024-08-23 14:58:07.321692,0.6391883777413312,0.6352021636887067,0.6281189909291971,0.6110229822218637,0.634513173435132,0.6304502355854827,0.6241749641718467,0.06086412394520216,0.07409917341496142,0.14782905588041137,0.4643025306436907,0.3971764483843642,0.415558351335427,0.6391883777413312,0.641863341985841,0.0,0.4450303702694205,0.627635994160612,0.6191448092009602,0.6086337497383633,0.3971764483843642,0.8980022167554321,0.6391883777413312,0.0,0.671190072314972
