created_at,updated_at,id,value
2024-08-14 14:58:32.539762,2024-08-14 14:58:32.539762,0.0,0.0
2024-08-14 14:58:32.555569,2024-08-14 14:58:32.555569,0.003236245954692557,9.8781127548523e-05
2024-08-14 14:58:32.563538,2024-08-14 14:58:32.563538,0.0064724919093851144,0.0002262031455025227
2024-08-14 14:58:32.570676,2024-08-14 14:58:32.570676,0.00970873786407767,0.0005841262039522396
2024-08-14 14:58:32.662712,2024-08-14 14:58:32.662712,0.012944983818770229,0.000795392402921034
2024-08-14 14:58:32.666877,2024-08-14 14:58:32.666877,0.016181229773462785,0.0010358279220075792
2024-08-14 14:58:32.672902,2024-08-14 14:58:32.672902,0.01941747572815534,0.0012693586261870258
2024-08-14 14:58:32.759764,2024-08-14 14:58:32.759764,0.022653721682847898,0.0013105761437447183
2024-08-14 14:58:32.771468,2024-08-14 14:58:32.771468,0.025889967637540454,0.0011227369953535887
2024-08-14 14:58:32.774795,2024-08-14 14:58:32.774795,0.029126213592233014,0.0009929898866655653
2024-08-14 14:58:32.791047,2024-08-14 14:58:32.791047,0.032362459546925564,0.001047171546497817
2024-08-14 14:58:32.794785,2024-08-14 14:58:32.794785,0.03559870550161812,0.0009674843458862756
2024-08-14 14:58:32.797756,2024-08-14 14:58:32.797756,0.038834951456310676,0.001326851778882884
2024-08-14 14:58:32.803546,2024-08-14 14:58:32.803546,0.042071197411003236,0.0016634615056040497
2024-08-14 14:58:32.809176,2024-08-14 14:58:32.809176,0.04530744336569579,0.0022894745714162022
2024-08-14 14:58:32.816556,2024-08-14 14:58:32.816556,0.04854368932038835,0.0027048907825617773
2024-08-14 14:58:32.821300,2024-08-14 14:58:32.821300,0.05177993527508091,0.0032704867179367964
2024-08-14 14:58:32.824030,2024-08-14 14:58:32.824030,0.05501618122977346,0.003555486476092131
2024-08-14 14:58:32.860179,2024-08-14 14:58:32.860179,0.05825242718446602,0.003812479459496726
2024-08-14 14:58:32.863256,2024-08-14 14:58:32.863256,0.06148867313915858,0.00398133036689333
2024-08-14 14:58:32.866805,2024-08-14 14:58:32.866805,0.06472491909385113,0.004109633101034458
2024-08-14 14:58:32.874677,2024-08-14 14:58:32.874677,0.06796116504854369,0.004152259764491559
2024-08-14 14:58:32.878848,2024-08-14 14:58:32.878848,0.07119741100323625,0.004387270071865386
2024-08-14 14:58:32.884051,2024-08-14 14:58:32.884051,0.0744336569579288,0.00484915286904395
2024-08-14 14:58:32.890935,2024-08-14 14:58:32.890935,0.07766990291262137,0.005101671814217924
2024-08-14 14:58:32.900675,2024-08-14 14:58:32.900675,0.08090614886731391,0.005234448586589674
2024-08-14 14:58:32.905259,2024-08-14 14:58:32.905259,0.08414239482200647,0.0052140864283432235
2024-08-14 14:58:32.915266,2024-08-14 14:58:32.915266,0.08737864077669903,0.005030862232772656
2024-08-14 14:58:32.922759,2024-08-14 14:58:32.922759,0.09061488673139159,0.005008844328094401
