timestamp,id,open,high,low,close,volume
2024-06-26,1,0.9928581688330343,0.9959331799118342,0.9964450991716807,0.9983092999612972,0.0
2024-06-25,2,0.9928618052032823,0.9940695991121654,0.995474583829862,0.9967167457079738,0.0
2024-06-24,3,0.9926527139140254,0.997299079289369,0.9956628382181997,0.992748322725564,0.0
2013-12-31,4,0.3350206091283803,0.33592406180694684,0.33673958021099115,0.32618844361154264,0.0
1994-12-30,5,0.08350378818870581,0.08393742291841112,0.08393586922351462,0.06895574736163758,0.0
1982-12-31,6,0.025570955583555606,0.025725043728759993,0.025487450925919156,0.009951612276000759,0.0
2010-12-31,7,0.22850223364042482,0.22874092049266825,0.22922987505757297,0.21679848448092917,0.0
1996-12-31,8,0.1346802448731725,0.1369441270867655,0.1353859763274676,0.1210785666270997,0.0
2009-12-31,9,0.20483673606679287,0.20481951783025432,0.2037552181192107,0.19040282363572728,0.0
2008-12-31,10,0.1618584761063202,0.16534647890393842,0.16260609871109713,0.15117228659310053,0.0
2001-12-31,11,0.20874219771308677,0.21090794165139415,0.20982870678373775,0.1965100840164959,0.0
2000-12-29,12,0.24005134554790103,0.24340980795672712,0.24080295065907315,0.22839820522839263,0.0
2002-12-31,13,0.15996756357738834,0.1601716819270806,0.1589068085946353,0.14683350215642957,0.0
1997-12-31,14,0.17644213898570726,0.17709829934629362,0.17681473574932557,0.16361272784173714,0.0
1984-12-31,15,0.030407328013323666,0.030740001416757336,0.030361960185110726,0.014877419617675868,0.0
1998-12-31,16,0.2234967699941273,0.22471587658227274,0.22388747139629928,0.21153750002314758,0.0
1990-12-31,17,0.06004010916383486,0.059981509500447734,0.05985758464136626,0.04505817452542809,0.0
1991-12-31,18,0.07583468333578788,0.07598178558649213,0.07543517834818655,0.06114482429126705,0.0
1983-12-30,19,0.029987327249685912,0.03013878772797533,0.029888582645504196,0.014449652138004084,0.0
1988-12-30,20,0.05049463726297685,0.05081799572429902,0.050759231775878585,0.035336186351069325,0.0
1986-12-31,21,0.044030989147253,0.04432452461434231,0.044099047396240765,0.028753011501574957,0.0
1985-12-31,22,0.03841461529930055,0.03844498168205422,0.038524524246434134,0.023032778840509395,0.0
2024-06-21,23,0.9939599890181621,0.9950558801786568,0.9964743425718108,0.9958500999050022,0.0
2012-12-31,24,0.25498773634133887,0.2591467124872628,0.2555343134746277,0.24801069603879908,0.0
2011-12-30,25,0.22960405382555243,0.22960913844806946,0.22982753704773257,0.2167910772518439,0.0
2005-12-30,26,0.22696223084041972,0.22784727355949383,0.2278408135513916,0.21506704468225762,0.0
2004-12-31,27,0.22034949154453012,0.2211104108051359,0.22145478604797383,0.20833202163651615,0.0
2007-12-31,28,0.2669750308636925,0.26806320190789984,0.26778364270413724,0.25581976730189826,0.0
2003-12-31,29,0.20216764030480058,0.20208045365296345,0.20218338536221608,0.18981394892345185,0.0
2006-12-29,30,0.2578731961330839,0.25919393773169885,0.25893568645226384,0.24654962010173828,0.0
1980-12-31,31,0.024683681243056806,0.02484047857336169,0.024544351271722362,0.009047930327603221,0.0
1999-12-31,32,0.2671368493397261,0.26744382466356553,0.2674692761527383,0.2559845781490445,0.0
1995-12-29,33,0.11198747634086607,0.11187478771344447,0.11192180314805203,0.09796616007392413,0.0
1992-12-31,34,0.07922014403662553,0.07984517385247196,0.07963526169187692,0.06459288943043963,0.0
1989-12-29,35,0.06425466228120415,0.06419182167747702,0.06409239452271116,0.0493506637803164,0.0
1993-12-31,36,0.08480924510771838,0.0855049377625769,0.08525364994187874,0.0702853449824356,0.0
1987-12-31,37,0.04492371804312372,0.045020188791996416,0.04481916612444529,0.029662248871786416,0.0
2013-12-30,38,0.33481333602424734,0.3346580619849497,0.3360742928580306,0.3248384761107602,0.0
1979-12-31,39,0.019625490228164053,0.0196057418631812,0.019728328812791063,0.0038962024988287297,0.0
1994-12-29,40,0.0838474251771367,0.08388111589619891,0.08414057302442556,0.0693057389359145,0.0
1981-12-31,41,0.022281858694288538,0.022417460262681342,0.02221950096137678,0.006601692922207424,0.0
1982-12-30,42,0.02551459184471245,0.025875801239844304,0.025509383476016757,0.009894206250590263,0.0
2010-12-30,43,0.22898950725364958,0.22905878271483399,0.22961917782180533,0.21684292785544051,0.0
1996-12-30,44,0.13706388557070107,0.13789771375326262,0.13757740362471946,0.12350628595978244,0.0
2009-12-30,45,0.20464219025852776,0.20459792245251593,0.2050583771375098,0.19249906946684617,0.0
1978-12-29,46,0.01747457722650405,0.017624097952422382,0.017450999027656948,0.0017055144968732214,0.0
2008-12-30,47,0.15888574342862444,0.16185907623789172,0.15911699553307065,0.1488371576239831,0.0
2024-04-18,48,0.9148234814972392,0.9184692481922722,0.9142016917306977,0.9118706401512556,0.0
2001-12-28,49,0.21109492926350779,0.21154003338461513,0.21149009745363095,0.1989063226255664,0.0
2000-12-28,50,0.24258589561071933,0.24265238769019515,0.24231446890329938,0.2309796245645938,0.0
2002-12-30,51,0.1598893816170575,0.16020800903818525,0.15906399187033476,0.1467538744437634,0.0
1997-12-30,52,0.17651668457579017,0.1763390627242064,0.17424497196289013,0.1636886519398607,0.0
1984-12-28,53,0.030229145871174312,0.030198727461298,0.030296162534817924,0.014695942505087836,0.0
1998-12-30,54,0.2239876799776,0.22612355213757804,0.22502796400137445,0.21203748798640032,0.0
1990-12-28,55,0.05976738139523891,0.05970723981160761,0.05981006411615479,0.04478040343473213,0.0
1991-12-30,56,0.07548013723661316,0.07540418451992814,0.07428920260558695,0.0607837218733623,0.0
