date,id,value,CAGR_12,Monthly_Percentage_Change,Annual_Percentage_Change,EMA_12,EMA_26,Cumulative_Sum,Rolling_3M_Growth,Rolling_6M_Growth,Rolling_12M_Growth,RSI,Z_Score,Trend,Seasonal,Residual,Core_Inflation_Value,Core_Inflation_EMA_12,Core_Inflation_EMA_26,Core_Inflation_Cumulative_Sum,Core_Inflation_Z_Score,Core_Inflation_Trend
2008-12-01,0.3639455782312925,0.2695741266156535,0.1920823174129843,0.3618595439087221,0.1920823174129843,0.2670888686577801,0.2610623987843128,0.3082682615673324,0.2762407469265872,0.2246787743884183,0.1920823174129843,0.982104123987988,0.2695741266156536,0.2698590579208997,0.356014071012396,0.4422951611133783,0.2695741266156535,0.25885362791075806,0.239508854559344,14.366649471240628,-0.4651933830242409,0.25983064893627167
2009-01-01,0.3673469387755101,0.2725904909294125,0.1771579456269346,0.5203902131660766,0.1771579456269346,0.269269467329982,0.2637334115618044,0.3114301295206996,0.3297548375972802,0.2078426804132301,0.1771579456269346,0.9814911996932842,0.2725904909294128,0.27205017295883,0.9496621776111168,0.471127381951149,0.2725904909294125,0.2609669914520895,0.24195934614231204,14.63923996217004,-0.4534652696061943,0.26196515060327275
2009-02-01,0.3707482993197278,0.2757859742641788,0.1984623630232262,0.5290275286945354,0.1984623630232262,0.2716218424100525,0.2664645750061472,0.3145984857145092,0.3740573036054563,0.2099147841171506,0.1984623630232262,0.9812453672984648,0.275785974264179,0.2740578064197225,1.0,0.5384191843550497,0.2757859742641788,0.2632468349616417,0.24446502229948736,14.915025936434219,-0.44104071239847675,0.26426563589640695
2009-03-01,0.3741496598639455,0.2790889290115492,0.1962483594056907,0.5340478323684645,0.1962483594056907,0.2741366268410548,0.2692601107589756,0.317773548363126,0.4487424020223082,0.2287480573973798,0.1962483594056907,0.9806569541646564,0.2790889290115494,0.2760368983019645,0.4026634731062586,0.6361858178178608,0.2790889290115492,0.265684080200089,0.24702975613001046,15.194114865445767,-0.4281982889169575,0.26655417992147407
2009-04-01,0.3775510204081632,0.2823345656721976,0.2202165576849626,0.530855308089426,0.2202165576849626,0.2767797358582073,0.2721106226362964,0.3209552010855552,0.4532823384710424,0.2798991444814693,0.2202165576849626,0.981802821565004,0.2823345656721977,0.2782073128542806,0.1221129419805038,0.7095019085555521,0.2823345656721976,0.26824569334964415,0.24964492720720952,15.476449431117965,-0.4155787274481316,0.2690296047917919
2009-05-01,0.3809523809523809,0.2837531883185737,0.2059403858635167,0.4400106853047993,0.2059403858635167,0.2792414058109835,0.2748645251406145,0.324139734237598,0.4146644080391909,0.2849897276740111,0.2059403858635167,0.9806654979128168,0.2837531883185739,0.2805383129919696,0.0,0.6709710287217945,0.2837531883185737,0.2706314618064026,0.2521714650673106,15.760202619436539,-0.4100628926339429,0.27139875237631217
2009-06-01,0.3843537414965986,0.2852434585733525,0.1837204028059933,0.4434933537123742,0.1837204028059933,0.2815609237900853,0.2775347593528401,0.3273272932954973,0.3754268978512055,0.3161645416794731,0.1837204028059933,0.980951561042044,0.2852434585733527,0.2829455285539675,0.3320045813902652,0.6160798042289599,0.2852434585733525,0.27287946130901025,0.2546212423640544,16.045446078009892,-0.4042684803038868,0.2736007222078925
2009-07-01,0.3877551020408163,0.2863253374602355,0.1531007247993956,0.4232289746556166,0.1531007247993956,0.2836953310155294,0.2800945493872089,0.3305170490446676,0.3288444783664787,0.2790967027081484,0.1531007247993956,0.9799710305534745,0.2863253374602356,0.2852172500283065,0.5168716321118154,0.5517393486619397,0.2863253374602355,0.274948057639968,0.25696969385266044,16.33177141547013,-0.40006195981427745,0.2755698373121636
2009-08-01,0.391156462585034,0.2879947267360214,0.1376753524056598,0.4522236583461789,0.1376753524056598,0.2857663678504223,0.2825995119086073,0.3337101943903021,0.3341293091297282,0.2498352253432396,0.1376753524056598,0.9787301687437404,0.2879947267360215,0.2871699958379481,0.3563473195254119,0.5475058272830182,0.2879947267360214,0.2769552375008993,0.2592678444366131,16.61976614220615,-0.3935711036945508,0.2774225250527802
2009-09-01,0.3945578231292517,0.2910325853323015,0.1452729642763209,0.5196865210598336,0.1452729642763209,0.2880010153057832,0.2851641984874993,0.3369095079286442,0.3671035272398364,0.2443694698590628,0.1452729642763209,0.9781078706049602,0.2910325853323015,0.2888853133504643,0.2934632569449604,0.6246334045086002,0.2910325853323015,0.279120983321115,0.26162078820666407,16.910798727538452,-0.3817594170217429,0.2793373073873459
2009-10-01,0.3979591836734694,0.2951953113805059,0.1838463622596725,0.5748161058105286,0.1838463622596725,0.2905526647162233,0.2878750069672351,0.3401172736367107,0.4327875495961159,0.2610980587456617,0.1838463622596725,0.978914589245962,0.2951953113805061,0.2903425020802421,0.5299893339729351,0.7636707538821099,0.2951953113805059,0.28159395686871364,0.26410778992324496,17.20599403891896,-0.3655740633498061,0.28155420380401014
2009-11-01,0.4013605442176871,0.2963774969191526,0.1840965214630203,0.4278207525466719,0.1840965214630203,0.2928994135889937,0.2904804645312984,0.3433274397027884,0.4221968773474485,0.2564513239086752,0.1840965214630203,0.978096916324552,0.2963774969191527,0.291651650973503,0.7429883523859644,0.7524253950684283,0.2963774969191526,0.28386834764570423,0.26649813858960847,17.502371535838112,-0.36097753433798246,0.28377468260109456
2009-12-01,0.4047619047619047,0.2979179204998134,0.2022205834197106,0.4453669163266214,0.2022205834197106,0.2951296520261877,0.2930172991065096,0.3465407335080929,0.3899808401165073,0.2571653715450584,0.2022205834197106,0.97883813743032,0.2979179204998137,0.2929501359802355,0.356014071012396,0.7824839322142054,0.2979179204998134,0.28602982039249025,0.26882552984221625,17.800289456337925,-0.3549881177468184,0.28613666542477456
2010-01-01,0.4081632653061224,0.2961410598114233,0.1506554140317018,0.282572149953565,0.1506554140317018,0.2967347168230994,0.2952227561992464,0.3497504195025683,0.2635097197549997,0.2035433069471458,0.1506554140317018,0.7457558310920032,0.2961410598114235,0.2942617940232679,0.9496621776111168,0.6003538383934455,0.2961410598114233,0.28758539568771074,0.2708489024325279,18.096430516149347,-0.36189684014034706,0.2880992128316088
2010-02-01,0.4115646258503401,0.2968432063737711,0.1236779798866007,0.4042124108827168,0.1236779798866007,0.2982043077815375,0.2973215374442963,0.3529615311642262,0.2533121059487083,0.1852801199970734,0.1236779798866007,0.7705975749989702,0.2968432063737711,0.2955518106495218,1.0,0.5706529619016436,0.2968432063737711,0.28900967425479696,0.2727744064281756,18.39327372252312,-0.3591667804848394,0.2898539821740748
2010-03-01,0.4149659863945578,0.2972157739374657,0.0921682030871975,0.3880194362786092,0.0921682030871975,0.2995069494434428,0.2992949345334363,0.3561733993023482,0.2285540043134684,0.1352691200065832,0.0921682030871975,0.7490746930194683,0.2972157739374658,0.2967449113658524,0.4026634731062586,0.5518267741949501,0.2972157739374657,0.2902721511290537,0.2745848780955304,18.690489496460586,-0.3577181774023258,0.29136455258456784
2010-04-01,0.4183673469387755,0.2974951996102368,0.0604184846000752,0.3834442568025713,0.0604184846000752,0.3006535409109363,0.3011447149015438,0.3593858347978183,0.2721618149593104,0.0627549576928798,0.0604184846000752,0.720110824630054,0.2974951996102369,0.2977234797767232,0.1221129419805038,0.5274700966341186,0.2974951996102368,0.29138338935692804,0.2762819389484716,18.98798469607082,-0.3566317250904399,0.2926279387460711
2010-05-01,0.4217687074829931,0.2984982661278763,0.0558852001735533,0.418947724292199,0.0558852001735533,0.3017829611299876,0.3029384621364543,0.3626003069606919,0.2785303041654178,0.0593947316353973,0.0558852001735533,0.6920782426351235,0.2984982661278765,0.2986054459213929,0.0,0.5405845571037133,0.2984982661278763,0.29247798578322776,0.2779275928136127,19.286482962198697,-0.352731639868287,0.29385669523017965
2010-06-01,0.4251700680272108,0.3001604906428221,0.0575515285968033,0.4512380478402308,0.0575515285968033,0.3030024870052379,0.3047335472863599,0.3658181541724055,0.3058637853504519,0.0616173799757743,0.0575515285968033,0.6692730454576306,0.3001604906428222,0.2995291266810129,0.3320045813902652,0.5700423371636987,0.3001604906428221,0.2936599096077807,0.27957447413429487,19.586643452841518,-0.34626864150014647,0.2950997812359688
2010-07-01,0.4285714285714285,0.3013713352248299,0.0588028174694358,0.4290425685249046,0.0588028174694358,0.3042266037805514,0.306493426810781,0.3690384599326275,0.3255960893661782,0.1171876502781907,0.0588028174694358,0.6660273325365726,0.3013713352248302,0.3006682806772571,0.5168716321118154,0.570070300311329,0.3013713352248299,0.2948462827796344,0.28118905643729747,19.888014788066346,-0.3415606814819756,0.2963536143830183
2010-08-01,0.4319727891156462,0.3024173903075113,0.0520696693133547,0.420931548490801,0.0520696693133547,0.3054284463700834,0.3082074034223947,0.3722608896459988,0.3264546849584853,0.1235328498737996,0.0520696693133547,0.6588699507934903,0.3024173903075114,0.3021273512693629,0.3563473195254119,0.557796380879509,0.3024173903075113,0.29601106855315396,0.2827615256128689,20.190432178373857,-0.337493449750301,0.2975555030139758
2010-09-01,0.4353741496598639,0.3038646719972486,0.0350576575842768,0.4405231789492691,0.0350576575842768,0.3066751325471921,0.3099112723908883,0.3754862579794809,0.3218191172709991,0.143467367149029,0.0350576575842768,0.6647794727056975,0.3038646719972487,0.3037435573659073,0.2934632569449604,0.5553063709481023,0.3038646719972486,0.29721931523686085,0.2843247216413414,20.494296850371107,-0.33186618392976486,0.29862484356938807
2010-10-01,0.4387755102040816,0.3047172785372423,0.0,0.4113975701701843,0.0,0.3078653641739346,0.311557768332787,0.3787133574802559,0.3141842434754357,0.1540884283039152,0.0,0.6512758896274105,0.3047172785372425,0.3054924347566172,0.5299893339729351,0.5040161591773824,0.3047172785372423,0.29837284805230413,0.2858352814114082,20.79901412890835,-0.32855111149093436,0.2994183408324494
2010-11-01,0.4421768707482993,0.3070028372452926,0.0114841253586227,0.481364426209541,0.0114841253586227,0.3092352943355581,0.3132668377230705,0.3819450976731859,0.3403299396018499,0.1778017950711591,0.0114841253586227,0.6378388138148896,0.3070028372452927,0.3074113070443436,0.7429883523859644,0.5205916962609649,0.3070028372452926,0.2997005386973793,0.2874032485102144,21.106016966153643,-0.3196644887347418,0.30030378585962775
2010-12-01,0.445578231292517,0.3083928008483074,0.0098011180971089,0.4375236839179954,0.0098011180971089,0.3106151097474905,0.3149615351032642,0.3851796601052322,0.3390315551680103,0.1725894110537788,0.0098011180971089,0.5778916884711558,0.3083928008483075,0.3095177382774872,0.356014071012396,0.5023227378872974,0.3083928008483074,0.3010378097975221,0.28895803016488797,21.41440976700195,-0.314260084926901,0.3011766925553356
2011-01-01,0.4489795918367347,0.3116885908348377,0.0630726023772165,0.5303354082280969,0.0630726023772165,0.3123058217358347,0.3167968015728488,0.3884209144444612,0.3905332182540716,0.2110917302686172,0.0630726023772165,0.6251844920795935,0.3116885908348379,0.3118255287797908,0.9496621776111168,0.5387143977486488,0.3116885908348377,0.30267639149557063,0.29064177539969904,21.726098357836786,-0.3014455191969679,0.30247232014062014
2011-02-01,0.4523809523809524,0.3146261427793537,0.086411147606726,0.5125829353549138,0.086411147606726,0.3142027331156143,0.3187333004513952,0.3916681333096575,0.4040597626534714,0.2459783115978979,0.086411147606726,0.6510292672014031,0.3146261427793539,0.3143999164453128,1.0,0.5624897234842621,0.3146261427793537,0.3045148147699988,0.29241839520559937,22.04072450061614,-0.2900238410463758,0.303954231507752
2011-03-01,0.4557823129251701,0.3163528501418622,0.1005455278951598,0.4535460937094684,0.1005455278951598,0.316081910638045,0.3206657693970636,0.3949188581523126,0.4110087559047179,0.2509400076473285,0.1005455278951598,1.0,0.3163528501418623,0.3171474354450652,0.4026634731062586,0.5376081463271163,0.3163528501418622,0.3063360509810547,0.2941913177934707,22.357077350758,-0.28331012291395336,0.3055489878581184
2011-04-01,0.4591836734693877,0.3183088298512595,0.1180610555793355,0.4645725853543604,0.1180610555793355,0.3179824774320416,0.3226130183827864,0.3981735544964043,0.3825152704386202,0.2712105417137917,0.1180610555793355,1.0,0.3183088298512595,0.3199962613668403,0.1221129419805038,0.5083679129962348,0.3183088298512595,0.3081780169610862,0.2959778001681217,22.67538618060926,-0.27570495673075396,0.3072834570448703
2011-05-01,0.4625850340136054,0.3215186427077063,0.1410095728558762,0.5251781497374023,0.1410095728558762,0.320100177139021,0.3246751871342952,0.4014347681761872,0.3879691119117898,0.2879089053552345,0.1410095728558762,1.0,0.3215186427077064,0.3229526670850677,0.0,0.5336042877272149,0.3215186427077063,0.3102304209221047,0.2978697144303131,22.996904823316964,-0.263224684019863,0.30920182175985617
2011-06-01,0.4659863945578231,0.3252586478663342,0.1624715266945106,0.5504926190332883,0.1624715266945106,0.3224857677702759,0.3268865708261754,0.4047035757158601,0.4299865263823483,0.331012398456585,0.1624715266945106,1.0,0.3252586478663342,0.3260301392797673,0.3320045813902652,0.563963732153681,0.3252586478663342,0.3125424558366015,0.29989852431446284,23.3221634711833,-0.24868293769154748,0.3112933348618155
2011-07-01,0.4693877551020408,0.3289914882641216,0.1886081295769899,0.549727207120309,0.1886081295769899,0.3250968979986071,0.3292355380167753,0.4079799625677988,0.4669340325807354,0.338413290221644,0.1886081295769899,1.0,0.3289914882641216,0.3292092320402118,0.5168716321118154,0.594082575333303,0.3289914882641216,0.31507307621006614,0.30205355868110423,23.65115495944742,-0.23416904911481945,0.31359501428175646
2011-08-01,0.4727891156462585,0.3336055942452638,0.2256541221858307,0.5917066734637138,0.2256541221858307,0.3280387621028957,0.3317830507578316,0.4112657180897933,0.4958090222193951,0.3686253353236945,0.2256541221858307,1.0,0.333605594245264,0.3323127366637906,0.3563473195254119,0.6859970784638847,0.3336055942452638,0.3179242328308658,0.3043907465006716,23.984760553692684,-0.2162286570929139,0.31619403127656914
2011-09-01,0.4761904761904761,0.3354397730203764,0.229391550277227,0.4577185683020892,0.229391550277227,0.330819190474954,0.3342899505264851,0.4145551978036112,0.4555215103729685,0.3702213557730548,0.229391550277227,1.0,0.3354397730203765,0.335400559101298,0.2934632569449604,0.6309111643013807,0.3354397730203764,0.3206189313215597,0.3066906743910201,24.32020032671306,-0.20909707268668987,0.31882528969516316
2011-10-01,0.4795918367346938,0.3382197002264062,0.2492993152616048,0.5029358497841754,0.2492993152616048,0.3336131481093511,0.3368356054610268,0.4178503219956616,0.4352261992671963,0.3848944601262099,0.2492993152616048,1.0,0.3382197002264064,0.3386003523473568,0.5299893339729351,0.6085714568626486,0.3382197002264062,0.3233267419223053,0.3090261577862339,24.658420026939467,-0.19828826507100766,0.3216171581692601
2011-11-01,0.4829931972789115,0.3410354512366376,0.2543151167848007,0.504421282464389,0.2543151167848007,0.3364242402753574,0.3394200372239571,0.421151163404066,0.39741015180452,0.37695768537441,0.2543151167848007,1.0,0.3410354512366377,0.3418079866864514,0.7429883523859644,0.5886011044332378,0.3410354512366376,0.3260511587398949,0.31139721656033786,24.999455478176106,-0.18734016869739056,0.32445320933520555
2011-12-01,0.4863945578231292,0.3446608202218209,0.2772472584730246,0.542848471724148,0.2772472584730246,0.3393783501811274,0.3421057420485718,0.4244593659103715,0.4343145067383329,0.374036533951295,0.2772472584730246,1.0,0.344660820221821,0.3449365828077448,0.356014071012396,0.6359269373929806,0.3446608202218209,0.3289141835832681,0.3138611872019292,25.34411629839793,-0.17324414639446425,0.32747554428299835
2012-01-01,0.4897959183673469,0.3480425873384345,0.2773607972818985,0.5308567955369305,0.2773607972818985,0.3424148055765996,0.3448655498010011,0.4277744348953514,0.4464246269724883,0.3668259904867501,0.2773607972818985,1.0,0.3480425873384347,0.3479720267437731,0.9496621776111168,0.6397004559872244,0.3480425873384345,0.3318570149302168,0.3163931427675962,25.69215888573636,-0.16009528764548958,0.33050504399163144
2012-02-01,0.4931972789115646,0.3491674547903589,0.2578952536459276,0.4232152261869156,0.2578952536459276,0.3451626761874511,0.3475117491971562,0.4310917878573481,0.4111912425177266,0.3024943095839673,0.2578952536459276,1.0,0.349167454790359,0.3508333984144056,1.0,0.5557746873297873,0.3491674547903589,0.3345201595240848,0.31882086958409717,26.04132634052672,-0.15572162064636066,0.3333834866592152
2012-03-01,0.4965986394557823,0.3523486086034446,0.2725558984366691,0.5208804474848976,0.2725558984366691,0.3479927759225274,0.3502187803221979,0.4344155999645386,0.4016744932672557,0.3265994256525296,0.2725558984366691,1.0,0.3523486086034448,0.3536285912598162,0.4026634731062586,0.6040684987540601,0.3523486086034446,0.33726299784398633,0.32130440580775255,26.393674949130165,-0.14335277894181675,0.3363831331976804
