date,close,EMA_12,EMA_26,RSI,MACD,MACD_Signal,ATR,Close,Daily_Percentage_Change
1990-01-02,0.1101291608394517,0.1417187064392213,0.1506940910143455,,0.390291578567149,0.5003458269100676,,0.1101291608394517,
1993-11-02,0.0353501010101943,0.0946963135254026,0.1210736131868266,,0.3201721381769377,0.4691298179100688,,0.0353501010101943,-0.679012345679013
1997-09-02,0.209245419191151,0.1642565807951329,0.1625283250160936,,0.4290939207512374,0.4926471772917458,,0.209245419191151,4.919231153846169
1990-01-03,0.1230455574970616,0.1689112737442483,0.1667679848276058,,0.4331607164713231,0.5132715346338814,,0.1230455574970616,-0.4119557886968299
2001-07-03,0.1329707645691158,0.1790910055048427,0.1746250356175744,,0.4451651645894262,0.5351152012142436,,0.1329707645691158,0.08066286401515321
2005-05-03,0.0732834786326722,0.1501722056156725,0.1582575557975403,,0.3979769565517512,0.5315827288489312,,0.0732834786326722,-0.4488752556237219
1993-11-03,0.0560163139084618,0.1148445538631978,0.1362628442826559,,0.3447273393979624,0.5050509067704062,,0.0560163139084618,-0.23562152133580805
2009-03-03,0.5681848927753936,0.4070125692869939,0.3187707160691513,,0.7837812261945734,0.6792849394494501,,0.5681848927753936,9.14320388349516
1997-09-03,0.214955820123567,0.4321149827375905,0.347843125453021,,0.7920663759560154,0.8223605765109736,,0.214955820123567,-0.6216798037808089
1990-01-04,0.1370496087817917,0.40436668543729,0.3439028599047435,,0.7209272265914854,0.9051511196793214,,0.1370496087817917,-0.36242894608292553
2016-11-01,0.1280761216022808,0.3752446698027623,0.3367000085392586,,0.6530091653476708,0.9411475626080918,,0.1280761216022808,-0.06547619697184515
2020-09-01,0.2308633655781545,0.4152373978064461,0.3707454056497286,,0.693185460051248,0.9878305353500316,,0.2308633655781545,0.802548068211048
2024-07-02,0.0392929968921006,0.3286145687562025,0.3263866374545348,,0.5415775618565632,0.9576835980211048,,0.0392929968921006,-0.8297997744523105
2005-05-04,0.0640380675992367,0.2708784660820935,0.2951153893306635,0.4587572061822719,0.4442755485223219,0.8902488096424136,0.2723644217560098,0.0640380675992367,0.6297577854671303
1993-11-04,0.0753229075371065,0.2291209473094575,0.2706305293379523,0.4683406276428895,0.3780082364590363,0.8067998734220523,0.2775917998536942,0.0753229075371065,0.17622080679405627
2009-03-04,0.5223657369852961,0.4748960851084685,0.4250359700579067,0.8275688993406355,0.7454161597188991,0.9036046230639811,0.3507235971093557,0.5223657369852961,5.935018231046933
1997-09-04,0.2193065881901675,0.4922907205058364,0.4479602470161909,0.5035428326130053,0.7450493853095481,0.980885140908765,0.3729721448883564,0.2193065881901675,-0.5801665908337692
2013-01-02,0.0753229075371065,0.4164697779757016,0.4121535457134406,0.4674089884282925,0.6057074072093015,0.98067682334519,0.3841221681213481,0.0753229075371065,-0.6565406075635462
1990-01-05,0.1491502474738206,0.3987375304792595,0.4082426879687761,0.5069108382980473,0.5633084844059282,0.961634873820564,0.3950661888812184,0.1491502474738206,0.9801445848375456
2001-07-05,0.1488783100237033,0.3835623219899806,0.4045138071763778,0.5440796534777189,0.5278632599811584,0.9306216896275183,0.3855384502525542,0.1488783100237033,-0.0018232450480180074
2016-11-02,0.1384092416476072,0.3641386259526564,0.3969142728801562,0.5484569029259859,0.4887082949006949,0.8883800028409277,0.3817531100672252,0.1384092416476072,-0.0703196347031968
2020-09-02,0.2369816386952647,0.4096872542305483,0.4289228423684144,0.2445382042550449,0.5493399413598772,0.8815788543051865,0.2999948617190856,0.2369816386952647,0.7121807465618868
2024-07-03,0.0401087684538744,0.3244312649818104,0.3805777669016721,0.3514499966188974,0.4104254880543247,0.8142955305674211,0.2693516108016254,0.0401087684538744,-0.8307515777395296
2005-05-05,0.0658055726497464,0.268450185881725,0.3459924814259898,0.4358716037164322,0.3254555211685943,0.722641655098099,0.264201479446884,0.0658055726497464,0.6406779661016933
1993-11-05,0.0792658034190128,0.2295456112138321,0.3193007549574598,0.4552710564255801,0.2722439815101093,0.6256296620041688,0.260493386004498,0.0792658034190128,0.20454545454545592
2009-03-05,0.5578517591338745,0.4975696532750029,0.4841572407375623,0.7252749423168162,0.6806636935469335,0.7298417326160461,0.3350414628163026,0.5578517591338745,6.03773550600343
1997-09-05,0.2062542296055953,0.5032684939214975,0.4975320391603688,0.6050606319117712,0.6676527165139219,0.8074191184613293,0.3658134565886257,0.2062542296055953,-0.6302705401058026
2013-01-03,0.073691364413559,0.4247327200554487,0.4574070882835639,0.5030627220938325,0.5299954888212326,0.8081983181675948,0.3831178780610695,0.073691364413559,-0.6427158630663063
1990-01-08,0.1511896627820622,0.4070116710487077,0.450951942102382,0.5425386314816424,0.4932215553728585,0.792450534194129,0.3925683596465384,0.1511896627820622,1.0516605166051685
2001-07-06,0.1698164331797026,0.4037297793227801,0.4523531412618062,0.2390639374282374,0.4807031802669924,0.7742793345587105,0.3088530530403927,0.1698164331797026,0.12320134892086276
2016-11-03,0.1759347334891982,0.4048000892587007,0.4560740469168778,0.4595794405698626,0.4756020627516016,0.7574714421477706,0.2597208464733009,0.1759347334891982,0.03602890600711839
2020-09-03,0.3325628461573665,0.504196258367994,0.5215607563548437,0.7180295959626585,0.6175015911062739,0.8071964389078214,0.267935295194599,0.3325628461573665,0.8902625965996915
2005-05-06,0.0667573061384824,0.4211574932581678,0.4769092743748457,0.4337697079799473,0.4768444347502927,0.7843582089842092,0.306715737790162,0.0667573061384824,-0.7992640882472684
