date,value,Lag_1,Lag_3,Lag_12,Rolling_Mean_3M,Rolling_Mean_6M,Rolling_Mean_12M,Rolling_Std_3M,Rolling_Std_6M,Rolling_Std_12M,MoM_Percentage_Change,YoY_Percentage_Change,Cumulative_Sum,Cumulative_Product,Trend,Seasonal,Residual,EMA_12,EMA_26,EMA_50,ROC,RSI,Z_Score,Days_Since_Peak,Days_Since_Trough,NonFarm_Value,NonFarm_Lag_1,NonFarm_Lag_3,NonFarm_Lag_12,NonFarm_Rolling_Mean_3M,NonFarm_Rolling_Mean_6M,NonFarm_Rolling_Mean_12M,NonFarm_EMA_12,NonFarm_EMA_26,NonFarm_EMA_50,NonFarm_Cumulative_Sum,NonFarm_Cumulative_Product,NonFarm_Trough,NonFarm_Days_Since_Trough
2000-03-01,0.7866661422278162,0.7835614065477222,0.783328462771797,0.7754718798151001,0.7844852726742492,0.7830311205013845,0.7795725470833041,0.0253412020791194,0.046081737957327,0.1124203796751192,0.8180786122390057,0.5403515753482615,0.5685891750277727,0.7865015509124383,0.7908873403654634,1.0,0.6806263564638009,0.7814264297163331,0.7786539091045975,0.7713914986314647,0.5403515753482613,1.0,0.7866661422278163,0.0,0.7120176262838999,0.7866661422278162,0.7828587161736941,0.7801919446192574,0.7601478917558212,0.7838367946297461,0.780813404657017,0.7743274071743235,0.7744287859975862,0.7600579898378625,0.7370330562925946,242.83493549402138,0.0,0.0,
2000-04-01,0.7888609188168659,0.7873722501299151,0.7851292541722285,0.7783769902413971,0.7867815321883561,0.7852756534040766,0.7817605182989724,0.0310318712051526,0.0479404231534156,0.1148289173372484,0.8088569378572348,0.5379262873391156,0.5699859355934547,0.7886980208152897,0.7924702696612883,0.0,0.6965458105577556,0.7836668204555508,0.780839659796628,0.7735187117338727,0.5379262873391154,1.0,0.7888609188168659,0.0,0.713022065256132,0.7888609188168659,0.7866661422278162,0.781985525487728,0.7629955947136563,0.7861285924061253,0.7830475141598489,0.7764828508495909,0.7766491141236292,0.7621915401326035,0.7390655214896249,243.62379641283826,0.0,0.0,
2000-05-01,0.7906151667715545,0.7895689967403116,0.786005955248754,0.7801024011299436,0.7893720492145689,0.7874345673873584,0.783953813045579,0.020043373201327,0.0482971926987256,0.1152295663641144,0.8063385723960509,0.5379917864742247,0.5713850579313601,0.7904536222071746,0.7938898729190093,0.2849724047537165,0.6957256625457209,0.7858348586386554,0.7829966265982121,0.7756345057397871,0.5379917864742249,1.0,0.7906151667715544,0.0,0.7139941029711954,0.7906151667715545,0.7888609188168659,0.7828587161736941,0.7646869100062933,0.7887140759387455,0.7851964023494861,0.7786435389133627,0.7787977376079255,0.764296993957711,0.7410870762065633,244.4144115796098,0.0,0.0,
2000-06-01,0.7902533039647578,0.7913248192998757,0.7898286878707222,0.7823333975346687,0.7905700976567119,0.7891192842785224,0.7859315047891817,0.009117022025633,0.0432002234365794,0.1108202645727132,0.7943713156509167,0.5293448910856419,0.5727836930875512,0.7900914802160236,0.7952308130236846,0.5673118079607775,0.680815253437463,0.787613178246694,0.7849663576141729,0.777652475202337,0.529344891085642,0.9870677537250492,0.7902533039647577,0.0135845749342681,0.7149985419434275,0.7902533039647578,0.7906151667715545,0.7866661422278162,0.7668738200125865,0.7899097965177261,0.7868732955737361,0.7805918292427103,0.7805601324320536,0.7662196835878626,0.7430151635696298,245.20466488357457,0.0,0.0,
2000-07-01,0.7915748898678413,0.7909626316866921,0.7920322878738814,0.7850218284540318,0.7914765158859648,0.7907249683209998,0.7877980678244461,0.0065916435207319,0.0371686601592,0.106852081322449,0.8038810087457194,0.5247941484066994,0.5741841075160901,0.7914140857489235,0.7964397590240967,0.4096668239594692,0.6835381062897579,0.7893230683137324,0.7868904730301237,0.7796455515323233,0.5247941484066992,0.9868945868945868,0.7915748898678414,0.0,0.7159705796584909,0.7915748898678413,0.7902533039647578,0.7888609188168659,0.7695091252359975,0.7908144535347179,0.7884715229704216,0.7824306429620306,0.7822547104990979,0.7680978470160092,0.7449194665617166,245.9962397734424,0.0,0.0,
2000-08-01,0.7915984896161107,0.7922854038391888,0.7937935882348296,0.7861935028248588,0.791804928287868,0.7921883932358418,0.7895694727441871,0.007494502003291,0.0206708750625853,0.0978880302206426,0.7965480505074318,0.5209912971454719,0.5755845537173494,0.7914377037048682,0.7975583757258838,0.7170789731476361,0.6725619152541933,0.7907735619077969,0.7886738522782474,0.7815614366298886,0.5209912971454721,0.9857805255023184,0.7915984896161108,0.0,0.716975018630723,0.7915984896161107,0.7915748898678413,0.7906151667715545,0.7706576463184392,0.7911422278162367,0.7899281518774911,0.7841757132368365,0.7836922149786383,0.7698386353567575,0.7467500164854184,246.78783826305852,0.0,0.0,
2000-09-01,0.7925896790434236,0.7923090247704833,0.7934302706715847,0.7878948382126347,0.7925852361547899,0.7931802554868554,0.7912836497063409,0.0055143455460409,0.0134373057769634,0.0865952124946486,0.8020072393412182,0.5186442980790588,0.5769863343728696,0.7924296578545432,0.7984960005119767,0.5467410088234601,0.67499458852238,0.7921547712094905,0.7904003471607225,0.7834428711721233,0.5186442980790588,0.9847984137475214,0.7925896790434235,0.0,0.7179794576029551,0.7925896790434236,0.7915984896161107,0.7902533039647578,0.7723253618628069,0.7919210195091253,0.7909154080134256,0.7858644063352213,0.7850610556039899,0.7715238978520661,0.7485476503112225,247.58042794210195,0.0,0.0,
2000-10-01,0.7925503461296414,0.793301103884856,0.7947571695982182,0.7910888546481767,0.792911021257478,0.7937980289207538,0.7927296537974744,0.005328060105304,0.0092999099685657,0.07579114991342,0.7961931893573719,0.5080037440657903,0.5783880620738556,0.7923902945946354,0.7990689749191199,0.4928309816373257,0.6714544095571249,0.7933173808768965,0.7919959687000163,0.7852489095948418,0.5080037440657901,0.9823223570190642,0.7925503461296413,0.0131463628396143,0.7189514953180184,0.7925503461296414,0.7925896790434236,0.7915748898678413,0.775456261799874,0.7922461715963919,0.791530312565555,0.7872889133627018,0.7862132541463978,0.7730814125392939,0.7502732462256704,248.3729782882316,0.0,0.0,
2000-11-01,0.7941315292636878,0.7932617356660315,0.7947808642219082,0.7934001027221367,0.7937570116047804,0.794386823643467,0.7941177644896533,0.0088632543224204,0.0134858092691093,0.0664419702956064,0.8053278589197105,0.5056315715245185,0.5797919185471148,0.7939726976429261,0.799361295195481,0.7523391925649321,0.6773979557829541,0.7945465845202868,0.7935933863526171,0.7870490207663938,0.5056315715245185,0.9822546972860126,0.7941315292636878,0.0,0.7199559342902505,0.7941315292636878,0.7925503461296414,0.7915984896161107,0.7777218376337319,0.7930905181455842,0.7921163729809103,0.7886563876651982,0.7874314503182885,0.7746406804448045,0.751993178893828,249.1671098174953,0.0,0.0,
2000-12-01,0.7954295154185022,0.7948443380627687,0.7957760384168832,0.7959200051361068,0.7947054666214771,0.7952535505507272,0.7954067244181049,0.0144712144602287,0.0161275862915622,0.0593922357665277,0.8037204127124976,0.5016614576531858,0.5811975225200011,0.7952716852198812,0.7995416204742852,0.8454439132879088,0.6840524476983605,0.7957881744645148,0.7951709762728433,0.788831813644117,0.5016614576531861,0.980689132904203,0.7954295154185022,0.0,0.7209279720053139,0.7954295154185022,0.7941315292636878,0.7925896790434236,0.7801919446192574,0.7940371302706105,0.7929790748898679,0.7899261852318019,0.7886619218721675,0.7761805941465599,0.7536965646398937,249.9625393329138,0.0,0.0,
