date,close,EMA_12,EMA_26,RSI,MACD,MACD_Signal,ATR
1990-01-02,0.1101291608394517,0.1631975140445878,0.1644796981398173,,0.3778720136001393,0.4943561724750667,
1993-11-02,0.0353501010101943,0.1146973186551725,0.1341728133431134,,0.3134842956548849,0.462139369405876,
1997-09-02,0.209245419191151,0.1864437004291725,0.1765881714952002,,0.4135025641330713,0.4864107019745879,
2001-07-03,0.1329707645691158,0.1976819691994438,0.18494862326267,,0.4257829252199724,0.5119723245906649,
1990-01-03,0.1230455574970616,0.2007539837009597,0.18866723765304,,0.4263123029559365,0.5326865001914274,
2005-05-03,0.0732834786326722,0.1710786962913207,0.1719425393687284,,0.3833279202178783,0.5277503321297998,
1993-11-03,0.0560163139084618,0.1347697016876508,0.1494585724073021,,0.334720812284514,0.4994805229232412,
2009-03-03,0.5681848927753936,0.4362289535845531,0.3362146936240255,,0.7381274055318263,0.6787117231969869,
1997-09-03,0.214955820123567,0.4622125812690847,0.3659783305000488,,0.7459370735327249,0.8260043003350152,
2016-11-01,0.1280761216022808,0.4278503013097889,0.3583261527216386,,0.673054440862656,0.9073710745125544,
1990-01-04,0.1370496087817917,0.4045945494063456,0.3548776291024189,,0.6203152869781406,0.946076123697131,
2020-09-01,0.2308633655781545,0.4457623227948393,0.3897059272610383,,0.6570098930528074,0.9954005419390126,
2024-07-02,0.0392929968921006,0.3563479013965474,0.3443136174651746,,0.5176285316163995,0.9651197282764978,
2005-05-04,0.0640380675992367,0.2967387003939867,0.3123125246838871,0.4354947967151404,0.4281404246020832,0.8961191354010642,0.2830002467308167
1993-11-04,0.0753229075371065,0.2536192660946421,0.2872554676526888,0.4448682504684177,0.367172492443469,0.8104129695407228,0.2885653973736876
2009-03-04,0.5223657369852961,0.5070765859917592,0.4452345620878266,0.7954345144340601,0.7044490223350314,0.9106064878448464,0.3664226827864134
1997-09-04,0.2193065881901675,0.5249823986530482,0.4686859573022728,0.4792715843167344,0.7040294682743364,0.9905513759527498,0.3901088439290512
2013-01-02,0.0753229075371065,0.4467485492369252,0.4320456830400832,0.4381721655257905,0.5760082395684263,0.9904510526492536,0.403980595991995
2016-11-02,0.1384092416476072,0.4214672051280312,0.4236874932507226,0.4820732471280465,0.5277685646476118,0.9662337666875652,0.4160704087507196
2001-07-05,0.1488783100237033,0.4068653259288697,0.4201913925024829,0.5184006677758201,0.4972800052527855,0.9316047938436632,0.4089700386544947
1990-01-05,0.1491502474738206,0.3946862628485132,0.4170644745441876,0.5293556742747215,0.4722663313232498,0.8913858651623852,0.4008005099103545
2020-09-02,0.2369816386952647,0.4413465770015061,0.4497659884074172,0.2260430723616008,0.5272192945575036,0.8867067859246015,0.311593615154755
2024-07-03,0.0401087684538744,0.3531405941504928,0.4002554057547218,0.3304224340912299,0.3990563461028801,0.8188363783693937,0.2789703182827535
2005-05-05,0.0658055726497464,0.2951711932865994,0.3648268213535783,0.4202933938871139,0.3205283240127606,0.7252480583887209,0.2660580694684321
1993-11-05,0.0792658034190128,0.2548501969564769,0.3374778158011113,0.424227370705419,0.2712467989510736,0.6257190787591096,0.2710475121309318
2009-03-05,0.5578517591338745,0.5311336636868114,0.5061187141900096,0.6958668045730271,0.6459323910896427,0.7335722076194859,0.3522219508183238
1997-09-05,0.2062542296055953,0.5368728900039326,0.5197702377186615,0.5783599642232559,0.6336953286168865,0.8137318188828994,0.3849823094004442
2013-01-03,0.073691364413559,0.4557515481449112,0.4786847015620501,0.478805694680673,0.5070506691719392,0.8144920492647705,0.4034048743043562
2016-11-03,0.1759347334891982,0.4534234071490852,0.4820803154852062,0.5311374133517971,0.4943910946771429,0.8087659351752632,0.4197987663459166
2001-07-06,0.1698164331797026,0.447485235068273,0.4827447427301097,0.2224205344215556,0.4778766741349954,0.7959219488385314,0.3292485538832689
1990-01-08,0.1511896627820622,0.4303796789805514,0.4758107891666754,0.4161470481529593,0.447759987820564,0.7705776847490684,0.270471784960386
2020-09-03,0.3325628461573665,0.5335407486325816,0.5428984222611724,0.6829111164914089,0.579537309012057,0.8162378919664388,0.2842064643473969
2005-05-06,0.0667573061384824,0.448434753062414,0.4972894124775022,0.4208694992576048,0.4516144222350649,0.7887590299584089,0.3262877703758533
1993-11-08,0.0702923162395019,0.3787147240892823,0.4564915369624736,0.4156115698773303,0.3535933519939429,0.7177304761335672,0.3290292293774158
2009-03-06,0.5464310116538134,0.6285348424265664,0.6116879383357445,0.704152241895806,0.6870470809518523,0.8277533213718617,0.4321627107492394
1997-09-08,0.2074779005444486,0.6200829203936293,0.618015455687553,0.4575014820253541,0.6529246513363275,0.8986982234742844,0.4826054664583162
2013-01-04,0.0637661437453122,0.5197227367369548,0.5656299458137644,0.4856951617928983,0.4993145640320917,0.8785943636629647,0.4720234558763057
2016-11-04,0.1817810963485766,0.5113447078769942,0.564954618630664,0.5330360778178761,0.4791963456183584,0.8524449976257413,0.4869643775529787
2001-07-09,0.1813732105676896,0.5039910600136444,0.5641640054026396,0.5261211200423098,0.4619283097079021,0.8228853335013082,0.481974934890479
1990-01-09,0.1775662902089383,0.4952996505528391,0.5618890656744875,0.2313464766582004,0.444163406756073,0.7903488203314525,0.3813635852729118
2020-09-04,0.2938137241655003,0.5633411304780451,0.6068960644920787,0.5355099118085261,0.5295832005791472,0.8070599454314527,0.3535652493351975
2024-07-05,0.0454112836054035,0.4598058595484642,0.547895250593444,0.4539717158932935,0.3808943458969777,0.7460314339748008,0.3777997011815664
