date,value,Lag_1,Lag_3,Lag_12,Rolling_Mean_3M,Rolling_Mean_6M,Rolling_Mean_12M,Rolling_Std_3M,Rolling_Std_6M,Rolling_Std_12M,MoM_Percentage_Change,YoY_Percentage_Change,Cumulative_Sum,Cumulative_Product,Trend,Seasonal,Residual,EMA_12,EMA_26,EMA_50,ROC,RSI,Z_Score,Days_Since_Peak,Days_Since_Trough,Peak,Trough
2002-05-01,0.7790198237885463,0.779593090090232,0.7829414505848623,0.8090010272213661,0.7798480895593757,0.7822104960891911,0.7895288808207823,0.0040746591072886,0.0110125168828572,0.0714720480177625,0.7971338157460832,0.4064403497722147,263.345476714915,0.7788493331863756,0.785322255605916,0.2849724047537165,0.6737072834929041,0.7902298079477825,0.8017455620804418,0.8055309414007561,0.4064403497722149,0.0074384007438401,0.7790198237885462,,,0.7959644430459408,0.0
2002-06-01,0.7794131529263687,0.7797190683904699,0.7828466720901027,0.808078133025167,0.7797482521891971,0.78181269741747,0.788454858453967,0.002312863293504,0.0057453215305752,0.0634658124803637,0.798661244047351,0.410605402507958,264.1248898678414,0.7792429657854528,0.7849759377414472,0.5673118079607775,0.6755958066478005,0.789649196690368,0.801503862984399,0.8059315804885898,0.4106054025079581,0.0346456692913385,0.7794131529263688,,,0.7959644430459408,0.0
2002-07-01,0.778650094398993,0.7801127505787128,0.7820252584688535,0.8070910374935798,0.7796668059135251,0.781459684026671,0.7873981375627015,0.0034627428419004,0.0032111915541004,0.053705313543834,0.7920586495307184,0.4112302616012701,264.90353996224036,0.7784793185432429,0.784713282806701,0.4096668239594692,0.6738759171632616,0.7890394558678129,0.8012221617577567,0.8062851894080698,0.41123026160127,0.0337078651685394,0.7786500943989931,,,0.7959644430459408,0.0
2002-08-01,0.7786658275645059,0.7793490071335213,0.7821516297951995,0.8058952876219825,0.7795485774488399,0.7812686879756789,0.7864418983178976,0.0040284849512383,0.002696760493014,0.0410541972882743,0.7965047827090226,0.4150401632158005,265.68220578980487,0.778495063847206,0.7845259578405496,0.7170789731476361,0.6717451816030735,0.7885259636838771,0.8009625212219907,0.8066255770602042,0.4150401632158004,0.0368563685636856,0.778665827564506,,,0.7959644430459408,0.0
2002-09-01,0.7779657016991818,0.779364754421051,0.782546540190031,0.8038167693888032,0.7790651543932384,0.7809762664355395,0.7855987841055339,0.0036513203572976,0.0034027032120205,0.028950673006828,0.7924150198961308,0.4193173273514887,266.46017149150407,0.7777943978208485,0.7842669694086993,0.5467410088234601,0.6705834524881595,0.787982785356401,0.8006689832845494,0.8069238803418035,0.4193173273514889,0.0375483158475981,0.7779657016991819,,,0.7959644430459408,0.0
2002-10-01,0.7789332913782253,0.7786640001259783,0.781780414024058,0.8013048921417565,0.7791597371649864,0.7809828525062632,0.7850458023293112,0.004688546422459,0.0034310951020856,0.0180015336021856,0.801946585825959,0.4304213462953485,267.2391047828823,0.7787627340145787,0.783957649891638,0.4928309816373257,0.6801028265206632,0.7876733779563749,0.800470615798888,0.8072501990254335,0.4304213462953485,0.1070028011204482,0.7789332913782252,,,0.7959644430459408,0.0
2002-11-01,0.7789018250471994,0.7796324583090563,0.7817962104398511,0.7988090652285567,0.7792385561414433,0.7809630942940917,0.7846971110528482,0.0052089345768224,0.0033128375352178,0.0115538309568584,0.7962351735253534,0.4382624807084818,268.01800660792946,0.7787312434066523,0.7836656629337221,0.7523391925649321,0.6789123837471545,0.7874066869783618,0.8002845543343587,0.8075624293997312,0.4382624807084819,0.1248366013071896,0.7789018250471995,,,0.7959644430459408,0.0
2002-12-01,0.7777375707992448,0.7796009637339968,0.7810932699370513,0.7975491140215716,0.7791623644642017,0.7806825276812552,0.7843544087486909,0.0065759471408289,0.0036491982304281,0.0081958018030043,0.7897649440338042,0.4384779647957679,268.7957441787287,0.7775660909133834,0.7833570100535506,0.8454439132879088,0.6718203724141363,0.7870002908728382,0.8000239241328359,0.8078146300118807,0.4384779647957681,0.1399267399267398,0.7777375707992448,,,0.7959644430459408,0.0
2003-01-01,0.7786107614852108,0.7784356644567975,0.7820647495083365,0.7964978171545969,0.7790546451963775,0.7806759416105313,0.7841727432554191,0.0057915602544635,0.0036187793672127,0.0051469441139002,0.801408018414857,0.4446991849626927,269.5743549402139,0.7784399552833351,0.7830600233189581,0.8581033168737804,0.6798337618543124,0.7867919681266449,0.7998488631729411,0.8080927794792543,0.4446991849626928,0.2592274678111589,0.7786107614852108,,,0.7959644430459408,0.0
2003-02-01,0.7775330396475771,0.7793096389146971,0.7820331566767501,0.7955267719568566,0.7785974951329281,0.7804862627736842,0.7839804307002707,0.005443676253614,0.0049949487312707,0.0056183080117501,0.7902574530303175,0.4442800962437408,270.35188797986143,0.7773614019618634,0.7827817024172917,0.7763630301162721,0.6751434709926949,0.7864483934952131,0.7996049852572676,0.808315787310709,0.4442800962437407,0.2637554585152838,0.777533039647577,,,0.7959644430459408,0.0
2003-03-01,0.775873190685966,0.7782309497189109,0.7808642219080492,0.7954304699537751,0.7779748252189197,0.7801358838111747,0.7836556953130305,0.0138187738884696,0.0118332846266845,0.0103563514143266,0.7869215746148763,0.4391474877836129,271.1277611705474,0.775700272393757,0.7825550458746174,1.0,0.662514470182126,0.7859000077065157,0.7992532124042458,0.8084619232064669,0.4391474877836129,0.246530612244898,0.7758731906859659,,,0.7959644430459408,0.0
2003-04-01,0.7754326620516047,0.7765696108845251,0.7817409229845748,0.794595852593734,0.7769133963359686,0.779549723516751,0.7833629011114205,0.0110004429104318,0.0148679917585359,0.014858449335186,0.7938912597053308,0.4403763041198903,271.903193832599,0.7752594038827906,0.7824123855801103,0.0,0.6718806360982876,0.7853676029318977,0.798894066665872,0.808584247307853,0.4403763041198904,0.2603448275862068,0.7754326620516048,,,0.7959644430459408,0.0
2003-05-01,0.7755899937067338,0.7761286868336928,0.7806588685027368,0.7947242552645095,0.7762644534298077,0.7789951763618017,0.7830727686752794,0.0018187190417608,0.0138413870527238,0.0170486044359743,0.7973165830354982,0.4404809187679221,272.67878382630573,0.7754168569224215,0.7823067236330109,0.2849724047537165,0.6704394009300794,0.7849415301664067,0.7985734636489986,0.808708231876702,0.440480918767922,0.2756849315068493,0.7755899937067338,,,0.7959644430459408,0.0
2003-06-01,0.7755585273757081,0.7762861597089902,0.7789923466365481,0.7951255136106832,0.7761593614611987,0.7786303080436998,0.7827467024053045,0.0003653156379529,0.0137067590269162,0.0175344054504864,0.7962345868541074,0.4390922362151713,273.45434235368145,0.7753853663144955,0.7823033904485598,0.5673118079607775,0.6670017492204456,0.7845761223406926,0.7982742211370509,0.8088260628073867,0.4390922362151714,0.301498127340824,0.775558527375708,,,0.7959644430459408,0.0
2003-07-01,0.7754955947136563,0.7762546651339307,0.778550046994337,0.7943470724191062,0.7761803798549206,0.77810869124237,0.7824798604170189,0.0,0.0073923700219887,0.0182828163828479,0.7960542661629588,0.4413804020579864,274.22983794839513,0.7753223850986432,0.7824070524849888,0.4096668239594692,0.6676552445033188,0.7842571616706449,0.7979923690037102,0.8089366899208417,0.4413804020579863,0.2886792452830188,0.7754955947136564,,,0.7959644430459408,0.0
2003-08-01,0.7752517306482064,0.7761916759838118,0.7787080111522696,0.7943631227529533,0.7760674059886657,0.777726699140386,0.7821910588636127,0.0011833810641009,0.0,0.018569118201548,0.7950173681678326,0.4405286712229241,275.00508967904335,0.7750783328872152,0.7825953774064757,0.7170789731476361,0.6611251524477728,0.783949415320405,0.7977128888392896,0.8090329696049998,0.4405286712229241,0.2459173871277618,0.7752517306482064,,,0.7959644430459408,0.0
2003-09-01,0.7760305223410949,0.775947593027101,0.778676418320683,0.7936488828967643,0.7762250439415793,0.7777530434232816,0.782027360287258,0.0036368301764383,0.0006727897624393,0.0182608687003155,0.800879033727493,0.445377528178392,275.78112020138445,0.7758577254333882,0.7830240249268864,0.5467410088234601,0.6655848469141361,0.7838099112947097,0.797513210609961,0.8091574381959499,0.4453775281783919,0.3403643336529242,0.776030522341095,,,0.7959644430459408,0.0
2003-10-01,0.7775015733165512,0.7767270837598225,0.77861323265751,0.7946359784283512,0.7768950052414619,0.7780994707433566,0.7819062499584102,0.0113630689237771,0.0075691424311285,0.0161106504989118,0.8048407466720002,0.4470352312448536,276.558621774701,0.7773299113539373,0.7837373263994206,0.4928309816373257,0.6715972526298177,0.7839202299209693,0.7974399561285547,0.8093374032069718,0.4470352312448535,0.4397394136807818,0.7775015733165513,,,0.7959644430459408,0.0
2003-11-01,0.7778398363750786,0.7781994551438515,0.7783683882127145,0.7946038777606574,0.7777593866832712,0.7784761939887614,0.7818164153738252,0.0094881482891875,0.0111247267097153,0.0140439598549456,0.7983496138007384,0.4482481057278241,277.33646161107606,0.7776684353891435,0.7846472857545693,0.7523391925649321,0.6647311103312434,0.7840660871527458,0.7973977974719969,0.8095241943723313,0.4482481057278242,0.4932318104906937,0.7778398363750787,,,0.7959644430459408,0.0
2003-12-01,0.7787208936438011,0.7785380218257406,0.7791503107944807,0.7934161530559836,0.7786579230148784,0.77900571407496,0.7818995955447372,0.0060363429612838,0.0147944214021572,0.0158228588157743,0.8014524995460525,0.4549620794722873,278.1151825047199,0.7785501724110767,0.785678573023738,0.8454439132879088,0.6627417744949531,0.7843262768710737,0.7974256219463361,0.8097398223438121,0.4549620794722872,0.4884713919726729,0.778720893643801,,,0.7959644430459408,0.0
2004-01-01,0.7800739458779106,0.779419869927405,0.7806272756711502,0.794306946584489,0.7795170498582572,0.7797723327072175,0.7820233676390542,0.0111844952799813,0.019026705701033,0.0195543598672011,0.8041445806616273,0.4565341230181071,278.8952564505978,0.7799042685519028,0.7867661911101301,0.8581033168737804,0.6645833261824787,0.7847564802094251,0.797554063616369,0.8100025287394117,0.4565341230181067,0.5556385362210605,0.7800739458779107,,,0.7959644430459408,0.0
2004-02-01,0.7805144745122717,0.7807741366549613,0.7809668986107053,0.7932074987159732,0.7804103315914338,0.7806535489700703,0.7822755699172592,0.0092050634538677,0.0180853389717695,0.0246811481271621,0.798928227626411,0.4615269284055346,279.67577092511004,0.7803451370628695,0.7879158064273127,0.7763630301162721,0.6607180918286462,0.7851888844491346,0.7977064212223458,0.8102730138983498,0.4615269284055345,0.6415396952686447,0.7805144745122718,,,0.7959644430459408,0.0
2004-03-01,0.7830081812460666,0.7812150607057934,0.7818514978951275,0.7915141884951207,0.781842209663732,0.7818219179164834,0.7828791252373963,0.0159290275643649,0.0225974851737584,0.0342517378778753,0.8106360559192684,0.4752101822828686,280.45877910635613,0.7828407677410197,0.7891204192879383,1.0,0.6672804600077242,0.7859418787385208,0.7980367315152771,0.8106352430292414,0.4752101822828687,0.6923606331727461,0.7830081812460666,,,0.7959644430459408,0.0
2004-04-01,0.7851321585903083,0.7837110057792546,0.7832099896533476,0.7910647791474061,0.7835315630591221,0.7830996156369125,0.783699614443272,0.0234976021908656,0.0309920690436328,0.0449085147861737,0.8084982762183189,0.4836624870090525,281.24391126494646,0.7849663837760373,0.790396028977372,0.0,0.684817969557046,0.7869087461131623,0.7985037553809865,0.8110704432253051,0.4836624870090527,0.8045397225725094,0.7851321585903084,,,0.7959644430459408,0.0
2004-05-01,0.7873662680931403,0.7858368895957671,0.783652289295559,0.7912252824858756,0.7858199406755836,0.7846947619662319,0.7846957801701135,0.0221268060240912,0.0381634217222073,0.056571529958846,0.8090987073387828,0.490493164014152,282.0312775330396,0.7872022169387968,0.7917369690820476,0.2849724047537165,0.6878970346300237,0.788073679529065,0.799105723421588,0.8115802731198749,0.4904931640141518,0.9403254972875226,0.7873662680931404,,,0.7959644430459408,0.0
