date,id,value,Lag_1,Lag_3,Lag_12,Rolling_Mean_3M,Rolling_Mean_6M,Rolling_Mean_12M,Rolling_Std_3M,Rolling_Std_6M,Rolling_Std_12M,MoM_Percentage_Change,YoY_Percentage_Change,Cumulative_Sum,Cumulative_Product,Trend,Seasonal,Residual,EMA_12,EMA_26,EMA_50,ROC,RSI,Z_Score,Days_Since_Peak,Days_Since_Trough,Industrial_Production_Value,Industrial_Production_Lag_1,Industrial_Production_Lag_3,Industrial_Production_Lag_12,Industrial_Production_Rolling_Mean_3M,Industrial_Production_Rolling_Mean_6M,Industrial_Production_Rolling_Mean_12M,Industrial_Production_Cumulative_Sum,Industrial_Production_Cumulative_Product,Industrial_Production_Trend,Industrial_Production_EMA_12,Industrial_Production_EMA_26,Industrial_Production_EMA_50,Industrial_Production_Z_Score,Industrial_Production_Trough,Industrial_Production_Days_Since_Trough
1919-01-01,0.0,0.0117774053460876,,,,,,,,,,,,0.0,,,0.4771027112206809,,0.0078288511606528,0.0047616506058046,0.0028427922344574,,,0.0117774053460876,0.0,0.0,0.0117774053460876,,,,,,,0.0117774053460876,0.0117774053460876,,0.0117774053460876,0.0117774053460876,0.0117774053460876,-1.179477429770953,0.0117774053460876,
1919-02-01,0.0007898894154818,0.0096364210310382,0.0117774053460876,,,,,,,,,0.2960925490783458,,7.982950680532813e-05,0.0096364210310383,,0.5404465484975844,,0.0074949914044835,0.0045992422708559,0.0027560300586775,,,0.0096364210310383,0.0115671641791044,0.0,0.0096364210310382,0.0117774053460876,,,,,,0.0214138263771258,0.00011349203656810029,,0.011448023143772308,0.011618813915343201,0.011693445176869977,-1.1856449757424152,0.0096364210310382,
1919-03-01,0.0015797788309636,0.0082980568824679,0.0096364210310382,,,0.0092035705346128,,,0.0198653014880199,,,0.3474015078998391,,0.0001573518818123,0.0082980568824679,,0.7586628724928346,,0.0070037935192172,0.0043473400889072,0.0026184338726761,,,0.0082980568824679,0.0220149253731343,0.0,0.0082980568824679,0.0096364210310382,,,0.009903961086531235,,,0.029711883259593702,9.417633751492233e-07,,0.010963412949725476,0.011372831912907994,0.011560292694736563,-1.189500409131087,0.0082980568824679,
1919-04-01,0.0023696682464454,0.0091006770489468,0.0082980568824679,0.0117774053460876,,0.0083100393612448,,,0.0076245238898008,,,0.5042878864187391,,0.000236257849252,0.0091006770489468,,0.0,,0.006713323127038,0.0041749815687594,0.0025187593428297,,,0.0091006770489469,0.0335820895522388,0.0009225366782727,0.0091006770489468,0.0082980568824679,0.0117774053460876,,0.009011718320817633,,,0.0388125603085405,8.570684333759211e-09,,0.010676838195759526,0.011204524145207164,0.011463837179215397,-1.1871882965482972,0.0082980568824679,
1919-05-01,0.0031595576619273,0.0093685490399925,0.0091006770489468,0.0096364210310382,,0.0082206197609338,,,0.0063054012998967,,,0.4640312991726017,,0.0003156255863745,0.0093685490399926,,0.3621831721081889,,0.0065093117779249,0.0040357102729589,0.002433848978673,,,0.0093685490399926,0.044776119402985,0.0018153141088593,0.0093685490399925,0.0091006770489468,0.0096364210310382,,0.008922427657135733,,,0.048181109348533,8.029487648711861e-11,,0.010475562941026138,0.011068525989265337,0.01138166901689293,-1.186416636145356,0.0082980568824679,
1919-06-01,0.0039494470774091,0.012313149328179,0.0093685490399925,0.0082980568824679,,0.0095609165209858,0.0084617575393183,,0.0201754143617757,0.0164615537152593,,0.6590258788697917,,0.0004000693567763,0.012313149328179,,0.6655813881327219,,0.0067958604176522,0.0041301234840649,0.0024715966902911,,,0.012313149328179,0.0,0.0027378507871321,0.012313149328179,0.0093685490399925,0.0082980568824679,,0.010260791805706099,0.010082376446118667,,0.060494258676712,9.886828044735803e-13,,0.010758268539049655,0.01116072031066635,0.011418197656551207,-1.1779341089650708,0.0082980568824679,
1919-07-01,0.0047393364928909,0.0152577496163654,0.012313149328179,0.0091006770489468,,0.0116162376686548,0.0090438510440209,,0.0333300219028972,0.0294121015840286,,0.6461239137539323,,0.0004895891604576,0.0152577496163654,0.010088993152388,0.790494097037822,0.5618419967398451,0.007497498278706,0.0044409112386028,0.0026271923570653,,,0.0152577496163655,0.0,0.0036306282177186,0.0152577496163654,0.012313149328179,0.0091006770489468,,0.012313149328178966,0.0106624338244983,,0.0757520082930774,1.5085074680663838e-14,,0.011450496397098232,0.011464203962940353,0.01156876832164196,-1.1694515817847857,0.0082980568824679,
1919-08-01,0.0055292259083728,0.0160603697828444,0.0152577496163654,0.0093685490399925,,0.0138500656020748,0.0101182674099254,,0.0223325232531671,0.0382875003788407,,0.4962606007162708,,0.0005804925565714,0.0160603697828444,0.0108096444965426,1.0,0.5620881663113786,0.0082163504411056,0.0047895619189053,0.002809211960278,,,0.0160603697828444,0.0,0.0045531648959914,0.0160603697828444,0.0152577496163654,0.0093685490399925,,0.014543756242462935,0.011733091949799332,,0.0918123780759218,2.4227187757328463e-16,,0.012159707687213027,0.011804660690340653,0.011744909555414604,-1.1671394692019956,0.0082980568824679,
1919-09-01,0.0063191153238546,0.0149898776253197,0.0160603697828444,0.012313149328179,,0.0147435967754427,0.0112374858224006,,0.0063054012998946,0.0349135579254068,,0.376264509158087,,0.0006695505905697,0.0149898776253197,0.0116316243457839,0.6343729531538145,0.4705663301555742,0.0086576800850512,0.0050311824554148,0.0029407124519454,,,0.0149898776253198,0.0115671641791044,0.0054757015742642,0.0149898776253197,0.0160603697828444,0.012313149328179,,0.0154359990081765,0.012848395406941299,,0.1068022557012415,3.631625796879973e-18,,0.012595118446921745,0.012040602685524286,0.011872163205214805,-1.1702232421877268,0.0082980568824679,
1919-10-01,0.0071090047393364,0.0144541336432283,0.0149898776253197,0.0152577496163654,,0.0144753379745097,0.0121328605523809,,0.0092569210346364,0.0276085649209021,,0.4095898995057758,,0.0007576850852024,0.0144541336432283,0.012307245453077,0.7779061773170781,0.409455527331573,0.0089475702798515,0.0052142653212877,0.0030453453403914,,,0.0144541336432284,0.0227611940298507,0.0063684790048507,0.0144541336432283,0.0149898776253197,0.0152577496163654,,0.0151681270171308,0.013740638172654885,,0.12125638934446979,5.24920046102986e-20,,0.012881120784815061,0.012219382756465324,0.011973416947882001,-1.171766562993609,0.0082980568824679,
