date,id,value,Monthly_Percentage_Change,Annual_Percentage_Change,MACD,Trend,Seasonal,Residual,Cumulative_Sum,Rolling_3M_Growth,Rolling_6M_Growth,Rolling_12M_Growth,CPI_Ratio_12M,Days_Since_Peak,Days_Since_Trough,RSI,CPI_Value,CPI_Trend,CPI_Cumulative_Sum,CPI_Peak,CPI_Days_Since_Peak,CPI_Trough,CPI_Days_Since_Trough
2021-01-01,0.0,0.8183212693542976,,,0.8763534089220021,,0.7960317150175342,,0.0,,,,,0.9988543976348856,0.0,,0.8183212693542976,,0.8183212693542976,0.8183212693542976,,0.8183212693542976,
1947-01-01,0.0010741138560687,0.0,0.0,,0.6238522315495472,,0.8702280221827721,,0.0001919545829022,,,,,0.0,0.0,,0.0,,0.8183212693542976,0.8183212693542976,,0.0,
1947-02-01,0.0021482277121374,0.0004793634053976,0.9859950096016972,,0.4290490924266938,,0.9146192841025425,,0.0003851602664379,,,,,0.0011456023651146,0.0010951741680209,,0.0004793634053976,,0.8188006327596952,0.8183212693542976,,0.0,
1947-03-01,0.0032223415682062,0.0017804926486197,0.9977949340124116,,0.2819245118531643,,0.8113479143785014,,0.0005817617945501,0.0,,,,0.002180339985218,0.0020843637391365,,0.0017804926486197,,0.8205811254083148,0.8183212693542976,,0.0,
1947-04-01,0.0042964554242749,0.0017804926486197,0.979040415940518,,0.1734300843048875,,0.8130585154974881,,0.0007783633226623,0.9732880342381548,,,,0.0033259423503326,0.0031795379071574,,0.0017804926486197,,0.8223616180569345,0.8183212693542976,,0.0,
1947-05-01,0.0053705692803437,0.0016092914324063,0.976615340098925,,0.096385024056337,,0.8254016182632142,,0.0009745180291197,0.9640238563163628,,,,0.0044345898004435,0.0042393838762099,,0.0016092914324063,,0.8239709094893408,0.8183212693542976,,0.0,
1947-06-01,0.0064446831364124,0.0020544145945612,0.9853599757646236,,0.0450479609023153,0.0340360608575155,0.0,0.0,0.0011718344718795,0.9519815814690084,0.0,,,0.005580192165558,0.0053345580442309,,0.0020544145945612,,0.8260253240839021,0.8183212693542976,,0.0,
1947-07-01,0.0075187969924812,0.0025680182432016,0.9862892839452796,,0.0144586590063704,0.0,0.8750756556183887,0.9180137834584472,0.0013704913796038,0.9590431136059192,0.9579604386097008,,,0.0066888396156689,0.0063944040132834,,0.0025680182432016,,0.8285933423271037,0.8183212693542976,,0.0,
1947-08-01,0.0085929108485499,0.0031501023783272,0.9872003652410646,,0.000494451986574,0.0006159022184942,0.8890747218426611,0.917081080517534,0.0015706674809544,0.9694482838905724,0.9591314940197936,,,0.0078344419807835,0.0074895781813043,,0.0031501023783272,,0.8317434447054309,0.8183212693542976,,0.0,
1947-09-01,0.0096670247046186,0.0046566730810055,1.0,,0.0,0.0011303617186483,1.0,0.9546234787225192,0.0017747756128672,0.9838642284987504,0.961252907848708,,,0.008980044345898,0.0085847523493252,,0.0046566730810055,,0.8364001177864364,0.8183212693542976,,0.0,
1947-10-01,0.0107411385606874,0.0048963547837043,0.9823106583188482,,0.0096734984538094,0.0016114900399191,0.949327233006784,0.9462012401629428,0.0019795092950968,0.9798964988526944,0.9644608891523442,,,0.0100886917960089,0.0096445983183777,,0.0048963547837043,,0.8412964725701407,0.8183212693542976,,0.0,
1947-11-01,0.0118152524167561,0.0054099584323446,0.9860266667281712,,0.0272876218910482,0.0021737725358621,0.8320003281768038,0.9462395615374616,0.0021855834422907,0.9787313377304958,0.9737424256868804,,0.0,0.0112342941611234,0.0107397724863986,,0.0054099584323446,0.07055886925020712,0.8467064310024853,0.8183212693542976,,0.0,
1947-12-01,0.0128893662728249,0.0066083669458387,0.9952356318817718,0.0,0.0511336053181108,0.0027722845740695,0.7960317150175342,0.9699264625506624,0.0023947853410683,0.974062369990986,0.9834879376815198,0.0,0.9631953438813732,0.0123429416112343,0.0117996184554511,,0.0066083669458387,0.0029161273828355334,0.853314797948324,0.8183212693542976,,0.0,
1948-01-01,0.0139634801288936,0.0075328535133913,0.9913470801857652,0.95880690587179,0.0795058296899019,0.0033867376108732,0.8702280221827721,0.9808043192151614,0.0026064000767818,0.983024787725006,0.988520645852008,0.95880690587179,0.9698481529419524,0.0134885439763489,0.012894792623472,3.9006769158786425e-07,0.0075328535133913,0.0035438651756181418,0.8608476514617153,0.8183212693542976,,0.0,
1948-02-01,0.0150375939849624,0.0074986132701486,0.978589810632114,0.9516090851491672,0.1108050993343015,0.0039953939209146,0.9146192841025425,0.9561619644220674,0.0028179254481643,0.9756122975115546,0.97991975824053,0.9516090851491672,0.9537539481405648,0.0146341463414634,0.0139899667914929,0.0,0.0074986132701486,0.004128802664347391,0.8683462647318638,0.8183212693542976,,0.0,
1948-03-01,0.0161117078410311,0.0069165291350229,0.9713768894111072,0.9263850518479178,0.1438719085445203,0.0045098534210687,0.8113479143785014,0.9168934793190008,0.0030279316259205,0.9521971577882672,0.9518914132463532,0.9263850518479178,0.928402024100962,0.0157058388765706,0.015014484561577,0.9063851682046732,0.0069165291350229,0.004556805704880992,0.8752627938668868,0.8183212693542976,,0.0,
1948-04-01,0.0171858216970998,0.0080122169187889,0.993570232046743,0.9401585287217428,0.1784644057009149,0.0049330144747165,0.8130585154974881,0.9422109500821052,0.0032407974622674,0.9543386063849774,0.9628043889855168,0.9401585287217428,0.9421292995363192,0.0168514412416851,0.0161096587295979,0.9127200064464625,0.0080122169187889,0.005076116060728424,0.8832750107856757,0.8183212693542976,,0.0,
1948-05-01,0.0182599355531686,0.0086627815404,0.987551597315714,0.950690610767488,0.2137206787397758,0.0052953098973602,0.8254016182632142,0.9529121421110552,0.0034553612209026,0.9630922822518946,0.9642927592934128,0.950690610767488,0.9431213641043168,0.0179600886917961,0.0171695046986504,0.906006160788498,0.0086627815404,0.005663906903061233,0.8919377923260757,0.8183212693542976,,0.0,
1948-06-01,0.0193340494092373,0.0091421449457976,0.9852621848635552,0.9505962416651884,0.2490423973786062,0.0055474675115202,0.0,0.972705144483335,0.0036711760801712,0.976862213849272,0.954627477981114,0.9505962416651884,0.9398977366198792,0.0191056910569106,0.0182646788666713,0.9110479759186167,0.0091421449457976,0.0062545510989976,0.9010799372718733,0.8183212693542976,,0.0,
1948-07-01,0.0204081632653061,0.0099981510268648,0.9900863100430116,0.9542569028936204,0.2841290812005987,0.005688038135506,0.8750756556183887,0.9870727551921008,0.0038892250477138,0.973433776942527,0.9534125519985084,0.9542569028936204,0.9450301156311822,0.0202143385070214,0.0193245248357238,0.935340150219041,0.0099981510268648,0.006873728830969533,0.9110780882987382,0.8183212693542976,,0.0,
1948-08-01,0.0214822771213748,0.0101008717565929,0.9803523422154782,0.9476370962430776,0.3183993389894698,0.0057706414918687,0.8890747218426611,0.9876236264055668,0.0041075421082493,0.9663324813764014,0.9551293015555457,0.9476370962430776,0.9331713080425456,0.0213599408721359,0.0204196990037447,0.9329541779024006,0.0101008717565929,0.007452959612491675,0.9211789600553311,0.8183212693542976,,0.0,
1948-09-01,0.0225563909774436,0.0098611900538941,0.9759830137333522,0.9248397569928748,0.3515337508235516,0.0058648383017561,1.0,0.9738623884877446,0.0043252336184681,0.957221442996687,0.9596537925484154,0.9248397569928748,0.916918584987808,0.0225055432372506,0.0215148731717657,0.9040482795286784,0.0098611900538941,0.007886669360232391,0.9310401501092251,0.8183212693542976,,0.0,
1948-10-01,0.0236305048335123,0.0096899888376807,0.9768502817650236,0.9196873154534412,0.3834217850595424,0.0059387465679754,0.949327233006784,0.9655906710677544,0.004542478307032,0.9443952578727428,0.943497229634124,0.9196873154534412,0.9032671183776676,0.0236141906873614,0.0225747191408182,0.8793531355348638,0.0096899888376807,0.008286138864730425,0.9407301389469058,0.8183212693542976,,0.0,
1948-11-01,0.024704618689581,0.0091763851890403,0.9724564996285012,0.9069918351416296,0.4138642645482798,0.0059387465679754,0.8320003281768038,0.9483672346173866,0.0047583825306316,0.9367689851252708,0.9290558995651024,0.9069918351416296,0.8837510508452577,0.0247597930524759,0.0236698933088391,0.795389439319263,0.0091763851890403,0.008600007761121733,0.9499065241359461,0.8183212693542976,,0.0,
1948-12-01,0.0257787325456498,0.0087997425133708,0.9741822342048766,0.8877096612508293,0.4428695247278922,0.0058909235721864,0.7960317150175342,0.9367688382472448,0.0049733037465906,0.9350354503792052,0.9185822970273164,0.8877096612508293,0.8706452647713794,0.0258684405025868,0.0247297392778916,0.7498801877696242,0.0087997425133708,0.008782622391749408,0.9587062666493169,0.8183212693542976,,0.0,
1949-01-01,0.0268528464017185,0.0086627815404,0.977265724264342,0.8750180680464116,0.4704921702840833,0.005756149674963,0.8702280221827721,0.935593958212804,0.0051878675052257,0.9354343773545224,0.9066420973191266,0.8750180680464116,0.8652471943120046,0.0270140428677014,0.0258249134459125,0.7183036001790788,0.0086627815404,0.0088767830606668,0.9673690481897169,0.8183212693542976,,0.0,
1949-02-01,0.0279269602577873,0.0083203791079731,0.9745962952812056,0.8714231619937562,0.4966533917730783,0.0055489166932108,0.9146192841025425,0.9298777065290502,0.0054015376205513,0.9374984258213184,0.9012968046724164,0.8714231619937562,0.8556635521341613,0.028159645232816,0.0269200876139334,0.6281113318153618,0.0083203791079731,0.008945263547152174,0.97568942729769,0.8183212693542976,,0.0,
1949-03-01,0.029001074113856,0.0083203791079731,0.979040415940518,0.878342724932967,0.521477140998347,0.0053547263466738,0.8113479143785014,0.9382980010751684,0.0056152077358769,0.9421864583052938,0.9041323287180942,0.878342724932967,0.8529582101291486,0.0291943828529195,0.0279092771850491,0.5665101413798697,0.0083203791079731,0.009062251044898025,0.9840098064056632,0.8183212693542976,,0.0,
1949-04-01,0.0300751879699248,0.0083546193512158,0.979486686693467,0.8657972212985694,0.544980686532906,0.0051735786353519,0.8130585154974881,0.9461247794484916,0.0058289672155334,0.9443332059144728,0.9065824365564884,0.8657972212985694,0.8530971081791632,0.030339985218034,0.02900445135307,0.5727028536458713,0.0083546193512158,0.0090907845809336,0.992364425756879,0.8183212693542976,,0.0,
1949-05-01,0.0311493018259935,0.0083203791079731,0.9785943317556096,0.8578779950573587,0.5671609074376736,0.0050141686493887,0.8254016182632142,0.9505071324757224,0.006042637330859,0.9482154309959896,0.9123243642474116,0.8578779950573587,0.8529582101291489,0.0314486326681449,0.0300642973221225,0.6360623043129924,0.0083203791079731,0.009062251044898025,1.000684804864852,0.8183212693542976,,0.0,
1949-06-01,0.0322234156820622,0.0083546193512158,0.979486686693467,0.8528035310487635,0.5880726998272321,0.004883742297237,0.0,0.9678415494397844,0.0062563968105155,0.948648593430151,0.9173072797973524,0.8528035310487635,0.8552733821673633,0.0325942350332594,0.0311594714901434,0.5388030925345685,0.0083546193512158,0.00899662391201621,1.0090394242160678,0.8183212693542976,,0.0,
1949-07-01,0.033297529538131,0.0076013339998767,0.9692265638725333,0.8346559538152717,0.6075093993024467,0.0047475192183229,0.8750756556183887,0.9328777425476144,0.0064681902748909,0.938689841379867,0.9097396796610157,0.8346559538152717,0.8422969076643265,0.0337028824833702,0.0322193174591959,0.3638159037657743,0.0076013339998767,0.0087968891597672,1.0166407582159445,0.8183212693542976,,0.0,
1949-08-01,0.0343716433941997,0.0076013339998767,0.979040415940518,0.8335264892922808,0.6258013320493476,0.0046315846830769,0.8890747218426611,0.9369215834694912,0.0066799837392663,0.9391190198785974,0.9139019767872576,0.8335264892922808,0.8471076160704525,0.0348484848484849,0.0333144916272168,0.2789913576012134,0.0076013339998767,0.008588594346707517,1.024242092215821,0.8183212693542976,,0.0,
1949-09-01,0.0354457572502685,0.0077725352160901,0.9812915411943176,0.8381098434355233,0.6430407385531137,0.0045489813267142,1.0,0.9448194127508134,0.0068922240252965,0.940854748110804,0.9160103471248332,0.8381098434355233,0.8551670564289866,0.0359940872135994,0.0344096657952377,0.1093422652720894,0.0077725352160901,0.008414539776890518,1.032014627431911,0.8183212693542976,,0.0,
1949-10-01,0.0365198711063372,0.0074986132701486,0.9754461982721362,0.8368925090944875,0.6591217085762409,0.0044707255154231,0.949327233006784,0.9381675202357318,0.007103749396679,0.9469044292490526,0.9122196876458296,0.8368925090944875,0.8529841825338376,0.0371027346637102,0.0354695117642902,0.0690977305917901,0.0074986132701486,0.008231925146262841,1.0395132407020597,0.8183212693542976,,0.0,
1949-11-01,0.037593984962406,0.0076013339998767,0.9803928029751198,0.8437926486154923,0.674228029601036,0.0044113090661096,0.8320003281768038,0.9457718060032864,0.0073155428610544,0.9482154309959896,0.9139019767872576,0.8437926486154923,0.8584726257983692,0.0382483370288249,0.0365646859323111,0.1079614005670813,0.0076013339998767,0.008100670880499207,1.0471145747019364,0.8183212693542976,,0.0,
1949-12-01,0.0386680988184747,0.0072931718106925,0.9749883904836792,0.8444976513331226,0.6882718029150594,0.0043852237956792,0.7960317150175342,0.9357088736996348,0.0075265320464512,0.9421103028607798,0.9096907009516108,0.8444976513331226,0.8541425461223204,0.0393569844789357,0.0376245319013636,0.1027448005703979,0.0072931718106925,0.007975123321942683,1.054407746512629,0.8183212693542976,,0.0,
1950-01-01,0.0397422126745434,0.0069507693782656,0.9745210031056988,0.8421024592793418,0.7013124876601228,0.0044330467914682,0.8702280221827721,0.9201753860108908,0.0077366275885383,0.94121455981674,0.9146743342248456,0.8421024592793418,0.849389853814629,0.0405025868440502,0.0387197060693845,0.1093422652720863,0.0069507693782656,0.007832455641764817,1.0613585158908945,0.8183212693542976,,0.0,
1950-02-01,0.0408163265306122,0.0072931718106925,0.9835790521391606,0.8499407430536137,0.7136299683718234,0.0045591255985482,0.9146192841025425,0.927746766704752,0.0079476167739351,0.9442824257551784,0.9189284384249656,0.8499407430536137,0.8595024039110541,0.0416481892091649,0.0398148802374054,0.2309241147746248,0.0072931718106925,0.007746855033658101,1.068651687701587,0.8183212693542976,,0.0,
1950-03-01,0.0418904403866809,0.0073958925404206,0.980396239790964,0.8511288566484386,0.7251665099099387,0.0047170864028209,0.8113479143785014,0.927207099048085,0.0081588740523247,0.9495314302082896,0.9180874691946684,0.8511288566484386,0.8637527455421841,0.0426829268292683,0.0408040698085211,0.2703045064879728,0.0073958925404206,0.007669814486362059,1.0760475802420075,0.8183212693542976,,0.0,
1950-04-01,0.0429645542427497,0.0074301327836632,0.9794917836944524,0.8511333269755094,0.735938603622237,0.0049228702028825,0.8130585154974881,0.920981037206186,0.0083702206950453,0.9543828828552506,0.9219052330116404,0.8511333269755094,0.866386557562391,0.0438285291943828,0.041899243976542,0.3179647977308742,0.0074301327836632,0.007592773939066009,1.0834777130256708,0.8183212693542976,,0.0,
1950-05-01,0.0440386680988184,0.0078410157025755,0.984454538749656,0.85627734889268,0.7461052289211585,0.0051735786353519,0.8254016182632142,0.9269567220594684,0.0085826397097375,0.9552340934615904,0.9257350051451582,0.85627734889268,0.877085213266179,0.0449371766444938,0.0429590899455945,0.4131325003730787,0.0078410157025755,0.007552826988616208,1.0913187287282462,0.8183212693542976,,0.0,
1950-06-01,0.0451127819548872,0.0082176583782451,0.9839783070104844,0.8602383898127735,0.7556710602347212,0.0055025428791124,0.0,0.9401573202479444,0.0087960417320701,0.9587300642962964,0.9342869978452985,0.8602383898127735,0.8862980777775229,0.0460827790096083,0.0440542641136154,0.4742645315842152,0.0082176583782451,0.007541413574201982,1.0995363871064914,0.8183212693542976,,0.0,
1950-07-01,0.0461868958109559,0.0088682229998561,0.9875302124378872,0.8766051202667543,0.7647416930316618,0.0059720777468586,0.8750756556183887,0.9352891540535726,0.0090111416766911,0.9666082588874776,0.946772645154456,0.8766051202667543,0.8991976861097191,0.0471914264597191,0.0451141100826679,0.5661298871179222,0.0088682229998561,0.0076469876575336005,1.1084046101063474,0.8183212693542976,,0.0,
1950-08-01,0.0472610096670247,0.0093133461620111,0.98480337140953,0.881799232062527,0.7732575897397732,0.0065647930583037,0.8890747218426611,0.9301278251844768,0.0092274033576145,0.966951118561597,0.9479520237892682,0.881799232062527,0.906304854312874,0.0483370288248337,0.0462092842506888,0.607450850249548,0.0093133461620111,0.007789655337711467,1.1177179562683586,0.8183212693542976,,0.0,
1950-09-01,0.0483351235230934,0.0097927095674087,0.9852133362645727,0.8853455276626854,0.7812523820681875,0.0072111280923001,1.0,0.9230730549712513,0.0094449161391713,0.968165934967384,0.9526114421373904,0.8853455276626854,0.9135757062622208,0.0494826311899483,0.0473044584187098,0.769032824723102,0.0097927095674087,0.00795800320032135,1.1275106658357672,0.8183212693542976,,0.0,
1950-10-01,0.0494092373791621,0.0103405534592917,0.9860546040772534,0.8950263160154937,0.7887689233260687,0.0078647090347493,0.949327233006784,0.9204793998549734,0.0096638587500235,0.9667176035524704,0.9589934658674096,0.8950263160154937,0.9207742181423156,0.0505912786400591,0.0483643043877623,0.7966109949054183,0.0103405534592917,0.008194831549416607,1.137851219295059,0.8183212693542976,,0.0,
1950-11-01,0.0504833512352309,0.0106829558917186,0.9833956541866442,0.8977811145110581,0.7957617168536133,0.0085153916138174,0.8320003281768038,0.9116249089679244,0.0098836950041853,0.9653342967824396,0.9579622158064904,0.8977811145110581,0.92262545457827,0.0517368810051737,0.0494594785557832,0.8039271461678135,0.0106829558917186,0.008451633373736767,1.1485341751867775,0.8183212693542976,,0.0,
1950-12-01,0.0515574650912996,0.0119840851349408,0.9955230452378488,0.9167684843832012,0.8025603014685502,0.0091341921956928,0.7960317150175342,0.9367801828190068,0.0101069271029236,0.9754480720498652,0.969199551173724,0.9167684843832012,0.9436430317222404,0.0528455284552845,0.0505193245248357,0.8865157994804282,0.0119840851349408,0.008842542817424125,1.1605182603217183,0.8183212693542976,,0.0,
1951-01-01,0.0526315789473684,0.0133536948646483,0.996126618827642,0.9371410036548246,0.8091503816918819,0.0096979238733264,0.8702280221827721,0.9644062878583428,0.0103337337749003,0.9854157744437686,0.9776292440044654,0.9371410036548246,0.962577880012638,0.0539911308203991,0.0516144986928566,0.906898884039769,0.0133536948646483,0.009376119941289349,1.1738719551863666,0.8183212693542976,,0.0,
1951-02-01,0.0537056928034371,0.0148945058105692,0.9979594473288316,0.9508594439263672,0.8155548289845834,0.0102051374650276,0.9146192841025425,0.9999999999999996,0.0105645618417702,1.0,0.990666346814515,0.9508594439263672,0.9827812611361384,0.0551367331855137,0.0527096728608775,0.9582887562248642,0.0148945058105692,0.010009564441279074,1.1887664609969357,0.8183212693542976,,0.0,
1951-03-01,0.0547798066595059,0.0150657070267827,0.9811059083336672,0.9515475743728044,0.8213182454950565,0.0106906133313701,0.8113479143785014,0.9904760436841258,0.0107958367302949,0.985530172472058,0.9865477218090142,0.9515475743728044,0.9712284711197674,0.0561714708056172,0.0536988624319932,1.0,0.0150657070267827,0.010648715648475917,1.2038321680237185,0.8183212693542976,,0.0,
1951-04-01,0.0558539205155746,0.0152026679997534,0.9806896174402104,0.9527108106983248,0.8265031847829046,0.0111760891977127,0.8130585154974881,0.9784391307031924,0.0110274690761435,0.9702514178062068,0.9811928965931755,0.9527108106983248,0.9588696654977388,0.0573170731707317,0.0547940366000141,1.0,0.0152026679997534,0.011296426916483434,1.219034836023472,0.8183212693542976,,0.0,
