date,value,Lag_1,Lag_3,Lag_12,Rolling_Mean_3M,Rolling_Mean_6M,Rolling_Mean_12M,Rolling_Std_3M,Rolling_Std_6M,Rolling_Std_12M,MoM_Percentage_Change,YoY_Percentage_Change,Cumulative_Sum,Cumulative_Product,Trend,Seasonal,Residual,EMA_12,EMA_26,EMA_50,ROC,RSI,Z_Score,Days_Since_Peak,Days_Since_Trough,PPI_Value,PPI_Lag_1,PPI_Lag_3,PPI_Lag_12,PPI_Rolling_Mean_3M,PPI_Rolling_Mean_6M,PPI_Rolling_Mean_12M,PPI_Cumulative_Sum,PPI_Cumulative_Product,PPI_Trend,PPI_EMA_12,PPI_EMA_26,PPI_EMA_50,PPI_Z_Score,PPI_Trough,PPI_Days_Since_Trough
1913-06-01,0.005927001566951,0.005927001566951,0.0062974391648854,,0.0059143600662408,0.0055579334708975,,0.0057428601408656,0.0025510203243012,,0.4691140910090128,,0.0005769859133906,0.005927001566951,,0.5764874532696354,,0.0046468774821285,0.001969836250468,0.0007126160206037,,,0.005927001566951,0.0135913591359135,0.0009284772972325,0.005927001566951,0.005927001566951,0.0062974391648854,,0.006050480766262467,0.006235699565229683,,0.0374141973913781,5.849915473785762e-14,0.006352906082541211,0.006352906082541211,0.006496705704863271,0.006572235484517063,-0.9421079909150931,0.005927001566951,
1913-07-01,0.0062974391648854,0.005927001566951,0.0062974391648854,,0.0059143600662408,0.0054940491781285,,0.0057428601408656,0.0008007896533032,,0.5103273228394455,,0.0006927690398235,0.0062974391648855,0.0046210434152743,0.9331010762773816,0.4886316983907424,0.0046376525299488,0.0019533451691805,0.0007000623754394,,,0.0062974391648854,0.0162916291629162,0.0018270037139091,0.0062974391648854,0.005927001566951,0.0062974391648854,,0.006050480766262467,0.006173959965573933,,0.0437116365562635,3.6839486815887587e-16,0.006344372710594163,0.006344372710594163,0.006481945220420466,0.006561459158256998,-0.9406699129936384,0.005927001566951,
1913-08-01,0.0062974391648854,0.0062974391648854,0.005927001566951,,0.0060401975144587,0.0054940491781285,,0.0057428601408656,0.0008007896533032,,0.4691140910090128,,0.0008085521662564,0.0062974391648855,0.0045393995386794,1.0,0.4960199284687716,0.0046298468011814,0.0019380756494698,0.0006880010300854,,,0.0062974391648854,0.019081908190819,0.0027554810111417,0.0062974391648854,0.0062974391648854,0.005927001566951,,0.006173959965573933,0.006173959965573933,,0.0500090757211489,2.3199442708864982e-18,0.0063371521651005075,0.0063371521651005075,0.0064682781051956465,0.006551105433026739,-0.9406699129936384,0.005927001566951,
1913-09-01,0.0070383143607543,0.0062974391648854,0.005927001566951,,0.0064177098591124,0.0056218177636664,,0.0114857202817312,0.005088328310845,,0.5508536674727043,,0.0009262650114632,0.0070383143607544,0.0044577556620844,0.998049946976124,0.6030755055961876,0.0047464602348904,0.0019852512276091,0.0007102584169667,,,0.0070383143607543,0.0,0.0036839583083742,0.0070383143607543,0.0062974391648854,0.005927001566951,,0.006544397563508366,0.006297439164885417,,0.057047390081903196,1.6328497077930104e-20,0.006445023272124168,0.006445023272124168,0.006510503013014806,0.0065702116654866435,-0.9377937571507285,0.005927001566951,
1913-10-01,0.0070383143607543,0.0070383143607543,0.0062974391648854,,0.0066693847555481,0.0057495863492043,,0.0114857202817312,0.0070935697740041,,0.4691140910090128,,0.00104397785667,0.0070383143607544,0.0043597830101705,0.6339485248111885,0.6303591040659198,0.0048451331403365,0.0020289323184788,0.0007316429651468,,,0.0070383143607543,0.0027002700270027,0.0045824847250509,0.0070383143607543,0.0070383143607543,0.0062974391648854,,0.0067913559621313345,0.0064209183641969,,0.0640857044426575,1.1492509547313009e-22,0.006536298824221112,0.006536298824221112,0.006549600149884398,0.0065885686339285125,-0.9377937571507285,0.005927001566951,
1913-11-01,0.0066678767628199,0.0070383143607543,0.0062974391648854,,0.006795222203766,0.0058773549347422,,0.0057428601408656,0.0059443963136818,,0.4289142993055579,,0.0011607258424898,0.0066678767628199,0.0042618103582565,0.3600908034378847,0.6052443840629005,0.0048670164582271,0.0020387207618299,0.0007352660344443,,,0.0066678767628199,0.0054905490549054,0.0055109620222834,0.0066678767628199,0.0070383143607543,0.0062974391648854,,0.006914835161442833,0.006544397563508384,,0.0707535812054774,7.663063735701426e-25,0.006556541584005541,0.006556541584005541,0.006558361380472213,0.006591678756630135,-0.9392318350721832,0.005927001566951,
1913-12-01,0.005927001566951,0.0066678767628199,0.0070383143607543,,0.0064177098591123,0.0058773549347422,0.0047002681437694,0.0151941797469557,0.0059443963136818,0.0029888250884744,0.3880500482351041,,0.0012755441095358,0.005927001566951,0.0041638377063426,0.0,0.5343249834448303,0.0047623148306992,0.0019864701129872,0.0007049012842932,,,0.005927001566951,0.0081908190819081,0.0064094884389601,0.005927001566951,0.0066678767628199,0.0070383143607543,,0.0065443975635084,0.006544397563508384,0.006390048564369033,0.0766805827724284,4.541899076914774e-27,0.006459689273689458,0.006459689273689458,0.006511593986878049,0.006565612984485856,-0.9421079909150931,0.005927001566951,
1914-01-01,0.0055565639690165,0.005927001566951,0.0070383143607543,0.0066678767628199,0.0059143600662408,0.0057495863492043,0.0046023458907742,0.0151941797469557,0.0090685867280273,0.0039315854067251,0.4279008591785802,0.4545761774555287,0.0013893975171948,0.0055565639690166,0.0040495362791097,0.3912781377320584,0.4837355546464366,0.0046121120053042,0.0019074328714193,0.0006588044395079,0.4545761774555287,,0.0055565639690166,0.0109810981098109,0.0,0.0055565639690165,0.005927001566951,0.0070383143607543,0.0066678767628199,0.006050480766262467,0.0064209183641969,0.006297439164885417,0.0822371467414449,2.5237352761693934e-29,0.006320746919124387,0.006320746919124387,0.006440851022592009,0.006526042434859607,-0.9435460688365483,0.0055565639690165,
1914-02-01,0.0055565639690165,0.0055565639690165,0.0066678767628199,0.0062974391648854,0.0055368477215871,0.0056218177636664,0.0045370643887774,0.0057428601408656,0.0110261319058234,0.0047512430338671,0.4691140910090128,0.4634944237918216,0.0015032509248539,0.0055565639690166,0.0039842211778337,0.2029623505529798,0.4994557183455619,0.004485017306893,0.001834250240338,0.000614515314126,0.4634944237918216,0.3333333333333333,0.0055565639690166,0.0137713771377137,0.0009284772972325,0.0055565639690165,0.0055565639690165,0.0066678767628199,0.0062974391648854,0.005680043168328,0.006297439164885417,0.0062356995652296755,0.08779371071046141,1.4023296502898759e-31,0.006203180311415482,0.006203180311415482,0.006375348277882712,0.006488023671493211,-0.9435460688365483,0.0055565639690165,
1914-03-01,0.0051861263710821,0.0055565639690165,0.005927001566951,0.0062974391648854,0.0052851728251513,0.0053023962998217,0.0044391421357822,0.0057428601408657,0.0113476608070491,0.0061718242741473,0.4275515945020506,0.4543494423791821,0.0016161394731259,0.0051861263710822,0.0039678924025147,0.3503219727057285,0.4463952074809558,0.0043158664984428,0.0017358315337343,0.0005550401480405,0.454349442379182,0.2999999999999994,0.0051861263710821,0.0162916291629162,0.0,0.0051861263710821,0.0055565639690165,0.005927001566951,0.0062974391648854,0.005433084769705034,0.005988741166606717,0.0061430901657460665,0.0929798370815435,7.272658780318664e-34,0.006046710474441115,0.006046710474441115,0.006287257766267852,0.006436968875398658,-0.9449841467580031,0.0051861263710821,
