date,open,high,low,close,volume,SMA_20,SMA_50,SMA_100,EMA_12,EMA_26,Bollinger_Upper,Bollinger_Lower,RSI,MACD,MACD_Signal,ATR,ATR_14,OBV,Stochastic_Oscillator,Close,Daily_Percentage_Change
2024-07-23,0.9839661286024154,0.983847639130008,0.9829999447629808,0.9787517947301692,0.0395333706611699,,,,1.0000000000000002,1.0,,,,0.8490166146995569,0.9292062669459524,0.0066658381116267,,0.0004529964094834,,0.9787517947301692,
2024-07-24,0.9730331044199702,0.969325818260255,0.957962199691304,0.9546843690744682,0.0855433926916351,,,,0.9954775010718722,0.9977631594263684,,,,0.8417878307915873,0.9272602415232948,0.0172999957552004,,1.5982760726110682e-07,,0.9546843690744682,-0.02458991726532267
1993-02-24,0.0007218114649819,0.0007193761942567,0.0008432617754047,0.0016180725985211,2.422444186484116e-05,,,,0.8125605200997443,0.9071134734404354,,,,0.5499479193873797,0.8471386315650822,0.0009196902083129,,0.0,,0.0016180725985211,-0.9983051229799753
2024-07-25,0.958577609491124,0.966045537629568,0.9524882916427346,0.9492763974545124,0.0702085173367212,,,,0.8358586547638274,0.9112544962800312,,,,0.6093410059084119,0.7990302648017866,0.9871783452166628,,0.0003716648195116,,0.9492763974545124,585.6710791111228
1997-02-06,0.0662863528675052,0.0658528957825914,0.0657744184815719,0.0666406196131666,0.0028448220140706,,,,0.6897167763960665,0.8330560928488189,,,,0.3935008776468223,0.7024383102332348,0.0014408479930235,,0.0003565747840899,,0.0666406196131666,-0.9297985077982939
2001-01-25,0.1788287904492678,0.1791246723699437,0.178048700578321,0.1776284141487643,0.0124142802051523,,,,0.5869139295515796,0.7709654340845455,,,,0.2629222222171165,0.5900123078891568,0.115819653566874,,0.0004223186245323,,0.1776284141487643,1.6654676258992818
1993-02-25,0.0016842267516244,0.000959168259009,0.001626290566852,0.0017978584428012,4.511945807053354e-05,,,,0.466886666135124,0.6971322890066105,,,,0.1144844699867468,0.4601113075628151,0.0003678760833251,,0.0004220481937899,,0.0017978584428012,-0.9898785425101218
2024-07-26,0.9603678039402996,0.965527548402973,0.9602751694047372,0.9608402785723646,0.0617190559447985,,,,0.5455383573195395,0.7179022275098594,,,,0.2946114976926804,0.4046816200097899,0.9864646263748964,,0.0007487759318608,,0.9608402785723646,533.4360021333507
2005-01-20,0.143488899198923,0.1425803559466886,0.1426485731742844,0.1420907455960594,0.0827122328035451,,,,0.4582389387019467,0.6610385930600922,,,,0.1961387353157927,0.3338285011074892,0.0016627920486066,,0.0003109254670761,,0.1420907455960594,-0.8521182461176788
1997-02-07,0.0682713343962055,0.0678611543248916,0.0664972142890617,0.068678192515008,0.0026587186005023,,,,0.3705752806572248,0.6015640741920667,,,,0.1043780495918029,0.2524435623253118,0.0027590706249387,,0.000296820528808,,0.068678192515008,-0.5166596372838468
2009-01-09,0.0920381875991654,0.0910154760973706,0.0811049194858861,0.0876084356745474,0.3799545154531847,,,,0.2999555125537155,0.5482544630772506,,,,0.0466574868650114,0.1717969420148792,0.023620097056698,,0.0023080571068479,,0.0876084356745474,0.2756368865619556
2012-12-31,0.1853924704034922,0.189311035443947,0.1855344423323687,0.1898610506644467,0.2800506210469528,,,,0.2594145661926953,0.5083971297034444,,,,0.0412906538518458,0.1058348670021183,0.1047858274983526,,0.003790474572352,,0.1898610506644467,1.1671549001257469
2001-01-26,0.1767235070097373,0.1769665437871733,0.175729730695958,0.1773287710749641,0.0081876317347536,,,,0.2227557535867842,0.4703274340220191,,,,0.0425265851787868,0.0533979259960335,0.003157603048541,,0.0037471035583786,,0.1773287710749641,-0.06600763845783031
1993-02-26,0.0021052834395305,0.0010790642913851,0.001746756534767,0.0019177156723213,7.003274662347445e-05,,,,0.1587753472512282,0.418774910030995,,,0.1182675054568136,0.0,0.0,0.0003678760833251,0.4750096669405463,0.0037467012546676,0.0013401004605579,0.0019177156723213,-0.9891855356539374
2024-07-29,0.9675666529609108,0.9652589544337392,0.9626459030316497,0.9614539629292328,0.0453612432580565,,,,0.2849440969487278,0.460220949825502,,,0.5312203373141282,0.2645588523138443,0.0285022488550829,0.9860672927368244,1.0000000000000002,0.0039868425384321,0.9912751760959696,0.9614539629292328,500.35376000001105
2016-12-19,0.3501387114716409,0.3494154127477601,0.3504090020066084,0.3492615677592183,0.1037126425525168,,,,0.2766654772779771,0.4416993944350596,,,0.3367843002973851,0.294619434637659,0.0593965097095915,0.0017216639939733,0.991649518651198,0.003437831061233,0.360921884121498,0.3492615677592183,-0.6367360464195981
2005-01-21,0.1432964199912557,0.1421966943980945,0.1414150035902906,0.1407099883942724,0.0725070839271287,,,,0.2304716596751427,0.4051669007225206,,,0.5892777680589532,0.2618494735193595,0.0752900780604971,0.0025260785148212,0.9925105938804352,0.0030539992891549,0.1443471958523879,0.1407099883942724,-0.5971214660203376
2020-12-09,0.6304517974833013,0.6276317272625466,0.6219296756840655,0.6202731599956801,0.0850646442434058,,,,0.2814990790988825,0.4159113984468153,,,0.4047623517803094,0.3869058069887781,0.1216707342500368,0.4987565621613117,0.7307009821540078,0.0035043017222772,0.6415175071153131,0.6202731599956801,3.4081672315803297
1997-02-10,0.0691134477720177,0.0684006864705843,0.0677319904601901,0.067239905760767,0.0019113199439141,,,,0.2207559008803833,0.3744607743405708,,,0.5377547010409549,0.324044050722972,0.1418525544475133,0.0020539747985655,0.7310296376244783,0.0034941529730709,0.0682690106913857,0.067239905760767,-0.8915962996670124
