date,id,value,Lag_1,Lag_3,Lag_12,Rolling_Mean_3M,Rolling_Mean_6M,Rolling_Mean_12M,Rolling_Std_3M,Rolling_Std_6M,Rolling_Std_12M,MoM_Percentage_Change,YoY_Percentage_Change,Cumulative_Sum,Cumulative_Product,Trend,Seasonal,Residual,EMA_12,EMA_26,EMA_50,ROC,RSI,Z_Score,Days_Since_Peak,Days_Since_Trough,Consumer_Confidence_Cumulative_Sum,Consumer_Confidence_Peak,Consumer_Confidence_Days_Since_Peak,Consumer_Confidence_Trough,Consumer_Confidence_Days_Since_Trough
2002-05-01,0.0972222222222222,0.724531333206972,0.7284425309661557,0.6924444685133544,0.6686613775238506,0.7253743881855446,0.6853982878564633,0.6437257667578962,0.0217304153270086,0.2156064702712272,0.3131126894125924,0.550539920680136,0.6629599491003799,0.098820249822444,0.724531333206965,0.6453925766532826,0.6069341144749956,0.7789559264799237,0.6441381577147034,0.6747563624781456,0.7462472749777973,0.6629599491003814,0.6037852409674953,0.7245313332069725,0.093875214653692,0.0441023507385063,22.568694171412755,1.0,,0.5337235505251545,
2002-06-01,0.1006944444444444,0.686923662445583,0.724531333206972,0.7205298770379596,0.68051531534784,0.713930800615719,0.6991092910297656,0.6443480308409271,0.1459073598592835,0.1091682791283548,0.3148349292902653,0.432517046002613,0.6067117273084932,0.1023301710320611,0.6869236624455759,0.6405484975306166,0.5540324428988015,0.6835574158814097,0.6443564535259796,0.6695646560802508,0.7387813340585438,0.6067117273084928,0.5560761157148906,0.6869236624455828,0.0974241556954779,0.0505512793842313,23.255617833858338,1.0,,0.5337235505251545,
2002-07-01,0.1041666666666666,0.6365745128302311,0.686923662445583,0.7284425309661557,0.6676083627425324,0.6826479047836109,0.6947183595821169,0.6413345782510262,0.2847317628864618,0.1529498276664137,0.3133428393863076,0.3874534778270149,0.56413965879718,0.105828434035439,0.6365745128302258,0.6291806462313119,0.3626662927066491,0.5875409283468045,0.63558002587461,0.6599352253285424,0.7287374476634021,0.5641396587971805,0.4739298217420851,0.6365745128302321,0.100858614768174,0.0567921780736426,23.892192346688567,1.0,,0.5337235505251545,
2002-08-01,0.1076388888888888,0.595085730446268,0.6365745128302311,0.724531333206972,0.6223888994190379,0.6385690905318882,0.6774743618095531,0.6386833826859863,0.2968960627031207,0.2590840812268352,0.3200389620366346,0.4180777736362117,0.5682890739166226,0.1093170904260866,0.5950857304462627,0.6112475963434072,0.0719524370986164,0.5517075608841822,0.6207696461505066,0.6470454107641359,0.7167218979740682,0.568289073916622,0.4188548076725648,0.5950857304462684,0.1044075558099599,0.0632411067193675,24.487278077134835,1.0,,0.5337235505251545,
2002-09-01,0.1111111111111111,0.5587822937068818,0.595085730446268,0.686923662445583,0.5572193189100414,0.5949343940251577,0.6488259320737821,0.6388351508508343,0.2506448134888895,0.3380573244344093,0.3191068056342808,0.435992618231302,0.6012209607312918,0.1127973408564363,0.5587822937068783,0.58985018877868,0.0,0.5064053024080835,0.6017765022682475,0.631633359632449,0.7031076548836523,0.6012209607312936,0.3991870627145093,0.5587822937068829,0.1079564968517458,0.0696900353650925,25.046060370841715,1.0,,0.5337235505251545,
2002-10-01,0.1145833333333333,0.5313783361764735,0.5587822937068818,0.6365745128302311,0.5337235505251545,0.5591129939017048,0.6139222901052168,0.6386074255678658,0.2050316449964905,0.3631580427853585,0.3209270551830175,0.4671963502810126,0.5967398208699396,0.1162712459762673,0.5313783361764681,0.5705022789704834,0.0970283490028123,0.4566803078258772,0.5808280253343874,0.6147382705219329,0.6884648285560218,0.5967398208699393,0.4139893132600254,0.5313783361764735,0.1113909559244419,0.0,25.57743870701819,1.0,,0.5313783361764735,
2002-11-01,0.1180555555555555,0.5336363007289879,0.5313783361764735,0.595085730446268,0.5558849987514254,0.5381882352338518,0.5801113186382789,0.6364470298429694,0.0954117251220156,0.2959637012394627,0.3357877490697935,0.5722452348749233,0.5739418014265768,0.1197456739215409,0.5336363007289826,0.5573238715408344,0.3969685684505748,0.4512238264678032,0.5635042634400698,0.5993109307751929,0.6745249717317385,0.5739418014265771,0.4818903545504516,0.5336363007289878,0.1149398969662278,0.0064489286457249,26.111075007747175,1.0,,0.5313783361764735,
2002-12-01,0.1215277777777777,0.5332557111008835,0.5336363007289879,0.5587822937068818,0.6095120329503381,0.5294959237982066,0.552893938223221,0.6290423793976281,0.0037439766940264,0.1953802041382442,0.3684860598234157,0.5628851258609402,0.5123798055502795,0.1232200137423396,0.5332557111008764,0.5505010894406546,0.7976204807601448,0.4050719750056899,0.5487779583576327,0.5849899051673191,0.6611100761072706,0.5123798055502796,0.5101316527751433,0.5332557111008837,0.1183743560389238,0.0126898273351362,26.64433071884806,1.0,,0.5313783361764735,
2003-01-01,0.1249999999999999,0.5064549806094831,0.5332557111008835,0.5313783361764735,0.6613654893961414,0.5210090232226943,0.529847409803395,0.6140002407256375,0.0978510131976196,0.1294927077443813,0.4088994561079245,0.4691709558603779,0.4231977268473912,0.1266881479281708,0.5064549806094778,0.549173224985509,1.0,0.2934641689121946,0.5315472458077224,0.5691628002075184,0.6466931735346648,0.423197726847392,0.447474546454515,0.5064549806094838,0.1219232970807097,0.0,27.150785699457543,1.0,,0.5064549806094831,
2003-02-01,0.1284722222222222,0.4826839240746245,0.5064549806094831,0.5336363007289879,0.6924444685133544,0.5036587208691774,0.5099390118805598,0.5936320473598471,0.1614586883085614,0.107922828429199,0.4375942766059165,0.4797665547667638,0.3612870663742097,0.1301507779916538,0.4826839240746192,0.5517179902923104,0.9017150054685884,0.2281973851904624,0.5127366404878728,0.5522313506943384,0.6314862995193842,0.3612870663742095,0.3352905931613127,0.4826839240746255,0.1254722381224957,0.0,27.633469623532168,1.0,,0.4826839240746245,
