date,value,Lag_1,Lag_3,Lag_12,Rolling_Mean_3M,Rolling_Mean_6M,Rolling_Mean_12M,Rolling_Std_3M,Rolling_Std_6M,Rolling_Std_12M,MoM_Percentage_Change,YoY_Percentage_Change,Cumulative_Sum,Cumulative_Product,Trend,Seasonal,Residual,EMA_12,EMA_26,EMA_50,ROC,RSI,Z_Score,Days_Since_Peak,Days_Since_Trough,Peak,Trough
1913-01-01,0.0066678767628199,,,,,,,,,,,,0.0066678767628199,,,0.3912781377320584,,0.0049873747066253,0.0021610763037183,0.0008240312322355,,,0.0066678767628199,,,0.0066678767628199,0.0066678767628199
1913-02-01,0.0062974391648854,0.0066678767628199,,,,,,,,,0.4285820696220584,,0.0129653159277053,0.0062974391648855,,0.2029623505529798,,0.0049257655660615,0.0021304192925604,0.0008071083630856,,,0.0062974391648854,,,0.0066678767628199,0.0062974391648854
1913-03-01,0.0062974391648854,0.0062974391648854,,,0.0062918724108945,,,0.0057428601408656,,,0.4691140910090128,,0.0192627550925907,0.0062974391648855,,0.3503219727057285,,0.0048736347548153,0.0021020331711178,0.0007908491358631,,,0.0062974391648854,,,0.0066678767628199,0.0062974391648854
1913-04-01,0.0062974391648854,0.0062974391648854,0.0066678767628199,,0.0061660349626766,,,0.0,,,0.4691140910090128,,0.025560194257476097,0.0062974391648855,,0.4096077759521961,,0.0048295240683761,0.0020757497253377,0.0007752275253945,,,0.0062974391648854,,,0.0066678767628199,0.0062974391648854
1913-05-01,0.005927001566951,0.0062974391648854,0.0062974391648854,,0.0060401975144587,,,0.0057428601408656,,,0.4282443027771672,,0.0314871958244271,0.005927001566951,,0.5924097258184133,,0.0047305905008253,0.0020207561903092,0.0007432956579512,,,0.005927001566951,,,0.0066678767628199,0.005927001566951
1913-06-01,0.005927001566951,0.005927001566951,0.0062974391648854,,0.0059143600662408,0.0055579334708975,,0.0057428601408656,0.0025510203243012,,0.4691140910090128,,0.0374141973913781,0.005927001566951,,0.5764874532696354,,0.0046468774821285,0.001969836250468,0.0007126160206037,,,0.005927001566951,,,0.0066678767628199,0.005927001566951
1913-07-01,0.0062974391648854,0.005927001566951,0.0062974391648854,,0.0059143600662408,0.0054940491781285,,0.0057428601408656,0.0008007896533032,,0.5103273228394455,,0.0437116365562635,0.0062974391648855,0.0046210434152743,0.9331010762773816,0.4886316983907424,0.0046376525299488,0.0019533451691805,0.0007000623754394,,,0.0062974391648854,,,0.0066678767628199,0.005927001566951
1913-08-01,0.0062974391648854,0.0062974391648854,0.005927001566951,,0.0060401975144587,0.0054940491781285,,0.0057428601408656,0.0008007896533032,,0.4691140910090128,,0.0500090757211489,0.0062974391648855,0.0045393995386794,1.0,0.4960199284687716,0.0046298468011814,0.0019380756494698,0.0006880010300854,,,0.0062974391648854,,,0.0066678767628199,0.005927001566951
1913-09-01,0.0070383143607543,0.0062974391648854,0.005927001566951,,0.0064177098591124,0.0056218177636664,,0.0114857202817312,0.005088328310845,,0.5508536674727043,,0.057047390081903196,0.0070383143607544,0.0044577556620844,0.998049946976124,0.6030755055961876,0.0047464602348904,0.0019852512276091,0.0007102584169667,,,0.0070383143607543,,,0.0070383143607543,0.005927001566951
1913-10-01,0.0070383143607543,0.0070383143607543,0.0062974391648854,,0.0066693847555481,0.0057495863492043,,0.0114857202817312,0.0070935697740041,,0.4691140910090128,,0.0640857044426575,0.0070383143607544,0.0043597830101705,0.6339485248111885,0.6303591040659198,0.0048451331403365,0.0020289323184788,0.0007316429651468,,,0.0070383143607543,,,0.0070383143607543,0.005927001566951
