date,value,Lag_1,Lag_3,Lag_12,Rolling_Mean_3M,Rolling_Mean_6M,Rolling_Mean_12M,Rolling_Std_3M,Rolling_Std_6M,Rolling_Std_12M,MoM_Percentage_Change,YoY_Percentage_Change,Cumulative_Sum,Cumulative_Product,Trend,Seasonal,Residual,EMA_12,EMA_26,EMA_50,ROC,RSI,Z_Score,Days_Since_Peak,Days_Since_Trough,PCE_Value,PCE_Lag_1,PCE_Lag_3,PCE_Lag_12,PCE_Rolling_Mean_3M,PCE_Rolling_Mean_6M,PCE_Rolling_Mean_12M,PCE_Cumulative_Sum,PCE_Cumulative_Product,PCE_Trend,PCE_EMA_12,PCE_EMA_26,PCE_EMA_50,PCE_Z_Score,PCE_Peak,PCE_Days_Since_Peak
2001-11-01,0.0495616652843556,0.0521664655273095,0.0455002830010691,0.0307222105924219,0.0404274995820096,0.0355364004954321,0.023548849471274,0.0827079660953819,0.0596576838694276,0.0162453529296438,0.5540064504121217,0.4158558206556552,0.0449903511755221,0.0434521441331804,0.0310772379445781,0.80333185546246,0.7655048066604753,0.0405334200094483,0.0314617597339051,0.0228673373358031,0.4158558206556551,0.6785515209146118,0.0495616652843556,0.046337817638266,0.075128952679973,0.0495616652843556,0.0519335560533598,0.0448643914084846,0.0284394353969816,0.045822966000315234,0.04416290083791307,0.03976534300692708,0.6540682577454641,0.0,0.039206266745153685,0.039206266745153685,0.028907177684281377,0.019209988697981264,-1.3060717479678725,0.0519335560533598,
2001-12-01,0.0483524660687848,0.0497839374002414,0.0364835544934281,0.0342725559974879,0.0445995652900852,0.0368199718408266,0.0250066774638823,0.0151675846272985,0.0590358575564119,0.0146734604729248,0.564510290888007,0.3963522478980862,0.0471062989237444,0.0422351720533283,0.0327465775805876,0.7639787214412195,0.7388987116067405,0.0419881589480929,0.0330294416119379,0.0242277628758422,0.3963522478980863,0.6513096716410423,0.0483524660687847,0.0911808669656203,0.0784929356357927,0.0483524660687848,0.0495616652843556,0.0359736766632303,0.0317259768546868,0.04994922913550007,0.04541602395661353,0.041150883774768575,0.7024207238142489,0.0,0.040613374333404624,0.040613374333404624,0.030347569416466817,0.020352830947816695,-1.3107444856420032,0.0519335560533598,
2002-01-01,0.0497399446558821,0.0485693152178144,0.0526696434186529,0.0372200125601841,0.0438602449423174,0.0381736764659178,0.026346927720956,0.0045556351738335,0.0580168996444987,0.0157436263044191,0.5882011851071357,0.390373122161501,0.0492275315959475,0.0436315695039278,0.0346511749398965,0.8999229297122326,0.7291971333968839,0.0434397758169797,0.0345928576247892,0.025599608499253,0.390373122161501,0.6524014838096024,0.0497399446558821,0.1375186846038864,0.0819690513568064,0.0497399446558821,0.0483524660687848,0.0519335560533598,0.034454426366744,0.04921802533634082,0.046737616689016194,0.04242467696553009,0.752160668470131,0.0,0.04201746207532424,0.04201746207532424,0.031784041656423505,0.021505266779505535,-1.3053828186954044,0.0519335560533598,
2002-02-01,0.0528869631271752,0.049963016311753,0.0502641343311742,0.0384257902449235,0.0449809814412306,0.0395432603241482,0.0278652436815559,0.0201581456866228,0.0629070175327928,0.0198746878559995,0.6041990647287351,0.398743927409258,0.0513607513024311,0.0467988173527736,0.0366858640155727,0.785292804404861,0.7462382195393893,0.0451686126665016,0.0362941781148268,0.0270645649838342,0.3987439274092583,0.6513673064060608,0.0528869631271752,0.0,0.0854451670778201,0.0528869631271752,0.0497399446558821,0.0495616652843556,0.03557061025804,0.05032645795061403,0.04807471197546464,0.04386770637129136,0.8050476315973062,0.0,0.04368969300637823,0.04368969300637823,0.03334722102462733,0.02273592153823768,-1.2932217193640134,0.0528869631271752,
2002-03-01,0.0542976955453411,0.0531241484019153,0.0490377963650084,0.0379987439815783,0.0469847224544389,0.0426714692525116,0.0295419157830779,0.020256579704721,0.014925912657003,0.0201715735291989,0.5883092405492388,0.4063638420071868,0.0534993445070404,0.048218618112601,0.0389920043104404,0.6325974189923613,0.7448332454027007,0.0468558571500979,0.0379832083103617,0.0285379278315385,0.4063638420071868,0.641287789754535,0.054297695545341,0.0,0.0885848845032518,0.0542976955453411,0.0528869631271752,0.0483524660687848,0.0351752951298727,0.05230820110946613,0.0511287151224831,0.045461239739247046,0.8593453271426473,0.0,0.045321693396987904,0.045321693396987904,0.03489910802616168,0.023973638165967225,-1.287770192077528,0.0542976955453411,
2002-04-01,0.0596538279681577,0.0545412076147467,0.0504449405697755,0.03862675319238,0.0503260324360473,0.0439894456030403,0.031637246179913,0.0325573950628732,0.0386519634266296,0.0264020269249199,0.6239280443549021,0.4262622684161876,0.0556583392896985,0.0536091803380998,0.0410639112262322,0.0,0.8050989732208622,0.0491354394658588,0.0399789373055547,0.0302035460582501,0.4262622684161879,0.6718176760162855,0.0596538279681577,0.0,0.0920610002242655,0.0596538279681577,0.0542976955453411,0.0497399446558821,0.0357566409065893,0.05561282888022467,0.05241542710828275,0.047452671994377756,0.918999155110805,0.0,0.047526637177167874,0.047526637177167874,0.036732790984828054,0.025372861295464892,-1.2670723604568601,0.0596538279681577,
2002-05-01,0.0578245265907558,0.0599213609997275,0.0536365637381297,0.0426962528783755,0.0519901563283731,0.045400050813546,0.0332418764319167,0.0241277953450463,0.0414452164636948,0.0280924718461097,0.5591561535876335,0.4023113985568745,0.0578103662396221,0.0517681200121696,0.0427841266253354,0.3360951049262723,0.7565562587224823,0.0507733592384026,0.0416793559896007,0.0317184507014889,0.4023113985568746,0.6454488294312504,0.0578245265907558,0.0448430493273542,0.0954249831800852,0.0578245265907558,0.0596538279681577,0.0528869631271752,0.0395237615397137,0.057258683368084866,0.05379257065934945,0.04897773574863126,0.9768236817015608,0.0,0.0491109278561814,0.0491109278561814,0.03829514177045233,0.02664547562077042,-1.2741413738613139,0.0596538279681577,
2002-06-01,0.0604289556704468,0.0580838556468252,0.0550672913653229,0.0441113669667154,0.0540565958869754,0.0474617045827466,0.034960006578916,0.0103489580535792,0.0386151746633829,0.0313211529351338,0.5989165511334149,0.4074971643394692,0.0599723134937779,0.0543892906456974,0.0449512975539001,0.7099584883247871,0.7466896322239052,0.0525735360317874,0.043463787171934,0.0332955269570931,0.4074971643394695,0.6589127979338614,0.0604289556704467,0.0,0.0989010989010989,0.0604289556704468,0.0578245265907558,0.0542976955453411,0.040833727356582,0.0593024367431201,0.05580531892629312,0.05061067144145332,1.0372526373720075,0.0,0.05085216290452992,0.05085216290452992,0.039934683540822295,0.02797031797565969,-1.2640770157939551,0.0604289556704468,
2002-07-01,0.0654517831812792,0.0606999649628217,0.060499339664172,0.0451664224408624,0.0560107005517472,0.0501439717137928,0.0370329088527879,0.0356112800756749,0.0428970546821826,0.0403000003955456,0.6204259966093474,0.4241005389923323,0.0621533927632384,0.059444405438929,0.0473752374344548,0.8860193369952754,0.7663996560725899,0.0548956629999956,0.0455209793253905,0.0350452321003798,0.4241005389923322,0.6667672580240835,0.0654517831812791,0.0,0.1022650818569186,0.0654517831812792,0.0604289556704468,0.0596538279681577,0.0418103882614661,0.06123508848082726,0.05842395868052597,0.052580787684771084,1.1027044205532865,0.0,0.05309825833172212,0.05309825833172212,0.04182483906974503,0.02944017935627222,-1.2446671823783362,0.0654517831812792,
2002-08-01,0.0674128562680702,0.0657453186436719,0.058644110433306,0.0484655641616076,0.0592422880789166,0.0526237786223177,0.0390099818739989,0.032876542915521,0.0468371000311908,0.0504857818483743,0.5929048651902225,0.4190603192947791,0.064341941785588,0.0614180845171506,0.0496974257888218,1.0,0.7593232193433828,0.057172456045085,0.0475838888623133,0.0368178679280468,0.4190603192947791,0.6706992077819118,0.0674128562680702,0.0,0.1057411975779322,0.0674128562680702,0.0654517831812792,0.0578245265907558,0.0448643914084846,0.0644311983732654,0.06084494087067513,0.05445982642306988,1.1701172768213568,0.0,0.05530050416808336,0.05530050416808336,0.043720247751102455,0.030929303941048612,-1.2370889603811888,0.0674128562680702,
