date,value,Lag_1,Lag_3,Lag_12,Rolling_Mean_3M,Rolling_Mean_6M,Rolling_Mean_12M,Rolling_Std_3M,Rolling_Std_6M,Rolling_Std_12M,MoM_Percentage_Change,YoY_Percentage_Change,Cumulative_Sum,Cumulative_Product,Trend,Seasonal,Residual,EMA_12,EMA_26,EMA_50,ROC,RSI,Z_Score,Days_Since_Peak,Days_Since_Trough,Unemployment_Rate_Cumulative_Sum,Unemployment_Rate_Trough,Unemployment_Rate_Days_Since_Trough
1962-05-01,0.2439024390243902,0.2520325203252032,0.2439024390243902,0.3739837398373983,0.2898089171974521,0.3707414829659319,0.4553472987872104,0.0091929006739183,0.0370018302004438,0.119559845692889,0.0673646430180905,0.1010318028699504,0.1588674191696957,0.2439024390243889,0.3864013266998339,0.8041869060800835,0.3100916158640426,0.4396748078045593,0.4708226178012529,0.4651422117862679,0.1010318028699504,0.208333333333333,0.2439024390243901,0.337000366703337,0.1264522582134338,32.62601626016259,0.0,
1962-06-01,0.2439024390243902,0.2439024390243902,0.2520325203252032,0.3577235772357724,0.2866242038216561,0.3607214428857715,0.4399117971334068,0.0091929006739175,0.021998149014118,0.1138171836812643,0.0743578188373141,0.107290046125713,0.1599196479816337,0.2439024390243889,0.3814262023217246,0.7923588440729219,0.3147585851455234,0.4301789153630782,0.4646855276762444,0.462577228023192,0.107290046125713,0.1739130434782606,0.2439024390243901,0.3392739273927392,0.1276448411171808,32.869918699186975,0.0,
1962-07-01,0.2357723577235772,0.2439024390243902,0.2520325203252032,0.3658536585365853,0.2802547770700636,0.3527054108216432,0.422271223814774,0.009192900673916,0.0141650682682474,0.0983976634016852,0.0672374943668319,0.1001345170836696,0.1609527453606274,0.235772357723576,0.3781094527363183,0.5733987444970126,0.3082877642092399,0.4200406822306364,0.4578376989552805,0.4593663610354602,0.1001345170836696,0.1304347826086956,0.2357723577235772,0.3414741474147414,0.128798953604678,33.10569105691055,0.0,
1962-08-01,0.2601626016260163,0.2357723577235772,0.2439024390243902,0.3333333333333332,0.2866242038216561,0.3567134268537074,0.4123484013230428,0.0243221290105197,0.0197356384842143,0.0862784650040165,0.0961143658304541,0.1258346173600411,0.1620432370384541,0.2601626016260149,0.3797678275290214,0.4266020867806759,0.3459731614389673,0.417771918933674,0.4549931303996636,0.458520822869812,0.1258346173600411,0.2499999999999998,0.2601626016260162,0.3437477081041437,0.129991536508425,33.365853658536565,0.0,
1962-09-01,0.2520325203252032,0.2601626016260163,0.2439024390243902,0.3414634146341463,0.2898089171974521,0.3567134268537074,0.4002205071664829,0.02432212901052,0.0197356384842143,0.0632273443021604,0.0674873303131646,0.1180819068499311,0.1631145972833364,0.2520325203252019,0.3825317855168599,0.2015778325204564,0.334022659071661,0.4137489489235174,0.4511939327614696,0.4569619722403931,0.1180819068499311,0.2083333333333333,0.2520325203252031,0.346021268793546,0.131184119412172,33.61788617886177,0.0,
1962-10-01,0.2357723577235772,0.2520325203252032,0.2357723577235772,0.3252032520325203,0.2898089171974523,0.3527054108216432,0.3880926130099227,0.02432212901052,0.0219981490141183,0.0410019171947212,0.0603714671988669,0.1166739098942489,0.1641476946623301,0.2357723577235761,0.3836373687119955,0.2233986610008571,0.3078745586484413,0.4061384029356235,0.4453454814416002,0.4539713113617906,0.1166739098942488,0.2272727272727273,0.2357723577235772,0.3482214888155482,0.1323382318996691,33.85365853658534,0.0,
1962-11-01,0.2601626016260163,0.2357723577235772,0.2601626016260163,0.2926829268292683,0.2898089171974523,0.3567134268537074,0.3836824696802646,0.02432212901052,0.0259377105270077,0.0293943537952608,0.0961143658304541,0.145565126115279,0.1652381863401568,0.260162601626015,0.3864013266998341,0.0528059872478792,0.3448451933329463,0.406008451837894,0.443426262331441,0.4533373437715805,0.1455651261152789,0.2916666666666666,0.2601626016260162,0.3504950495049505,0.1335308148034161,34.11382113821136,0.0,
1962-12-01,0.2439024390243902,0.2601626016260163,0.2520325203252032,0.2845528455284553,0.2866242038216561,0.3567134268537074,0.3781697905181917,0.0243221290105197,0.0259377105270077,0.0179147876506775,0.0606168417890151,0.1406151914626491,0.1662904151520948,0.2439024390243891,0.3891652846876726,0.0640579726918062,0.3173710133143271,0.4016919987758999,0.439318531870863,0.4512352960090805,0.1406151914626491,0.2916666666666666,0.2439024390243901,0.3526952695269527,0.1346849272909132,34.357723577235745,0.0,
1963-01-01,0.2601626016260163,0.2439024390243902,0.2357723577235772,0.2682926829268292,0.2961783439490446,0.3627254509018037,0.3770672546857772,0.0183858013478468,0.0238020755819029,0.0145259986965072,0.0885984677782785,0.1590363010585103,0.1673809068299215,0.260162601626015,0.3908236594803759,0.1192871302850022,0.3397613942759271,0.4022461098565894,0.4378457534696474,0.4507086231385847,0.1590363010585103,0.4090909090909091,0.2601626016260162,0.354968830216355,0.1358775101946603,34.61788617886176,0.0,
1963-02-01,0.2764227642276423,0.2601626016260163,0.2601626016260163,0.2439024390243902,0.302547770700637,0.3667334669338677,0.3814773980154356,0.0318451420723421,0.0329524815026006,0.0228029912803771,0.0880987958856131,0.1841123095360384,0.1685096613736368,0.2764227642276409,0.3902708678828081,0.0,0.3666345472994984,0.4069214675195495,0.4388127454937674,0.451695545752563,0.1841123095360383,0.4782608695652175,0.2764227642276422,0.3572423909057572,0.1370700930984073,34.8943089430894,0.0,
