date,value,Monthly_Percentage_Change,Annual_Percentage_Change,Rolling_3M_Average,Rolling_6M_Average,Rolling_12M_Average,MACD,RSI,Consumer_Sentiment_Rolling_6M_Avg,Consumer_Sentiment_Rolling_12M_Avg
2000-01-01,1.0,,,,,,0.6341196071393573,,,
2000-02-01,0.9887096774193548,0.5673815805476164,,,,,0.6297660343809512,,,
2000-03-01,0.9209677419354838,0.4723141346249825,,1.0,,,0.6002832923674702,,,
2000-04-01,0.9548387096774194,0.6454559910457306,,0.9835969537199768,,,0.5906305952734023,,,
2000-05-01,0.979032258064516,0.6277275170198054,,0.9800820152314004,,,0.5928926266120984,,,
2000-06-01,0.9096774193548388,0.4689690563603626,,0.9759812536613944,0.9999999999999998,,0.5683913210114172,,0.9588709677419355,
2000-07-01,0.9403225806451612,0.6401699781480918,,0.9707088459285296,0.988502175264139,,0.5617610220517444,,0.9489247311827956,
2000-08-01,0.9241935483870968,0.5583729552982705,,0.9507908611599296,0.976072094468614,,0.5511715529850265,,0.9381720430107526,
2000-09-01,0.9161290322580644,0.5721828862607262,,0.9531341534856472,0.9751398384089496,,0.5407105425543742,,0.9373655913978495,
2000-10-01,0.8999999999999999,0.5579813866003223,,0.938488576449912,0.9645742697327532,,0.527359695320905,,0.9282258064516129,
2000-11-01,0.929032258064516,0.6376219000972456,,0.9402460456942004,0.9549409571162212,,0.5293111683750767,,0.9198924731182795,
2000-12-01,0.7806451612903227,0.328090850889547,,0.8910369068541303,0.9300807955251706,1.0,0.4748161135929144,,0.8983870967741935,0.9286290322580645
2001-01-01,0.7209677419354839,0.4727194037224267,0.3244838928647132,0.8260105448154659,0.8878185208203853,0.970452604611443,0.4109242405567794,,0.8618279569892473,0.9053763440860214
2001-02-01,0.6548387096774193,0.4555301616372055,0.2852587328736795,0.7264206209724665,0.8359229334990681,0.9350982066609737,0.3379105446282186,0.0477375830109317,0.8169354838709677,0.8775537634408602
2001-03-01,0.6693548387096775,0.616246393947789,0.3354427335832236,0.6859988283538371,0.7883778744561836,0.9084543125533732,0.2896791345474847,0.0771474370563212,0.7758064516129033,0.8565860215053762
2001-04-01,0.6193548387096774,0.4839570317494999,0.2796681168051196,0.6490919742237845,0.7343070229956494,0.8729291204099061,0.23653613236716,0.0566214756724072,0.7290322580645161,0.8286290322580644
2001-05-01,0.6774193548387097,0.7092134389187792,0.3064879232131542,0.6572934973637962,0.6858297078931013,0.840990606319385,0.2218205456645626,0.2022125971164485,0.6870967741935484,0.8034946236559138
2001-06-01,0.6870967741935483,0.605944193769124,0.3553032673537158,0.6637375512595197,0.6678060907395895,0.8174210076857387,0.2187214384394904,0.1598202986585672,0.671505376344086,0.7849462365591396
2001-07-01,0.6838709677419357,0.5797313278726793,0.334003949320769,0.6871704745166959,0.6606587942821627,0.7902647309991457,0.2197833673116641,0.1117885703529193,0.6653225806451614,0.7635752688172043
2001-08-01,0.6693548387096775,0.5568431930162341,0.3334609933552037,0.6842413591095492,0.6634555624611558,0.7632792485055506,0.2197396926882636,0.1505751166070071,0.6677419354838711,0.7423387096774193
2001-09-01,0.5129032258064516,0.2661663678908813,0.2254014513935585,0.6209724663151729,0.6333126165320075,0.7205807002561915,0.1640996732536379,0.0,0.6416666666666667,0.7087365591397851
2001-10-01,0.5274193548387098,0.6194731051547483,0.2449967857349408,0.5641476274165201,0.615599751398384,0.681127241673783,0.1314608686467805,0.0345062840694027,0.6263440860215054,0.6776881720430108
2001-11-01,0.5467741935483872,0.6300645532494638,0.2426027479297545,0.5196250732278852,0.5904288377874458,0.6406490179333904,0.119080727933716,0.0738602720914157,0.6045698924731183,0.6458333333333334
2001-12-01,0.6258064516129032,0.7625925247678825,0.3952984198816763,0.5606326889279439,0.5786202610316968,0.6242527754056364,0.1457255857346671,0.2103170567771528,0.5943548387096775,0.6329301075268817
2002-01-01,0.6935483870967742,0.7290607139564811,0.4943702071441153,0.6209724663151729,0.5804847731510254,0.62134927412468,0.1982883669599778,0.2633623724768855,0.595967741935484,0.6306451612903227
2002-02-01,0.6564516129032258,0.5115800411685183,0.5180838265633432,0.6608084358523726,0.5779987569919205,0.6215200683176776,0.2301321747357742,0.352793144592689,0.5938172043010753,0.6307795698924732
2002-03-01,0.7370967741935484,0.7527008586721644,0.5738335034106192,0.7012302284710018,0.6211932877563704,0.6286934244235696,0.2907818206396149,0.5154673771558738,0.6311827956989248,0.6364247311827957
2002-04-01,0.6935483870967742,0.5010666431308122,0.5814677859577924,0.7012302284710018,0.6532007458048479,0.6365499573014515,0.3254196787411506,0.5424376652371077,0.6588709677419355,0.6426075268817205
2002-05-01,0.7564516129032259,0.7128714123105745,0.5829918530101162,0.7375512595196253,0.6935985083903045,0.6449188727583262,0.3803311693111257,0.5918198828506346,0.6938172043010753,0.6491935483870969
2002-06-01,0.6838709677419357,0.4460341992022069,0.5140223954838508,0.7182190978324549,0.7047855811062773,0.6445772843723316,0.398257914890029,0.565113625253364,0.7034946236559141,0.6489247311827958
2002-07-01,0.614516129032258,0.4457408128404236,0.458796538020024,0.6895137668424139,0.6895587321317587,0.6372331340734416,0.3882475929444626,0.4321803014074732,0.6903225806451614,0.6431451612903226
2002-08-01,0.6064516129032258,0.5691166047809988,0.4636672060491143,0.6350322202694786,0.6799254195152269,0.6305721605465413,0.3800970135636071,0.4136318607109021,0.681989247311828,0.6379032258064516
2002-09-01,0.582258064516129,0.5345510957851493,0.582128647506978,0.598125366139426,0.6500932256059664,0.6379163108454315,0.3672769918863438,0.3948280724590519,0.6561827956989248,0.6436827956989248
